source,target,method,value_mean,value_sd,value_median,metric
hungary,switzerland,entropy_sfda,0.9666666666666666,0.105409255338946,1.0,global_top3_overlap_fraction
hungary,switzerland,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
hungary,switzerland,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
hungary,va_long_beach,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
hungary,va_long_beach,entropy_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
hungary,va_long_beach,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
hungary,va_long_beach,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,cleveland,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,cleveland,entropy_sfda,0.8333333333333333,0.17568209223157663,0.8333333333333333,global_top3_overlap_fraction
switzerland,cleveland,pseudo_label_sfda,0.8,0.17213259316477406,0.6666666666666666,global_top3_overlap_fraction
switzerland,cleveland,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,hungary,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,hungary,entropy_sfda,0.9666666666666666,0.10540925533894599,1.0,global_top3_overlap_fraction
switzerland,hungary,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,hungary,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,va_long_beach,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,va_long_beach,entropy_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,va_long_beach,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
switzerland,va_long_beach,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,cleveland,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,cleveland,entropy_sfda,0.9,0.1610152971798827,1.0,global_top3_overlap_fraction
va_long_beach,cleveland,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,cleveland,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,hungary,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,hungary,entropy_sfda,0.9,0.16101529717988267,1.0,global_top3_overlap_fraction
va_long_beach,hungary,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,hungary,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,switzerland,conservative_candidate,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,switzerland,entropy_sfda,0.9333333333333333,0.14054567378526128,1.0,global_top3_overlap_fraction
va_long_beach,switzerland,pseudo_label_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
va_long_beach,switzerland,reliability_gated_sfda,1.0,0.0,1.0,global_top3_overlap_fraction
cleveland,hungary,conservative_candidate,0.004424597989104656,0.001190170548910625,0.004550329572914664,global_importance_relative_l1_drift
cleveland,hungary,entropy_sfda,0.2326919664441754,0.00895320099891456,0.23353096459493994,global_importance_relative_l1_drift
cleveland,hungary,pseudo_label_sfda,0.2351585951384009,0.016324942146608335,0.23936074519244588,global_importance_relative_l1_drift
cleveland,hungary,reliability_gated_sfda,0.0232285020182521,0.0011183089141457872,0.02307716536296378,global_importance_relative_l1_drift
cleveland,switzerland,conservative_candidate,0.007276378465938116,0.0022423281790129607,0.00782836675687762,global_importance_relative_l1_drift
cleveland,switzerland,entropy_sfda,0.0625659548861766,0.013876813031786762,0.05776595959124456,global_importance_relative_l1_drift
cleveland,switzerland,pseudo_label_sfda,0.04961510005178073,0.010948645521858955,0.051797132391709466,global_importance_relative_l1_drift
cleveland,switzerland,reliability_gated_sfda,0.021059538499920517,0.0027896490098233795,0.021593715484437524,global_importance_relative_l1_drift
cleveland,va_long_beach,conservative_candidate,0.007565868853755983,0.002534678667151528,0.007810305068218981,global_importance_relative_l1_drift
cleveland,va_long_beach,entropy_sfda,0.10317565833733415,0.017742786943664057,0.09889665613058207,global_importance_relative_l1_drift
cleveland,va_long_beach,pseudo_label_sfda,0.09141391808290435,0.012209050978041642,0.09301635927244842,global_importance_relative_l1_drift
cleveland,va_long_beach,reliability_gated_sfda,0.022402957866581683,0.0022245061061173165,0.02309345112438292,global_importance_relative_l1_drift
hungary,cleveland,conservative_candidate,0.004595702551743489,0.0009453823403558078,0.004392795455511108,global_importance_relative_l1_drift
hungary,cleveland,entropy_sfda,0.23169171664972107,0.02156238706142782,0.23098103278762044,global_importance_relative_l1_drift
hungary,cleveland,pseudo_label_sfda,0.22084185016440014,0.00895631274072357,0.2212669957260677,global_importance_relative_l1_drift
hungary,cleveland,reliability_gated_sfda,0.023867284529922466,0.0019811091381729423,0.02394262438493823,global_importance_relative_l1_drift
hungary,switzerland,conservative_candidate,0.004271863551911821,0.0013341968946563548,0.004100623573686056,global_importance_relative_l1_drift
hungary,switzerland,entropy_sfda,0.09911140644759799,0.008046891249642363,0.09809132903611333,global_importance_relative_l1_drift
hungary,switzerland,pseudo_label_sfda,0.0516885543530843,0.010692992051003906,0.047338885067123665,global_importance_relative_l1_drift
hungary,switzerland,reliability_gated_sfda,0.022051822388214827,0.0019555397212635264,0.021940806932137877,global_importance_relative_l1_drift
hungary,va_long_beach,conservative_candidate,0.003961143245774404,0.0008669325827057479,0.004025341564951638,global_importance_relative_l1_drift
hungary,va_long_beach,entropy_sfda,0.18307090032063134,0.01008930213743011,0.1808314496318536,global_importance_relative_l1_drift
hungary,va_long_beach,pseudo_label_sfda,0.1037957031632537,0.0102165372834525,0.10391555860795107,global_importance_relative_l1_drift
hungary,va_long_beach,reliability_gated_sfda,0.026376541173870498,0.001814296651224925,0.025864405075718817,global_importance_relative_l1_drift
switzerland,cleveland,conservative_candidate,0.0,0.0,0.0,global_importance_relative_l1_drift
switzerland,cleveland,entropy_sfda,0.1790707309759237,0.029925443244945348,0.17439487155371902,global_importance_relative_l1_drift
switzerland,cleveland,pseudo_label_sfda,0.24755919007331198,0.03893674103121212,0.25563782019417536,global_importance_relative_l1_drift
switzerland,cleveland,reliability_gated_sfda,0.0,0.0,0.0,global_importance_relative_l1_drift
switzerland,hungary,conservative_candidate,0.0,0.0,0.0,global_importance_relative_l1_drift
switzerland,hungary,entropy_sfda,0.18124273087768222,0.03732352447366071,0.17296486082059923,global_importance_relative_l1_drift
switzerland,hungary,pseudo_label_sfda,0.22444547995856104,0.04035610930894012,0.22120293440862124,global_importance_relative_l1_drift
switzerland,hungary,reliability_gated_sfda,0.0,0.0,0.0,global_importance_relative_l1_drift
switzerland,va_long_beach,conservative_candidate,0.0,0.0,0.0,global_importance_relative_l1_drift
switzerland,va_long_beach,entropy_sfda,0.10392401918967784,0.014576186849428185,0.09897062196737834,global_importance_relative_l1_drift
switzerland,va_long_beach,pseudo_label_sfda,0.236716570658346,0.024406054401306672,0.22527746403373494,global_importance_relative_l1_drift
switzerland,va_long_beach,reliability_gated_sfda,0.0,0.0,0.0,global_importance_relative_l1_drift
va_long_beach,cleveland,conservative_candidate,0.010422442701111445,0.002984323987134381,0.010265366832459676,global_importance_relative_l1_drift
va_long_beach,cleveland,entropy_sfda,0.24137187019520115,0.08417233421839189,0.21112534535960326,global_importance_relative_l1_drift
va_long_beach,cleveland,pseudo_label_sfda,0.03406705484742211,0.024201925792672534,0.038038408106833795,global_importance_relative_l1_drift
va_long_beach,cleveland,reliability_gated_sfda,0.021433038438343308,0.009772986372335118,0.025965000810028553,global_importance_relative_l1_drift
va_long_beach,hungary,conservative_candidate,0.01431003218949313,0.003828461843524312,0.01570104457451868,global_importance_relative_l1_drift
va_long_beach,hungary,entropy_sfda,0.31876582360343536,0.09172560052230685,0.3065611667379861,global_importance_relative_l1_drift
va_long_beach,hungary,pseudo_label_sfda,0.014901028161460017,0.019884769655607447,0.0,global_importance_relative_l1_drift
va_long_beach,hungary,reliability_gated_sfda,0.029987594613274805,0.008236044591151657,0.030563115700418537,global_importance_relative_l1_drift
va_long_beach,switzerland,conservative_candidate,0.0038188400650601764,0.003686318393596573,0.004204659355137334,global_importance_relative_l1_drift
va_long_beach,switzerland,entropy_sfda,0.06186784301174251,0.02397987378218253,0.0542016976888995,global_importance_relative_l1_drift
va_long_beach,switzerland,pseudo_label_sfda,0.0,0.0,0.0,global_importance_relative_l1_drift
va_long_beach,switzerland,reliability_gated_sfda,0.007200742814430576,0.0067992246903034285,0.008535605861822098,global_importance_relative_l1_drift
cleveland,hungary,conservative_candidate,0.01912849878728793,0.004053465159081176,0.02088045567441554,patient_l1_drift_mean
cleveland,hungary,entropy_sfda,0.7935701331672219,0.05648362075831947,0.7992287974412187,patient_l1_drift_mean
cleveland,hungary,pseudo_label_sfda,0.797238075812662,0.08337791588988507,0.8278935530214144,patient_l1_drift_mean
cleveland,hungary,reliability_gated_sfda,0.07877226713717496,0.005608836011304381,0.07997577819171,patient_l1_drift_mean
cleveland,switzerland,conservative_candidate,0.021544426741131495,0.0039780818035143216,0.022389262210486864,patient_l1_drift_mean
cleveland,switzerland,entropy_sfda,0.17772309629768362,0.018688865040350517,0.17378420739543976,patient_l1_drift_mean
cleveland,switzerland,pseudo_label_sfda,0.13598134632882397,0.032351994327934654,0.13495839759163233,patient_l1_drift_mean
cleveland,switzerland,reliability_gated_sfda,0.056930991624126105,0.008422457093037588,0.05653448090571493,patient_l1_drift_mean
cleveland,va_long_beach,conservative_candidate,0.0213106264883736,0.004904425070549596,0.02243914746528389,patient_l1_drift_mean
cleveland,va_long_beach,entropy_sfda,0.2684169450543628,0.029629513664193013,0.26453293267655675,patient_l1_drift_mean
cleveland,va_long_beach,pseudo_label_sfda,0.23205977344322673,0.029832226630436103,0.23916620151649115,patient_l1_drift_mean
cleveland,va_long_beach,reliability_gated_sfda,0.05492609097184777,0.006413996237550881,0.05588018588623527,patient_l1_drift_mean
hungary,cleveland,conservative_candidate,0.02102907804580486,0.0033383826102228384,0.021991889782710206,patient_l1_drift_mean
hungary,cleveland,entropy_sfda,0.7559107631437179,0.06909880090381686,0.7730343667082509,patient_l1_drift_mean
