source,target,direction,seed,method,brier_improvement,brier_degradation,brier_worsened,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,hungary,cleveland -> hungary,0,pseudo_label_sfda,-0.0019308130749941,0.0019308130749941,True,0.9523809523809524,1.0,0.2469712117804829,0.847137595055895,0.3630673998469321,0.9986325587140624,0.9603174603174603,0.0425218323468971
cleveland,hungary,cleveland -> hungary,0,entropy_sfda,7.904717717244214e-05,-7.904717717244214e-05,False,0.9523809523809524,1.0,0.2357818880371621,0.8127830595962947,0.3471573135689838,0.9965762156584224,0.9342403628117912,0.0523493647873148
cleveland,hungary,cleveland -> hungary,0,reliability_gated_sfda,-9.317029324742988e-05,9.317029324742988e-05,True,0.9761904761904764,1.0,0.0240580464979174,0.0828764980669988,0.0359055424789093,0.9999641376273094,0.9931972789115646,0.0051426592086549
cleveland,hungary,cleveland -> hungary,0,conservative_candidate,0.0004588896905788,-0.0004588896905788,False,1.0,1.0,0.0049945902610109,0.0224799363663171,0.0109508062073654,0.9999760337248852,0.9965986394557824,0.0030211085250892
cleveland,hungary,cleveland -> hungary,1,pseudo_label_sfda,-0.0026549234704622,0.0026549234704622,True,0.9523809523809524,1.0,0.2383390995596792,0.7726423194496921,0.3360108273059075,0.9992161124789208,0.9455782312925172,0.0364027143183614
cleveland,hungary,cleveland -> hungary,1,entropy_sfda,-0.00095987984492,0.00095987984492,True,0.9523809523809524,1.0,0.2345424686709988,0.7693459404019302,0.3321752283495842,0.9975561438650205,0.9183673469387756,0.0447123831622682
cleveland,hungary,cleveland -> hungary,1,reliability_gated_sfda,-0.0002611889900372,0.0002611889900372,True,1.0,1.0,0.0235162466942187,0.0766434727845643,0.0335745138100208,0.9999799667240316,0.9931972789115646,0.0043403657159584
cleveland,hungary,cleveland -> hungary,1,conservative_candidate,0.0003172963927068,-0.0003172963927068,False,1.0,1.0,0.0041759347587642,0.0203111981118819,0.0095922627867584,0.9999801981139472,0.9909297052154196,0.0022323286021445
cleveland,hungary,cleveland -> hungary,2,pseudo_label_sfda,-0.0003253180518518,0.0003253180518518,True,1.0,1.0,0.2514832162825997,0.8788833565395923,0.3693891967566671,0.9987919027976386,0.963718820861678,0.0449316362219983
cleveland,hungary,cleveland -> hungary,2,entropy_sfda,0.0014385285833947,-0.0014385285833947,False,1.0,1.0,0.2456474038339467,0.8634953670961647,0.3604947429118909,0.99655636179573,0.9331065759637188,0.0593628335093167
cleveland,hungary,cleveland -> hungary,2,reliability_gated_sfda,-0.0001339820626068,0.0001339820626068,True,1.0,1.0,0.0247850804208196,0.0867677999565748,0.0366094343861351,0.9999720326286592,0.9965986394557824,0.0049178393804753
cleveland,hungary,cleveland -> hungary,2,conservative_candidate,0.0001517784333843,-0.0001517784333843,False,1.0,1.0,0.006163917119596,0.0234775145559162,0.010736257684771,0.9999825813703376,0.9965986394557824,0.0021312976933914
cleveland,hungary,cleveland -> hungary,3,pseudo_label_sfda,0.0001233557192206,-0.0001233557192206,False,0.9761904761904764,1.0,0.2344380787046507,0.8371931388756406,0.3552533510933112,0.9987196012631095,0.9467120181405896,0.0425110610303323
