source,target,seed,method,delta_roc_auc,negative_adaptation_auc,brier_improvement,brier_worsened,expected_negative_adaptation_auc,negative_adaptation_flag_match,expected_brier_worsened,brier_worsened_flag_match,effect_tolerance
cleveland,switzerland,3,reliability_gated_sfda,0.0,False,-0.0029686019723784,True,False,True,True,True,1e-08
cleveland,switzerland,3,conservative_candidate,0.0,False,0.0019635931759043,False,False,True,False,True,1e-08
cleveland,switzerland,4,pseudo_label_sfda,0.0010869565217391,False,0.0134936888345623,False,False,True,False,True,1e-08
cleveland,switzerland,4,entropy_sfda,0.0021739130434783,False,0.0124390783268766,False,False,True,False,True,1e-08
cleveland,switzerland,4,reliability_gated_sfda,-0.001086956521739,True,-0.0026694250548355,True,True,True,True,True,1e-08
cleveland,switzerland,4,conservative_candidate,0.0,False,0.0022142244405539,False,False,True,False,True,1e-08
cleveland,switzerland,5,pseudo_label_sfda,0.0021739130434782,False,0.0060604320755085,False,False,True,False,True,1e-08
cleveland,switzerland,5,entropy_sfda,0.0021739130434782,False,0.0050048138409938,False,False,True,False,True,1e-08
cleveland,switzerland,5,reliability_gated_sfda,-0.0010869565217391,True,-0.0022567104790213,True,True,True,True,True,1e-08
cleveland,switzerland,5,conservative_candidate,0.0,False,0.0014134611211934,False,False,True,False,True,1e-08
cleveland,switzerland,6,pseudo_label_sfda,-0.0054347826086955,True,0.0007279825287379,False,True,True,False,True,1e-08
cleveland,switzerland,6,entropy_sfda,-0.0043478260869564,True,0.0040047940427223,False,True,True,False,True,1e-08
cleveland,switzerland,6,reliability_gated_sfda,-0.0032608695652174,True,-0.0031114060881854,True,True,True,True,True,1e-08
cleveland,switzerland,6,conservative_candidate,-0.001086956521739,True,0.0008874166595199,False,True,True,False,True,1e-08
cleveland,switzerland,7,pseudo_label_sfda,0.0,False,0.0001292949739823,False,False,True,False,True,1e-08
cleveland,switzerland,7,entropy_sfda,0.0021739130434782,False,0.0046424265800454,False,False,True,False,True,1e-08
cleveland,switzerland,7,reliability_gated_sfda,0.0021739130434783,False,-0.0028624977286221,True,False,True,True,True,1e-08
cleveland,switzerland,7,conservative_candidate,0.0,False,0.0019057563989164,False,False,True,False,True,1e-08
cleveland,switzerland,8,pseudo_label_sfda,-0.0010869565217391,True,0.0084549289414979,False,True,True,False,True,1e-08
cleveland,switzerland,8,entropy_sfda,-0.0021739130434782,True,0.0073449457681184,False,True,True,False,True,1e-08
cleveland,switzerland,8,reliability_gated_sfda,1.1102230246251563e-16,False,-0.0026638188285036,True,False,True,True,True,1e-08
cleveland,switzerland,8,conservative_candidate,0.0010869565217391,False,0.0021138556040433,False,False,True,False,True,1e-08
cleveland,switzerland,9,pseudo_label_sfda,0.0,False,0.0058270078129417,False,False,True,False,True,1e-08
cleveland,switzerland,9,entropy_sfda,-0.0010869565217391,True,0.0149948861210972,False,True,True,False,True,1e-08
cleveland,switzerland,9,reliability_gated_sfda,0.0,False,-0.0030584411981795,True,False,True,True,True,1e-08
cleveland,switzerland,9,conservative_candidate,-0.0010869565217391,True,0.0028710819790491,False,True,True,False,True,1e-08
cleveland,va_long_beach,0,pseudo_label_sfda,-0.0013159626266613,True,-0.0008333093537703,True,True,True,True,True,1e-08
