source,target,method,delta_roc_auc_mean,delta_roc_auc_std,delta_roc_auc_median,brier_improvement_mean,brier_improvement_std,brier_improvement_median,brier_degradation_mean,brier_degradation_std,brier_degradation_median,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,global_importance_spearman_mean,global_importance_spearman_std,global_importance_spearman_median,global_top3_overlap_fraction_mean,global_top3_overlap_fraction_std,global_top3_overlap_fraction_median,global_importance_relative_l1_drift_mean,global_importance_relative_l1_drift_std,global_importance_relative_l1_drift_median,patient_l1_drift_mean_mean,patient_l1_drift_mean_std,patient_l1_drift_mean_median,patient_l2_drift_mean_mean,patient_l2_drift_mean_std,patient_l2_drift_mean_median,patient_cosine_similarity_mean_mean,patient_cosine_similarity_mean_std,patient_cosine_similarity_mean_median,patient_top3_overlap_mean_mean,patient_top3_overlap_mean_std,patient_top3_overlap_mean_median,mean_absolute_probability_shift_mean,mean_absolute_probability_shift_std,mean_absolute_probability_shift_median
cleveland,hungary,conservative_candidate,-0.0001806503412283917,0.0003210516021412191,-7.527097551179449e-05,0.00026125764267904646,0.00016189933793154767,0.00024422251552485,-0.00026125764267904646,0.00016189933793154767,-0.00024422251552485,0.00044660778803689996,0.0036128093490199083,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.00442459798910462,0.0011901705489106163,0.00455032957291465,0.019128498787287878,0.004053465159081174,0.020880455674415502,0.009022312540678989,0.001892851955795663,0.009820195649976899,0.9999850310192417,5.3679938695195994e-06,0.9999840868151306,0.9953514739229025,0.003137037939447814,0.9965986394557824,0.00195718503994293,0.0007054549984207848,0.0019092362066794
cleveland,hungary,entropy_sfda,-0.00155560016057803,0.0008717258276993479,-0.0013297872340426,0.0014860600806393444,0.0013629178163508504,0.00155684347858085,-0.0014860600806393444,0.0013629178163508504,-0.00155684347858085,0.0047521075873143,0.006848307620805745,0.00639803291850665,0.9785714285714286,0.020847500851688416,0.9761904761904764,0.9666666666666666,0.10540925533894599,1.0,0.23269196644417534,0.008953200998914558,0.23353096459493988,0.7935701331672219,0.05648362075831947,0.7992287974412187,0.3375839137971905,0.018904103871241956,0.3407047519279809,0.9969127961977009,0.0006287427792030317,0.9969328046691595,0.9404761904761905,0.015176094486214087,0.9410430839002268,0.05258449774384368,0.005018040688592214,0.05150240000185305
cleveland,hungary,pseudo_label_sfda,-0.0006021678040947101,0.0009007702407222898,-0.0007527097551183,-0.0002354228052288034,0.0013822320915255972,-6.318014949296708e-05,0.0002354228052288034,0.0013822320915255972,6.318014949296708e-05,0.00555499799277395,0.007052878058140701,0.00253412284223205,0.9833333333333334,0.01960172862734674,0.9880952380952381,1.0,0.0,1.0,0.23515859513840084,0.01632494214660834,0.23936074519244585,0.797238075812662,0.08337791588988507,0.8278935530214144,0.34199371080145113,0.03273143828720148,0.35482069401109534,0.9988308816436644,0.00022239453687109958,0.9987714804766175,0.9615646258503402,0.009774414636745377,0.9631519274376417,0.04164623844423041,0.002981327327406535,0.0425164466886147
cleveland,hungary,reliability_gated_sfda,-0.0001455238859895558,0.00017131791287389994,-0.00015054195102372355,-0.00020268131176311052,0.00012770162630948269,-0.00020925007217204998,0.00020268131176311052,0.00012770162630948269,0.00020925007217204998,0.00018065034122837992,0.0036969969547898237,0.0013297872340425,0.9976190476190476,0.007529232524210393,1.0,1.0,0.0,1.0,0.02322850201825205,0.0011183089141457755,0.023077165362963753,0.07877226713717492,0.0056088360113043904,0.07997577819171,0.03411274054525415,0.0020497246743261975,0.0347194568029228,0.9999777387266937,6.047380114626161e-06,0.9999799297432677,0.9952380952380953,0.0030609911914311317,0.9948979591836735,0.0043809674125873796,0.0004203904855692578,0.00435834366283345
cleveland,switzerland,conservative_candidate,-0.00043478260869562996,0.001168443151927287,0.0,0.0017886080536233199,0.000587161048871801,0.00193467478741035,-0.0017886080536233199,0.000587161048871801,-0.00193467478741035,-0.0116304347826087,0.02686930725451894,0.0,0.9976190476190476,0.007529232524210362,1.0,1.0,0.0,1.0,0.007276378465938061,0.0022423281790129677,0.00782836675687755,0.02154442674113145,0.003978081803514307,0.0223892622104868,0.010384973791749911,0.0019390885074948238,0.010999752611313,0.9999841144614248,5.172878999448993e-06,0.9999855743565572,0.9989159891598917,0.0018948669343634608,1.0,0.0025854812117247503,0.0007867745469284049,0.0024512819340073502
cleveland,switzerland,entropy_sfda,-0.00010869565217389006,0.0027806643267173164,0.00054347826086955,0.008936651149771829,0.003972283569997778,0.0089850947416225,-0.008936651149771829,0.003972283569997778,-0.0089850947416225,-0.007880434782608631,0.024491051844661268,0.0021739130434783,0.9690476190476192,0.03184508356783946,0.9761904761904764,0.9333333333333333,0.14054567378526128,1.0,0.06256595488617656,0.01387681303178676,0.057765959591244545,0.1777230962976836,0.018688865040350517,0.1737842073954397,0.0878236407841427,0.00973516530540841,0.08781187464479176,0.9991841601206074,0.0003850463508475929,0.999288405789517,0.9791327913279133,0.010063250183655724,0.9823848238482384,0.027343675342759423,0.005308863450733665,0.02720304574378255
cleveland,switzerland,pseudo_label_sfda,-0.0007608695652173911,0.002176930273304267,-5.5511151231257815e-17,0.00611447514078384,0.003926235045788402,0.0062195128367897,-0.00611447514078384,0.003926235045788402,-0.0062195128367897,-0.00641304347826086,0.022870327497811906,0.0043478260869564,0.9880952380952381,0.01683587574253677,1.0,1.0,0.0,1.0,0.04961510005178066,0.010948645521858948,0.0517971323917094,0.13598134632882394,0.032351994327934654,0.1349583975916323,0.06576960117427835,0.015757151405618543,0.06466540039030749,0.9997062698497224,0.00012166524474145369,0.9997062182453729,0.9897018970189702,0.0037897338687268036,0.9905149051490515,0.01929034612527703,0.006015943988300395,0.01893516660599805
cleveland,switzerland,reliability_gated_sfda,-0.0003260869565217089,0.0019206316348838264,0.0,-0.00283904891007398,0.0003603286417837624,-0.00291554985050025,0.00283904891007398,0.0003603286417837624,0.00291554985050025,-0.00217391304347823,0.0030743773095066817,0.0,0.9952380952380953,0.01505846504842083,1.0,1.0,0.0,1.0,0.02105953849992048,0.0027896490098233964,0.0215937154844375,0.05693099162412606,0.008422457093037595,0.05653448090571485,0.025862252543686747,0.0036155135773188298,0.025716497987425098,0.9999439163997333,1.709282524277383e-05,0.9999477335901886,0.9948509485094851,0.003244495934248923,0.994579945799458,0.00386301658032987,0.0004309484999588077,0.00391086381746495
cleveland,va_long_beach,conservative_candidate,-1.2218958483911635e-17,0.0009469242946406275,-0.00026319252533225,0.0005239008872712298,0.00019627340933917926,0.0005793875465116,-0.0005239008872712298,0.00019627340933917926,-0.0005793875465116,0.00067114093959731,0.0014148893334086593,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0075658688537559304,0.0025346786671515266,0.0078103050682189,0.02131062648837355,0.004904425070549589,0.02243914746528385,0.010440775832610851,0.0026818108514954607,0.010725499427651851,0.9999831754744068,6.099643161803348e-06,0.9999834971573611,0.9976666666666667,0.0022498285257018433,0.9975,0.00262100067362183,0.0009060339194258507,0.0027945256046949998
cleveland,va_long_beach,entropy_sfda,0.00136860113172781,0.002853073878026397,0.0018423476773258502,-0.0013347137375705,0.0008252031655857635,-0.0011917109053909,0.0013347137375705,0.0008252031655857635,0.0011917109053909,0.0023489932885906,0.0022649280460085557,0.00335570469798655,0.980952380952381,0.018781205660633665,0.9761904761904764,0.9,0.1610152971798827,1.0,0.10317565833733411,0.01774278694366405,0.09889665613058204,0.2684169450543628,0.029629513664193016,0.26453293267655675,0.13314244728121244,0.014666413535959226,0.13279697065839569,0.9986784838302614,0.0005532159693045531,0.9988338284065585,0.9798333333333332,0.008219594174596518,0.9808333333333332,0.03369137572683389,0.004374346443959603,0.03411703626625235
cleveland,va_long_beach,pseudo_label_sfda,0.00098697196999601,0.002201371189652007,0.0008553757073299,-0.0005322629644035,0.0007000901322735135,-0.0005898213315787501,0.0005322629644035,0.0007000901322735135,0.0005898213315787501,0.00201342281879193,0.002346328519396293,0.00167785234899325,0.9880952380952381,0.016835875742536786,1.0,0.9666666666666666,0.10540925533894603,1.0,0.09141391808290429,0.012209050978041647,0.0930163592724484,0.23205977344322667,0.029832226630436113,0.2391662015164911,0.11027944195990651,0.015478644245026636,0.1132224234644621,0.9993313328283581,0.0002848797411321207,0.9992607666956944,0.9871666666666666,0.0022291558497487445,0.9866666666666667,0.02834184664115305,0.0057574955564702835,0.02917505815625185
cleveland,va_long_beach,reliability_gated_sfda,0.0003816291617317589,0.0004318015423897983,0.00039478878799835003,-0.00100872358339664,0.00012045454543284235,-0.0010466678114898,0.00100872358339664,0.00012045454543284235,0.0010466678114898,-0.00067114093959731,0.0021223340001129886,0.0,0.9976190476190476,0.007529232524210362,1.0,1.0,0.0,1.0,0.02240295786658163,0.002224506106117329,0.0230934511243829,0.05492609097184773,0.006413996237550903,0.05588018588623525,0.02637822457308677,0.002938078449809057,0.02704179567803215,0.999981857048283,6.047149283292282e-06,0.9999813783478377,0.9974999999999999,0.001964185503295973,0.9983333333333334,0.00377033727429804,0.00043929580296090965,0.0038793318718671503
hungary,cleveland,conservative_candidate,0.0001359887699596411,0.0002999919215807103,0.00010966836287067407,-4.799406893470976e-05,0.000115563081784632,-3.0220726413524024e-05,4.799406893470976e-05,0.000115563081784632,3.0220726413524024e-05,-0.00035971223021582995,0.0009604288580582575,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.00459570255174345,0.0009453823403558116,0.0043927954555111,0.0210290780458048,0.003338382610222843,0.02199188978271015,0.00967229939071867,0.0014730225611506924,0.01019630176633075,0.9999790504631407,7.963917783551252e-06,0.999980557951786,0.9965896589658966,0.0026162169390153375,0.9977997799779978,0.00152412910051269,0.00036761944605156127,0.0014994642097908
hungary,cleveland,entropy_sfda,0.0007808387436391952,0.0008543314850553409,0.0007238111949463501,-0.00922020078846228,0.001895229609710252,-0.0088075710247967,0.00922020078846228,0.001895229609710252,0.0088075710247967,-0.00692446043165465,0.008262712343155693,-0.00911344095455345,0.9666666666666668,0.023002185311411776,0.9761904761904764,0.8666666666666666,0.17213259316477408,1.0,0.23169171664972107,0.02156238706142784,0.2309810327876204,0.7559107631437179,0.06909880090381686,0.7730343667082509,0.3640760034274068,0.031414859421411485,0.368452326466989,0.9963822396998042,0.0010330119635134996,0.9966588546804264,0.9412541254125413,0.009089509870087106,0.9416941694169418,0.054116978982491105,0.005075458778276799,0.0541841745908332
hungary,cleveland,pseudo_label_sfda,0.0017678540094753302,0.0008075643451479434,0.00186436216880155,-0.0040328460949617,0.0015041287332009446,-0.0036950531655294,0.0040328460949617,0.0015041287332009446,0.0036950531655294,0.0026101070363221497,0.0043741900143076376,0.0025004386734515,0.9738095238095239,0.03063533185018851,0.9761904761904764,0.9,0.16101529717988267,1.0,0.2208418501644001,0.008956312740723562,0.22126699572606767,0.7116503845644215,0.05177413487246956,0.7054130224322741,0.3427265099601618,0.019665977408453973,0.34814245421768564,0.9984877749602411,0.00041027722778516455,0.9985084565904379,0.9665566556655666,0.004345086393428323,0.9675467546754675,0.03878195456124641,0.002489910324912767,0.03835998267771385
hungary,cleveland,reliability_gated_sfda,0.0005220214072644263,0.00036318464775945405,0.0004825407966309,0.00015411312382282322,0.00011790863358506753,0.0001808232092872,-0.00015411312382282322,0.00011790863358506753,-0.0001808232092872,0.00046938059308649006,0.003624969542380494,0.0,0.9880952380952381,0.030221321848666306,1.0,1.0,0.0,1.0,0.02386728452992242,0.00198110913817293,0.02394262438493815,0.0800043531532312,0.006196526634758414,0.08268700829720915,0.03688058665633298,0.0028346481319747813,0.037709832630828596,0.9999429570729891,2.0126640310368e-05,0.9999413470206324,0.9936193619361935,0.003230321312144543,0.9933993399339935,0.00464290310582602,0.00041053183150759233,0.00478261584114805
