source,target,method,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift,delta_roc_auc,brier_degradation,direction
cleveland,hungary,conservative_candidate,1.0,1.0,0.00442459798910462,0.019128498787287878,0.009022312540678989,0.9999850310192417,0.9953514739229025,0.00195718503994293,-0.0001806503412283917,-0.00026125764267904646,cleveland -> hungary
cleveland,hungary,entropy_sfda,0.9785714285714286,0.9666666666666666,0.23269196644417534,0.7935701331672219,0.3375839137971905,0.9969127961977009,0.9404761904761905,0.05258449774384368,-0.00155560016057803,-0.0014860600806393444,cleveland -> hungary
cleveland,hungary,pseudo_label_sfda,0.9833333333333334,1.0,0.23515859513840084,0.797238075812662,0.34199371080145113,0.9988308816436644,0.9615646258503402,0.04164623844423041,-0.0006021678040947101,0.0002354228052288034,cleveland -> hungary
cleveland,hungary,reliability_gated_sfda,0.9976190476190476,1.0,0.02322850201825205,0.07877226713717492,0.03411274054525415,0.9999777387266937,0.9952380952380953,0.0043809674125873796,-0.0001455238859895558,0.00020268131176311052,cleveland -> hungary
cleveland,switzerland,conservative_candidate,0.9976190476190476,1.0,0.007276378465938061,0.02154442674113145,0.010384973791749911,0.9999841144614248,0.9989159891598917,0.0025854812117247503,-0.00043478260869562996,-0.0017886080536233199,cleveland -> switzerland
cleveland,switzerland,entropy_sfda,0.9690476190476192,0.9333333333333333,0.06256595488617656,0.1777230962976836,0.0878236407841427,0.9991841601206074,0.9791327913279133,0.027343675342759423,-0.00010869565217389006,-0.008936651149771829,cleveland -> switzerland
cleveland,switzerland,pseudo_label_sfda,0.9880952380952381,1.0,0.04961510005178066,0.13598134632882394,0.06576960117427835,0.9997062698497224,0.9897018970189702,0.01929034612527703,-0.0007608695652173911,-0.00611447514078384,cleveland -> switzerland
cleveland,switzerland,reliability_gated_sfda,0.9952380952380953,1.0,0.02105953849992048,0.05693099162412606,0.025862252543686747,0.9999439163997333,0.9948509485094851,0.00386301658032987,-0.0003260869565217089,0.00283904891007398,cleveland -> switzerland
cleveland,va_long_beach,conservative_candidate,1.0,1.0,0.0075658688537559304,0.02131062648837355,0.010440775832610851,0.9999831754744068,0.9976666666666667,0.00262100067362183,-1.2218958483911635e-17,-0.0005239008872712298,cleveland -> va_long_beach
cleveland,va_long_beach,entropy_sfda,0.980952380952381,0.9,0.10317565833733411,0.2684169450543628,0.13314244728121244,0.9986784838302614,0.9798333333333332,0.03369137572683389,0.00136860113172781,0.0013347137375705,cleveland -> va_long_beach
cleveland,va_long_beach,pseudo_label_sfda,0.9880952380952381,0.9666666666666666,0.09141391808290429,0.23205977344322667,0.11027944195990651,0.9993313328283581,0.9871666666666666,0.02834184664115305,0.00098697196999601,0.0005322629644035,cleveland -> va_long_beach
cleveland,va_long_beach,reliability_gated_sfda,0.9976190476190476,1.0,0.02240295786658163,0.05492609097184773,0.02637822457308677,0.999981857048283,0.9974999999999999,0.00377033727429804,0.0003816291617317589,0.00100872358339664,cleveland -> va_long_beach
hungary,cleveland,conservative_candidate,1.0,1.0,0.00459570255174345,0.0210290780458048,0.00967229939071867,0.9999790504631407,0.9965896589658966,0.00152412910051269,0.0001359887699596411,4.799406893470976e-05,hungary -> cleveland
hungary,cleveland,entropy_sfda,0.9666666666666668,0.8666666666666666,0.23169171664972107,0.7559107631437179,0.3640760034274068,0.9963822396998042,0.9412541254125413,0.054116978982491105,0.0007808387436391952,0.00922020078846228,hungary -> cleveland
hungary,cleveland,pseudo_label_sfda,0.9738095238095239,0.9,0.2208418501644001,0.7116503845644215,0.3427265099601618,0.9984877749602411,0.9665566556655666,0.03878195456124641,0.0017678540094753302,0.0040328460949617,hungary -> cleveland
hungary,cleveland,reliability_gated_sfda,0.9880952380952381,1.0,0.02386728452992242,0.0800043531532312,0.03688058665633298,0.9999429570729891,0.9936193619361935,0.00464290310582602,0.0005220214072644263,-0.00015411312382282322,hungary -> cleveland
hungary,switzerland,conservative_candidate,1.0,1.0,0.00427186355191178,0.0171234780762076,0.008640943443829211,0.9999852745312042,0.9981029810298102,0.00248828477006613,-0.00021739130434782002,-0.00187919436212441,hungary -> switzerland
hungary,switzerland,entropy_sfda,0.9904761904761905,0.9666666666666666,0.09911140644759792,0.28608560393374016,0.1420058755972236,0.9993664145270682,0.9859078590785908,0.02138829620297598,-0.0009782608695651797,-0.0026593205724490003,hungary -> switzerland
hungary,switzerland,pseudo_label_sfda,1.0,1.0,0.05168855435308426,0.15060581620787122,0.07415920677973806,0.999764471185822,0.9905149051490515,0.01239257994282046,-0.00260869565217381,-0.0023685503391658097,hungary -> switzerland
hungary,switzerland,reliability_gated_sfda,0.9976190476190476,1.0,0.02205182238821478,0.0635231106547947,0.03276716494740367,0.9999673405640233,0.9972899728997289,0.00497299621441979,-0.00043478260869564005,0.00421219159747421,hungary -> switzerland
hungary,va_long_beach,conservative_candidate,1.0,1.0,0.00396114324577435,0.01746053800227873,0.00863966173041346,0.9999804568332783,0.9964999999999999,0.0019954026816412203,-0.0002763521515989,-0.00063947454876364,hungary -> va_long_beach
hungary,va_long_beach,entropy_sfda,0.9928571428571429,1.0,0.1830709003206313,0.49113589796765716,0.2546642613881274,0.9990292001351125,0.9809999999999999,0.034293787242844646,-0.00056586392946434,0.01594711690549429,hungary -> va_long_beach
hungary,va_long_beach,pseudo_label_sfda,0.9857142857142858,1.0,0.10379570316325366,0.2825563244205532,0.13918349286031764,0.9995018605716727,0.9866666666666667,0.02185880460310722,0.0005790235557310301,-0.00078696935413695,hungary -> va_long_beach
hungary,va_long_beach,reliability_gated_sfda,1.0,1.0,0.02637654117387044,0.07075245041669241,0.03555468834405759,0.9999779607818434,0.9966666666666667,0.0054781393418088095,-0.00019739439399919,0.00293625075943501,hungary -> va_long_beach
switzerland,cleveland,conservative_candidate,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.780251734391114e-09,switzerland -> cleveland
switzerland,cleveland,entropy_sfda,0.9571428571428573,0.8333333333333333,0.1790707309759237,0.28557088476018927,0.13488210798786765,0.9940041518703351,0.9250825082508252,0.04927367867022846,-0.0029588524302508897,0.05529488008579686,switzerland -> cleveland
switzerland,cleveland,pseudo_label_sfda,0.9642857142857144,0.8,0.24755919007331192,0.3801686579944282,0.18473271281578624,0.9947583131237316,0.9298129812981297,0.05094588450079305,0.00276364274434103,0.05601468498132232,switzerland -> cleveland
switzerland,cleveland,reliability_gated_sfda,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.780251734391114e-09,switzerland -> cleveland
switzerland,hungary,conservative_candidate,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.9005287061067932e-11,switzerland -> hungary
switzerland,hungary,entropy_sfda,0.9404761904761905,0.9666666666666666,0.18124273087768217,0.2898110081827877,0.1401382621978576,0.9902281215271647,0.9113378684807255,0.04964711434987121,-0.009494179044560359,0.06953937076978799,switzerland -> hungary
switzerland,hungary,pseudo_label_sfda,0.9714285714285715,1.0,0.22444547995856098,0.3336228635514342,0.16927919432020574,0.9949009125037346,0.9349206349206349,0.04842085065890328,-0.0012796065837013199,0.06639709786676813,switzerland -> hungary
switzerland,hungary,reliability_gated_sfda,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.9005287061067932e-11,switzerland -> hungary
switzerland,va_long_beach,conservative_candidate,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-7.50098678170552e-09,switzerland -> va_long_beach
switzerland,va_long_beach,entropy_sfda,0.9928571428571429,1.0,0.10392401918967782,0.16023201399001658,0.08014543617968453,0.9972779820209678,0.9591666666666667,0.021908406198024692,0.00958678773522831,0.01062728777991258,switzerland -> va_long_beach
switzerland,va_long_beach,pseudo_label_sfda,0.9880952380952381,1.0,0.236716570658346,0.3418949946772536,0.1686606418740883,0.9953083557602266,0.9466666666666667,0.03448530882596966,0.01246216607448344,0.017539213678068342,switzerland -> va_long_beach
switzerland,va_long_beach,reliability_gated_sfda,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-7.50098678170552e-09,switzerland -> va_long_beach
va_long_beach,cleveland,conservative_candidate,1.0,1.0,0.01042244270111138,0.014779074979317611,0.007029055957955879,0.9999594493674067,0.9957095709570958,0.0018998346903142502,-2.193367257412963e-05,-0.00026805610895898693,va_long_beach -> cleveland
va_long_beach,cleveland,entropy_sfda,0.9404761904761907,0.9,0.24137187019520107,0.35354107727220246,0.17014398127131106,0.9796734138726452,0.9105610561056106,0.0967084093160755,-0.003478680470257965,0.05213534146071543,va_long_beach -> cleveland
va_long_beach,cleveland,pseudo_label_sfda,0.9976190476190476,1.0,0.03406705484742207,0.04475081396742271,0.02131983777342298,0.9997703500362863,0.9903190319031904,0.0075023280216915305,-0.00026759080540448,0.002583261869327069,va_long_beach -> cleveland
va_long_beach,cleveland,reliability_gated_sfda,0.9952380952380953,1.0,0.02143303843834325,0.029066312337283774,0.01398971133326452,0.9999303609999973,0.9942794279427943,0.0029079182214862497,0.0001666959115633989,-0.0001283765136397041,va_long_beach -> cleveland
va_long_beach,hungary,conservative_candidate,0.9952380952380953,1.0,0.01431003218949306,0.015505176630314671,0.0076727680102934796,0.9999234668899384,0.9936507936507937,0.0019070157185703302,-0.00030108390204729,4.445811129614e-05,va_long_beach -> hungary
va_long_beach,hungary,entropy_sfda,0.9261904761904762,0.9,0.3187658236034353,0.3460469163905309,0.16944248795114544,0.9752205124079568,0.8844671201814058,0.0834837881683492,0.00667402649538337,0.042273778423910405,va_long_beach -> hungary
va_long_beach,hungary,pseudo_label_sfda,0.9976190476190476,1.0,0.014901028161460012,0.014647742241477519,0.0069674399863452405,0.9998804369050545,0.9947845804988662,0.00252018178604085,0.00087816138097148,0.0005150233923135269,va_long_beach -> hungary
va_long_beach,hungary,reliability_gated_sfda,0.9928571428571429,1.0,0.02998759461327477,0.03200909160445903,0.0149079109338013,0.9998534283556187,0.9904761904761905,0.0037284111388686198,0.0003211561621839,-0.0003007423762410963,va_long_beach -> hungary
va_long_beach,switzerland,conservative_candidate,1.0,1.0,0.00381884006506015,0.00591371025877802,0.00282230612907221,0.9999909322008893,0.9981029810298102,0.0007333032726271999,-0.00043478260869565105,0.0001491798239483302,va_long_beach -> switzerland
va_long_beach,switzerland,entropy_sfda,0.9880952380952381,0.9333333333333333,0.06186784301174246,0.10016326879910334,0.04844550776363659,0.9976300610721124,0.9644986449864499,0.04112776559058237,0.00532608695652168,-0.01965426968744568,va_long_beach -> switzerland
va_long_beach,switzerland,pseudo_label_sfda,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0869291147685976e-09,va_long_beach -> switzerland
va_long_beach,switzerland,reliability_gated_sfda,0.9976190476190476,1.0,0.0072007428144305495,0.01090656741560346,0.0055467040126624696,0.9999628909192564,0.9948509485094851,0.00109331554513634,-0.00032608695652175,-0.0002381769701303119,va_long_beach -> switzerland
