source,target,seed,model_state,feature,mean_abs_shap,importance_rank
cleveland,hungary,2,conservative_candidate,sex,0.7321624882823351,2
cleveland,hungary,2,conservative_candidate,cp,0.7926358353492303,1
cleveland,hungary,2,conservative_candidate,trestbps,0.22698710864207067,6
cleveland,hungary,2,conservative_candidate,restecg,0.16724073768038122,8
cleveland,hungary,2,conservative_candidate,thalach,0.48086892041776863,4
cleveland,hungary,2,conservative_candidate,exang,0.4295632036111387,5
cleveland,hungary,2,conservative_candidate,oldpeak,0.4868604839101535,3
cleveland,hungary,2,entropy_sfda,age,0.2746264075216533,7
cleveland,hungary,2,entropy_sfda,sex,0.8122598485780411,2
cleveland,hungary,2,entropy_sfda,cp,0.9509468625781132,1
cleveland,hungary,2,entropy_sfda,trestbps,0.30971648548745556,6
cleveland,hungary,2,entropy_sfda,restecg,0.20778873777201123,8
cleveland,hungary,2,entropy_sfda,thalach,0.5750976332184561,4
cleveland,hungary,2,entropy_sfda,exang,0.5729757756704376,5
cleveland,hungary,2,entropy_sfda,oldpeak,0.6382759985494979,3
cleveland,hungary,2,pseudo_label_sfda,age,0.2535683410812397,7
cleveland,hungary,2,pseudo_label_sfda,sex,0.8579437579883604,2
cleveland,hungary,2,pseudo_label_sfda,cp,0.9640655204064535,1
cleveland,hungary,2,pseudo_label_sfda,trestbps,0.2910738752433812,6
cleveland,hungary,2,pseudo_label_sfda,restecg,0.20075749880945085,8
cleveland,hungary,2,pseudo_label_sfda,thalach,0.6063590017559172,4
cleveland,hungary,2,pseudo_label_sfda,exang,0.5548642553439757,5
cleveland,hungary,2,pseudo_label_sfda,oldpeak,0.6333961467809823,3
cleveland,hungary,2,reliability_gated_sfda,age,0.18969152737440553,7
cleveland,hungary,2,reliability_gated_sfda,sex,0.7442802393517527,2
cleveland,hungary,2,reliability_gated_sfda,cp,0.8077670458805601,1
cleveland,hungary,2,reliability_gated_sfda,trestbps,0.23220181306602344,6
cleveland,hungary,2,reliability_gated_sfda,restecg,0.16979384211279058,8
cleveland,hungary,2,reliability_gated_sfda,thalach,0.4918644867812087,4
cleveland,hungary,2,reliability_gated_sfda,exang,0.43861610384113126,5
cleveland,hungary,2,reliability_gated_sfda,oldpeak,0.4976599486861505,3
cleveland,hungary,2,source_only,age,0.1819563423482175,7
cleveland,hungary,2,source_only,sex,0.7343021311930248,2
cleveland,hungary,2,source_only,cp,0.7909686219099225,1
cleveland,hungary,2,source_only,trestbps,0.22432667317287047,6
cleveland,hungary,2,source_only,restecg,0.16690412878066424,8
cleveland,hungary,2,source_only,thalach,0.47767369895793343,4
cleveland,hungary,2,source_only,exang,0.4259330728122977,5
cleveland,hungary,2,source_only,oldpeak,0.48342226397524884,3
cleveland,hungary,3,conservative_candidate,age,0.21535426417807574,6
cleveland,hungary,3,conservative_candidate,sex,0.7420299594246206,1
cleveland,hungary,3,conservative_candidate,cp,0.7237832554692061,2
cleveland,hungary,3,conservative_candidate,trestbps,0.186539167246851,7
cleveland,hungary,3,conservative_candidate,restecg,0.11447209851490804,8
cleveland,hungary,3,conservative_candidate,thalach,0.6297255211484422,3
cleveland,hungary,3,conservative_candidate,exang,0.4781519423435334,5
cleveland,hungary,3,conservative_candidate,oldpeak,0.4899309186999794,4
cleveland,hungary,3,entropy_sfda,age,0.31984026734257864,6
cleveland,hungary,3,entropy_sfda,sex,0.8275199750451003,2
cleveland,hungary,3,entropy_sfda,cp,0.860710714823332,1
cleveland,hungary,3,entropy_sfda,trestbps,0.26041847293195475,7
cleveland,hungary,3,entropy_sfda,restecg,0.14503627989285145,8
cleveland,hungary,3,entropy_sfda,thalach,0.7617171936396028,3
cleveland,hungary,3,entropy_sfda,exang,0.6076908115627003,4
cleveland,hungary,3,entropy_sfda,oldpeak,0.6038876268949335,5
cleveland,hungary,3,pseudo_label_sfda,age,0.3027902617559572,6
cleveland,hungary,3,pseudo_label_sfda,sex,0.8622638479027213,2
cleveland,hungary,3,pseudo_label_sfda,cp,0.871947594202396,1
cleveland,hungary,3,pseudo_label_sfda,trestbps,0.24205658590693507,7
cleveland,hungary,3,pseudo_label_sfda,restecg,0.1386125615859708,8
cleveland,hungary,3,pseudo_label_sfda,thalach,0.7741160677099714,3
cleveland,hungary,3,pseudo_label_sfda,exang,0.6013199877703473,5
cleveland,hungary,3,pseudo_label_sfda,oldpeak,0.6030846217355761,4
cleveland,hungary,3,reliability_gated_sfda,age,0.21909931020515805,6
cleveland,hungary,3,reliability_gated_sfda,sex,0.7517028527245635,1
cleveland,hungary,3,reliability_gated_sfda,cp,0.7375148642161975,2
cleveland,hungary,3,reliability_gated_sfda,trestbps,0.19178994441385933,7
cleveland,hungary,3,reliability_gated_sfda,restecg,0.11568493883820011,8
cleveland,hungary,3,reliability_gated_sfda,thalach,0.6406507267439294,3
cleveland,hungary,3,reliability_gated_sfda,exang,0.48717126165370955,5
