analysis_level,method,xai_metric,outcome,outcome_interpretation,n,spearman_rho,nominal_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_iterations,inference_note
seed_level_descriptive,pseudo_label_sfda,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.6441466491588614,2.073076778478415e-15,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.2880209137467143,0.0014228899665755749,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.6653783060464797,1.136368767858642e-16,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,120,0.2501666772203652,0.0058563907390459,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,pseudo_label_sfda,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,120,0.5560199272526525,4.320963798779778e-11,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,120,0.18187319178729344,0.04680273773408491,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,120,-0.38832143520702767,1.1728210675538879e-05,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,120,-0.028730666411381132,0.7554214890435337,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,120,-0.07493473498221885,0.41597648319668956,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,120,-0.19727578160854614,0.030795938727657363,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,120,0.5832418917980414,2.7473723714774913e-12,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.3129882194673734,0.0005002875978397358,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.27931800819501346,0.002005050042426579,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.2946913334737907,0.0010859237531270812,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.27182443225223973,0.002670844560887165,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.06059953643461957,0.5108652571860018,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.6841377873463433,7.121243328281843e-18,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.17037680175921166,0.06281817607179141,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,120,-0.6480817501530163,1.2313943009793802e-15,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,120,-0.19535893190870599,0.032492522253849604,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,entropy_sfda,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,120,0.5127647753316201,2.1312523918602214e-09,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,120,-0.11156566640504942,0.22507632991525436,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,120,0.03851486042865123,0.6762044312225484,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,120,,,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,120,,,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,120,0.2527240808600282,0.0053555366469181746,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,120,0.17330860481115312,0.058360520450294974,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.06260336827244807,0.4969641419894721,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.3550790841838106,6.907160543621084e-05,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,120,0.061985036615624385,0.5012323336680616,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,120,0.3929590573142648,9.015318090743123e-06,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.24020196081569806,0.008228548193867796,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,120,0.07198389181772961,0.43462330877521604,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,120,-0.15247914537633606,0.09639674158114413,,,0,Descriptive only; seed/direction observations are not treated as independent.
seed_level_descriptive,reliability_gated_sfda,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,120,0.07788985308543259,0.3977784822532694,,,0,Descriptive only; seed/direction observations are not treated as independent.
