method,delta_roc_auc_mean,delta_roc_auc_std,delta_roc_auc_median,brier_improvement_mean,brier_improvement_std,brier_improvement_median,brier_degradation_mean,brier_degradation_std,brier_degradation_median,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,global_importance_spearman_mean,global_importance_spearman_std,global_importance_spearman_median,global_top3_overlap_fraction_mean,global_top3_overlap_fraction_std,global_top3_overlap_fraction_median,global_importance_relative_l1_drift_mean,global_importance_relative_l1_drift_std,global_importance_relative_l1_drift_median,patient_l1_drift_mean_mean,patient_l1_drift_mean_std,patient_l1_drift_mean_median,patient_l2_drift_mean_mean,patient_l2_drift_mean_std,patient_l2_drift_mean_median,patient_cosine_similarity_mean_mean,patient_cosine_similarity_mean_std,patient_cosine_similarity_mean_median,patient_top3_overlap_mean_mean,patient_top3_overlap_mean_std,patient_top3_overlap_mean_median,mean_absolute_probability_shift_mean,mean_absolute_probability_shift_std,mean_absolute_probability_shift_median,n_seed_direction_pairs,negative_adaptation_auc_rate,brier_worsened_rate
conservative_candidate,-0.00014424898493568198,0.0006599487799589887,0.0,0.0004265720290818157,0.0008049545034784368,3.5337286463169026e-05,-0.0004265720290818157,0.0008049545034784368,-3.5337286463169026e-05,-0.0009598826980257041,0.008718794639263148,0.0,0.9994047619047619,0.003732846780488839,1.0,1.0,0.0,1.0,0.005053905801157732,0.004623755771374046,0.00442387425223335,0.012816217334124526,0.009070889847928018,0.01522589734431535,0.006193758068943555,0.004409301428821555,0.00724360706569625,0.9999809126034109,2.788278499464651e-05,0.9999854033968774,0.9975491762819056,0.0029029282159652773,0.9980665566556656,0.0014759697632517775,0.0011332236859650192,0.0015702111064297502,120,0.35,0.25833333333333336
entropy_sfda,0.0003830173754708092,0.006718019972784556,-4.386734514827406e-05,-0.018636365705112037,0.028483223624283197,-0.00996464109288865,0.018636365705112037,0.028483223624283197,0.00996464109288865,-0.02694151489328601,0.05875517675888024,0.0,0.9686507936507938,0.03651996832431767,0.9761904761904764,0.9305555555555556,0.1359397442540237,1.0,0.1665458850782749,0.08701558415518572,0.1637322146136217,0.3590173007466012,0.2190862056638585,0.2861462904262775,0.17187449380223388,0.09899751360563364,0.1402357610194701,0.993632294773478,0.009466012654871455,0.997097183633309,0.9468931803583545,0.035874272958610835,0.9520238095238094,0.04713064779457334,0.0235856998687775,0.04395465097243695,120,0.5,0.7
pseudo_label_sfda,0.0011599074437005506,0.004462070175353094,0.0,-0.011548318144281472,0.023200773414641877,-0.0008938944959107,0.011548318144281472,0.023200773414641877,0.0008938944959107,-0.00120968413736008,0.010473648949397887,0.0,0.9865079365079364,0.025590332562345358,1.0,0.9722222222222222,0.09251475097093671,1.0,0.12585025372107708,0.09716727250858298,0.1006248060245163,0.28543139943413126,0.2499323329639721,0.2469053562046838,0.13542264919214184,0.11348025463410688,0.1215930882089364,0.9983534132807095,0.0023128265805518306,0.9993872895718182,0.9732229426920624,0.02528260483276741,0.9841691486221794,0.02551552700926941,0.017341888947707544,0.025329605960287098,120,0.325,0.6083333333333333
reliability_gated_sfda,-3.1976799153633877e-06,0.0008586800646506848,0.0,-0.0008647902023807234,0.001553455955641817,-2.6046438478255496e-08,0.0008647902023807234,0.001553455955641817,2.6046438478255496e-08,-0.0005833583605753624,0.0036731884523175454,0.0,0.9968253968253968,0.01152178429340413,1.0,1.0,0.0,1.0,0.016467335195234196,0.011610454645964344,0.0215121790401159,0.03974093627626777,0.031060633660369513,0.04344487143726,0.01883333199079585,0.014576532995243034,0.02069162744714695,0.9999615375723698,4.444431197524385e-05,0.999974863323962,0.9962309676815533,0.004078097674802052,0.9972899728997288,0.002903167069563427,0.0020691192466364195,0.003819543452374,120,0.24166666666666667,0.5416666666666666
