source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,1,pseudo_label_sfda,thalach,0.6942804074960247,2,0.17394116297398152,True
cleveland,hungary,1,pseudo_label_sfda,exang,0.5575069369254063,5,0.13967469617155023,False
cleveland,hungary,1,pseudo_label_sfda,oldpeak,0.6390969049895093,4,0.1601157942910609,False
cleveland,hungary,1,reliability_gated_sfda,age,0.1685897324889182,6,0.05110265052632923,False
cleveland,hungary,1,reliability_gated_sfda,sex,0.5828828765269445,2,0.1766825268489937,True
cleveland,hungary,1,reliability_gated_sfda,cp,0.7541822396570399,1,0.22860651628883366,True
cleveland,hungary,1,reliability_gated_sfda,trestbps,0.1204028383955013,8,0.0364963161283137,False
cleveland,hungary,1,reliability_gated_sfda,restecg,0.1285332235331261,7,0.038960785489517605,False
cleveland,hungary,1,reliability_gated_sfda,thalach,0.5735996531791427,3,0.17386861101024736,True
cleveland,hungary,1,reliability_gated_sfda,exang,0.452590996893693,5,0.13718866033043647,False
cleveland,hungary,1,reliability_gated_sfda,oldpeak,0.5182593061404974,4,0.15709393337732827,False
cleveland,hungary,1,source_only,age,0.1622683013988132,6,0.050343190493881175,False
cleveland,hungary,1,source_only,sex,0.5746282670570879,2,0.17827647212824882,True
cleveland,hungary,1,source_only,cp,0.7381889896996344,1,0.22902063193228314,True
cleveland,hungary,1,source_only,trestbps,0.1159099207083903,8,0.03596066001832095,False
cleveland,hungary,1,source_only,restecg,0.1265574964331759,7,0.03926403429653859,False
cleveland,hungary,1,source_only,thalach,0.5601079038781475,3,0.17377157866935247,True
cleveland,hungary,1,source_only,exang,0.4400206081898642,5,0.13651490222290452,False
cleveland,hungary,1,source_only,oldpeak,0.5055608182359917,4,0.1568485302384703,False
cleveland,hungary,2,conservative_candidate,age,0.1863731220130947,7,0.053208539985514315,False
cleveland,hungary,2,conservative_candidate,sex,0.7321624882823351,2,0.2090285155545504,True
cleveland,hungary,2,conservative_candidate,cp,0.7926358353492303,1,0.22629333609686392,True
cleveland,hungary,2,conservative_candidate,trestbps,0.2269871086420706,6,0.06480361822521442,False
cleveland,hungary,2,conservative_candidate,restecg,0.1672407376803812,8,0.0477463455135352,False
cleveland,hungary,2,conservative_candidate,thalach,0.4808689204177686,4,0.13728553185926792,False
cleveland,hungary,2,conservative_candidate,exang,0.4295632036111387,5,0.12263802123807849,False
cleveland,hungary,2,conservative_candidate,oldpeak,0.4868604839101535,3,0.13899609152697534,True
cleveland,hungary,2,entropy_sfda,age,0.2746264075216533,7,0.06325337596218072,False
cleveland,hungary,2,entropy_sfda,sex,0.8122598485780411,2,0.18708389351464624,True
cleveland,hungary,2,entropy_sfda,cp,0.9509468625781132,1,0.21902700458245972,True
cleveland,hungary,2,entropy_sfda,trestbps,0.3097164854874555,6,0.07133550438582155,False
cleveland,hungary,2,entropy_sfda,restecg,0.2077887377720112,8,0.04785897783687719,False
cleveland,hungary,2,entropy_sfda,thalach,0.5750976332184561,4,0.13245946424893293,False
cleveland,hungary,2,entropy_sfda,exang,0.5729757756704376,5,0.13197074703330092,False
cleveland,hungary,2,entropy_sfda,oldpeak,0.6382759985494979,3,0.14701103243578073,True
cleveland,hungary,2,pseudo_label_sfda,age,0.2535683410812397,7,0.058130832259554406,False
cleveland,hungary,2,pseudo_label_sfda,sex,0.8579437579883604,2,0.19668458795404004,True
cleveland,hungary,2,pseudo_label_sfda,cp,0.9640655204064535,1,0.2210131233851963,True
cleveland,hungary,2,pseudo_label_sfda,trestbps,0.2910738752433812,6,0.0667290188702635,False
cleveland,hungary,2,pseudo_label_sfda,restecg,0.2007574988094508,8,0.04602388625637185,False
cleveland,hungary,2,pseudo_label_sfda,thalach,0.6063590017559172,4,0.13900849479017202,False
cleveland,hungary,2,pseudo_label_sfda,exang,0.5548642553439757,5,0.1272032652683927,False
cleveland,hungary,2,pseudo_label_sfda,oldpeak,0.6333961467809823,3,0.1452067912160092,True
cleveland,hungary,2,reliability_gated_sfda,age,0.1896915273744055,7,0.05310698918569752,False
cleveland,hungary,2,reliability_gated_sfda,sex,0.7442802393517527,2,0.2083724200520886,True
cleveland,hungary,2,reliability_gated_sfda,cp,0.8077670458805601,1,0.22614650408434553,True
cleveland,hungary,2,reliability_gated_sfda,trestbps,0.2322018130660234,6,0.06500838148167348,False
cleveland,hungary,2,reliability_gated_sfda,restecg,0.1697938421127905,8,0.047536333655451735,False
cleveland,hungary,2,reliability_gated_sfda,thalach,0.4918644867812087,4,0.1377048429198467,False
cleveland,hungary,2,reliability_gated_sfda,exang,0.4386161038411312,5,0.12279715918670317,False
cleveland,hungary,2,reliability_gated_sfda,oldpeak,0.4976599486861505,3,0.13932736943419324,True
cleveland,hungary,2,source_only,age,0.1819563423482175,7,0.05220399497632475,False
cleveland,hungary,2,source_only,sex,0.7343021311930248,2,0.21067418850695943,True
cleveland,hungary,2,source_only,cp,0.7909686219099225,1,0.2269320290336151,True
cleveland,hungary,2,source_only,trestbps,0.2243266731728704,6,0.06436021063206919,False
cleveland,hungary,2,source_only,restecg,0.1669041287806642,8,0.04788545531278651,False
cleveland,hungary,2,source_only,thalach,0.4776736989579334,4,0.13704647531879066,False
cleveland,hungary,2,source_only,exang,0.4259330728122977,5,0.12220188483889677,False
cleveland,hungary,2,source_only,oldpeak,0.4834222639752488,3,0.13869576138055761,True
cleveland,hungary,3,conservative_candidate,age,0.2153542641780757,6,0.060155038701773175,False
cleveland,hungary,3,conservative_candidate,sex,0.7420299594246206,1,0.20727168369488694,True
cleveland,hungary,3,conservative_candidate,cp,0.7237832554692061,2,0.2021748206872888,True
cleveland,hungary,3,conservative_candidate,trestbps,0.186539167246851,7,0.052106100002050716,False
cleveland,hungary,3,conservative_candidate,restecg,0.114472098514908,8,0.03197556149036088,False
cleveland,hungary,3,conservative_candidate,thalach,0.6297255211484422,3,0.1759016160685586,True
cleveland,hungary,3,conservative_candidate,exang,0.4781519423435334,5,0.1335624753323623,False
cleveland,hungary,3,conservative_candidate,oldpeak,0.4899309186999794,4,0.13685270402271862,False
cleveland,hungary,3,entropy_sfda,age,0.3198402673425786,6,0.07290934423763404,False
cleveland,hungary,3,entropy_sfda,sex,0.8275199750451003,2,0.1886377197760978,True
cleveland,hungary,3,entropy_sfda,cp,0.860710714823332,1,0.1962037310607272,True
cleveland,hungary,3,entropy_sfda,trestbps,0.2604184729319547,7,0.05936382009241536,False
cleveland,hungary,3,entropy_sfda,restecg,0.1450362798928514,8,0.033061815966804055,False
cleveland,hungary,3,entropy_sfda,thalach,0.7617171936396028,3,0.1736376146262716,True
cleveland,hungary,3,entropy_sfda,exang,0.6076908115627003,4,0.1385264555285527,False
cleveland,hungary,3,entropy_sfda,oldpeak,0.6038876268949335,5,0.13765949871149719,False
cleveland,hungary,3,pseudo_label_sfda,age,0.3027902617559572,6,0.06887558464825529,False
cleveland,hungary,3,pseudo_label_sfda,sex,0.8622638479027213,2,0.19613882659548829,True
cleveland,hungary,3,pseudo_label_sfda,cp,0.871947594202396,1,0.1983415846502141,True
cleveland,hungary,3,pseudo_label_sfda,trestbps,0.242056585906935,7,0.05506051870894679,False
cleveland,hungary,3,pseudo_label_sfda,restecg,0.1386125615859708,8,0.03153014619248467,False
cleveland,hungary,3,pseudo_label_sfda,thalach,0.7741160677099714,3,0.17608788486105817,True
cleveland,hungary,3,pseudo_label_sfda,exang,0.6013199877703473,5,0.13678202686632326,False
cleveland,hungary,3,pseudo_label_sfda,oldpeak,0.6030846217355761,4,0.13718342747722947,False
cleveland,hungary,3,reliability_gated_sfda,age,0.219099310205158,6,0.0601415397503948,False
cleveland,hungary,3,reliability_gated_sfda,sex,0.7517028527245635,1,0.2063382443116209,True
cleveland,hungary,3,reliability_gated_sfda,cp,0.7375148642161975,2,0.20244372052669868,True
cleveland,hungary,3,reliability_gated_sfda,trestbps,0.1917899444138593,7,0.05264527101838673,False
cleveland,hungary,3,reliability_gated_sfda,restecg,0.1156849388382001,8,0.031754871072596426,False
cleveland,hungary,3,reliability_gated_sfda,thalach,0.6406507267439294,3,0.17585505455271072,True
cleveland,hungary,3,reliability_gated_sfda,exang,0.4871712616537095,5,0.13372579662876,False
cleveland,hungary,3,reliability_gated_sfda,oldpeak,0.4994473050658901,4,0.1370955021388317,False
cleveland,hungary,3,source_only,age,0.2105922960596266,6,0.059133717821073885,False
cleveland,hungary,3,source_only,sex,0.7421451337939623,1,0.2083922429509462,True
cleveland,hungary,3,source_only,cp,0.7214175926958571,2,0.202572008358542,True
cleveland,hungary,3,source_only,trestbps,0.1841904688404784,7,0.051720159823226655,False
cleveland,hungary,3,source_only,restecg,0.1134966008260617,8,0.031869522734103824,False
cleveland,hungary,3,source_only,thalach,0.624786203004876,3,0.17543818894747099,True
cleveland,hungary,3,source_only,exang,0.4751391976970394,5,0.13341773544457164,False
cleveland,hungary,3,source_only,oldpeak,0.48952213708362,4,0.13745642392006485,False
cleveland,hungary,4,conservative_candidate,age,0.1268290030967196,7,0.037059068663367924,False
cleveland,hungary,4,conservative_candidate,sex,0.5339571834434154,4,0.15602074794704338,False
cleveland,hungary,4,conservative_candidate,cp,0.810998278133275,1,0.2369713562464448,True
cleveland,hungary,4,conservative_candidate,trestbps,0.2230706169051403,6,0.06518059045503334,False
cleveland,hungary,4,conservative_candidate,restecg,0.0776754045688166,8,0.02269652903583463,False
cleveland,hungary,4,conservative_candidate,thalach,0.7016107416490004,2,0.20500863378937423,True
cleveland,hungary,4,conservative_candidate,exang,0.3684901676780613,5,0.10767176349516257,False
cleveland,hungary,4,conservative_candidate,oldpeak,0.5797158914687884,3,0.16939131036773913,True
cleveland,hungary,4,entropy_sfda,age,0.2027633592366006,7,0.04837052417793129,False
cleveland,hungary,4,entropy_sfda,sex,0.5650768897909557,4,0.1348027842058447,False
cleveland,hungary,4,entropy_sfda,cp,0.9876401131904564,1,0.2356080021264038,True
cleveland,hungary,4,entropy_sfda,trestbps,0.2964407600871078,6,0.0707178802279848,False
cleveland,hungary,4,entropy_sfda,restecg,0.1090528560937786,8,0.026015271359759583,False
cleveland,hungary,4,entropy_sfda,thalach,0.8225509522001253,2,0.19622490409891877,True
cleveland,hungary,4,entropy_sfda,exang,0.4947324366099676,5,0.11802165527710212,False
cleveland,hungary,4,entropy_sfda,oldpeak,0.7136211100788343,3,0.170238978526055,True
cleveland,hungary,4,pseudo_label_sfda,age,0.1800469272385104,7,0.042503730628597115,False
cleveland,hungary,4,pseudo_label_sfda,sex,0.6113270749591392,4,0.14431616089515675,False
cleveland,hungary,4,pseudo_label_sfda,cp,1.0007653762095412,1,0.23625097426121955,True
cleveland,hungary,4,pseudo_label_sfda,trestbps,0.2805885613237058,6,0.06623862351269007,False
cleveland,hungary,4,pseudo_label_sfda,restecg,0.0963974679259272,8,0.022756578370119913,False
cleveland,hungary,4,pseudo_label_sfda,thalach,0.8497603300287306,2,0.2006031689647389,True
