source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
cleveland,hungary,0,34,source_only,0.7993197278911565,0.7978221597751907,0.6942148760330579,0.7924528301886793,0.8031914893617021,0.7400881057268722,0.581169915757731,0.8741971095945404,0.826337821539274,0.1426142156124115,151,37,22,84
cleveland,hungary,0,34,pseudo_label_sfda,0.8095238095238095,0.7996286631874749,0.7232142857142857,0.7641509433962265,0.8351063829787234,0.7431192660550459,0.5925165756698846,0.8729425933360095,0.8250591090868753,0.14454502868740562,157,31,25,81
cleveland,hungary,0,34,entropy_sfda,0.8095238095238095,0.7955138498594941,0.7314814814814815,0.7452830188679245,0.8457446808510638,0.7383177570093458,0.5886692397938273,0.8722902448815737,0.8227558073459101,0.14253516843523906,159,29,27,79
cleveland,hungary,0,34,reliability_gated_sfda,0.7959183673469388,0.7931051786431152,0.6916666666666667,0.7830188679245284,0.8031914893617021,0.7345132743362832,0.5726906563115207,0.873896025692493,0.8257956775398907,0.14270738590565893,151,37,23,83
cleveland,hungary,0,34,conservative_candidate,0.7959183673469388,0.7931051786431152,0.6916666666666667,0.7830188679245284,0.8031914893617021,0.7345132743362832,0.5726906563115207,0.8737454837414693,0.8254779737908458,0.14215532592183264,151,37,23,83
cleveland,switzerland,0,34,source_only,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.775,0.9811255809577883,0.14868010580539703,4,4,24,91
cleveland,switzerland,0,34,pseudo_label_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7749999999999999,0.9811529061024953,0.1414908778405227,4,4,23,92
cleveland,switzerland,0,34,entropy_sfda,0.7886178861788617,0.6543478260869565,0.9587628865979382,0.808695652173913,0.5,0.8773584905660378,0.1864454911778977,0.7728260869565218,0.9809407797746577,0.13797011305580187,4,4,22,93
cleveland,switzerland,0,34,reliability_gated_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7760869565217392,0.9812928668869991,0.1518395264802541,4,4,24,91
cleveland,switzerland,0,34,conservative_candidate,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.775,0.9810598495877092,0.14732153746040244,4,4,24,91
cleveland,va_long_beach,0,34,source_only,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7223976839057771,0.8775444785232398,0.17915938794612885,23,28,22,127
cleveland,va_long_beach,0,34,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7210817212791157,0.8769736806459807,0.1799926972998992,23,28,21,128
cleveland,va_long_beach,0,34,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7184497960257928,0.8754196200646642,0.18117351748987898,23,28,21,128
cleveland,va_long_beach,0,34,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7229240689564417,0.8777939668265398,0.1802836444908613,23,28,22,127
