method,mean_direction_delta_auc,sd_direction_delta_auc,mean_direction_brier_improvement,sd_direction_brier_improvement,mean_direction_delta_balanced_accuracy,mean_negative_adaptation_rate_pct,mean_brier_worsening_rate_pct
conservative_candidate,-0.00014424898493568632,0.00018932131947703448,0.0004265720290818348,0.0007004524456018443,-0.0009598826980257002,35.0,25.833333333333332
entropy_sfda,0.00038301737547080964,0.005047439005534745,-0.01863636570511206,0.028857206850864132,-0.02694151489328601,50.0,70.0
pseudo_label_sfda,0.0011599074437005587,0.0038312157780984075,-0.01154831814428149,0.023970885665891166,-0.001209684137360074,32.5,60.833333333333336
reliability_gated_sfda,-3.1976799153593507e-06,0.0003031345851286444,-0.0008647902023807383,0.0015578536741988277,-0.0005833583605753626,24.166666666666668,54.166666666666664
