source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
cleveland,switzerland,0,pseudo_label_sfda,5,99,24,0.0101010101010101,39.0,0.3939393939393939,37.0,2.0,0.9364274740219116,False,,,,,,,,,,,,,,,,,,
cleveland,switzerland,0,entropy_sfda,1,98,25,0.012755102040816325,,,,,,,0.40427130460739136,0.3622656762599945,0.7296524047851562,0.7594988346099854,0.7959183673469388,0.8061224489795918,0.8287612199783325,0.851402223110199,,,,,,,,,,
cleveland,switzerland,0,entropy_sfda,2,98,25,0.007653061224489795,,,,,,,0.4175381660461426,0.3772050440311432,0.7181617021560669,0.7465502619743347,0.7551020408163265,0.7755102040816326,0.8187138438224792,0.8393498659133911,,,,,,,,,,
cleveland,switzerland,0,entropy_sfda,3,98,25,0.011479591836734693,,,,,,,0.4401358366012573,0.4006556272506714,0.7079739570617676,0.7399619221687317,0.7755102040816326,0.7857142857142857,0.8054407238960266,0.8283644914627075,,,,,,,,,,
cleveland,switzerland,0,entropy_sfda,4,99,24,0.01388888888888889,,,,,,,0.4214923679828644,0.3818119764328003,0.7091758847236633,0.7402338981628418,0.7676767676767676,0.7878787878787878,0.8152147531509399,0.837525486946106,,,,,,,,,,
cleveland,switzerland,0,entropy_sfda,5,99,24,0.0101010101010101,,,,,,,0.40357863903045654,0.36252471804618835,0.7207004427909851,0.7470905184745789,0.7676767676767676,0.7777777777777778,0.8282114863395691,0.8494299650192261,,,,,,,,,,
cleveland,switzerland,0,reliability_gated_sfda,1,98,25,0.012755102040816325,40.0,0.40816326530612246,,,0.8479120135307312,False,0.40427130460739136,0.400039404630661,0.7296524047851562,0.7283395528793335,0.7959183673469388,0.7959183673469388,,,20.0,78.0,20.0,0.7959183673469388,0.40816326530612246,0.3416721670516379,0.004023346584290266,,,
cleveland,switzerland,0,reliability_gated_sfda,2,98,25,0.007653061224489795,40.0,0.40816326530612246,,,0.8440507650375366,False,0.4175381660461426,0.4138726592063904,0.7181617021560669,0.7149722576141357,0.7551020408163265,0.7551020408163265,,,20.0,74.0,24.0,0.7551020408163265,0.48979591836734704,0.4102487475213683,0.004941032733768225,,,
cleveland,switzerland,0,reliability_gated_sfda,3,98,25,0.011479591836734693,40.0,0.40816326530612246,,,0.8378809690475464,False,0.4401358366012573,0.4365517497062683,0.7079739570617676,0.706902801990509,0.7755102040816326,0.7755102040816326,,,20.0,76.0,22.0,0.7755102040816326,0.44897959183673475,0.37187293112923436,0.0033708184491842985,,,
cleveland,switzerland,0,reliability_gated_sfda,4,99,24,0.01388888888888889,40.0,0.40404040404040403,,,0.8550131916999817,False,0.4214923679828644,0.4180734157562256,0.7091758847236633,0.7062883377075195,0.7676767676767676,0.7676767676767676,,,20.0,76.0,23.0,0.7676767676767676,0.46464646464646475,0.3917610948501881,0.004598434083163738,,,
cleveland,switzerland,0,reliability_gated_sfda,5,99,24,0.0101010101010101,40.0,0.40404040404040403,,,0.856709361076355,False,0.40357863903045654,0.3993310332298279,0.7207004427909851,0.717960774898529,0.7676767676767676,0.7676767676767676,,,20.0,76.0,23.0,0.7676767676767676,0.46464646464646475,0.3940460973096836,0.004662972409278154,,,
cleveland,switzerland,0,conservative_candidate,1,98,25,0.012755102040816325,40.0,,,,0.8479120135307312,False,0.40427130460739136,0.401593953371048,,,0.7959183673469388,0.7959183673469388,,,20.0,,,0.7959183673469388,0.40816326530612246,0.3416721670516379,,full,0.9872448979591837,0.0028503993526101112
cleveland,switzerland,0,conservative_candidate,2,98,25,0.007653061224489795,40.0,,,,0.8440507650375366,False,0.4175381660461426,0.4165987968444824,,,0.7551020408163265,0.7551020408163265,,,20.0,,,0.7551020408163265,0.48979591836734704,0.4102487475213683,,full,0.9923469387755102,0.001260278164409101
cleveland,switzerland,0,conservative_candidate,3,98,25,0.011479591836734693,40.0,,,,0.8378809690475464,False,0.4401358366012573,0.43886619806289673,,,0.7755102040816326,0.7755102040816326,,,20.0,,,0.7755102040816326,0.44897959183673475,0.37187293112923436,,full,0.9885204081632653,0.00327007076703012
cleveland,switzerland,0,conservative_candidate,4,99,24,0.01388888888888889,40.0,,,,0.8550131916999817,False,0.4214923679828644,0.42033684253692627,,,0.7676767676767676,0.7676767676767676,,,20.0,,,0.7676767676767676,0.46464646464646475,0.3917610948501881,,full,0.9861111111111112,0.002408569911494851
