source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc,brier_worsened
cleveland,hungary,0,34,pseudo_label_sfda,0.8095238095238095,0.7996286631874749,0.7232142857142857,0.7641509433962265,0.8351063829787234,0.7431192660550459,0.5925165756698846,0.8729425933360095,0.8250591090868753,0.14454502868740562,157,31,25,81,0.8741971095945404,0.826337821539274,0.7978221597751907,0.1426142156124115,-0.0012545162585309022,-0.0012787124523987448,0.0018065034122842771,-0.0019308130749941255,True,True
cleveland,hungary,0,34,entropy_sfda,0.8095238095238095,0.7955138498594941,0.7314814814814815,0.7452830188679245,0.8457446808510638,0.7383177570093458,0.5886692397938273,0.8722902448815737,0.8227558073459101,0.14253516843523906,159,29,27,79,0.8741971095945404,0.826337821539274,0.7978221597751907,0.1426142156124115,-0.0019068647129667493,-0.0035820141933639027,-0.002308309915696527,7.904717717244214e-05,True,False
cleveland,hungary,0,34,reliability_gated_sfda,0.7959183673469388,0.7931051786431152,0.6916666666666667,0.7830188679245284,0.8031914893617021,0.7345132743362832,0.5726906563115207,0.873896025692493,0.8257956775398907,0.14270738590565893,151,37,23,83,0.8741971095945404,0.826337821539274,0.7978221597751907,0.1426142156124115,-0.00030108390204741653,-0.0005421439993833488,-0.004716981132075415,-9.317029324742987e-05,True,True
cleveland,hungary,0,34,conservative_candidate,0.7959183673469388,0.7931051786431152,0.6916666666666667,0.7830188679245284,0.8031914893617021,0.7345132743362832,0.5726906563115207,0.8737454837414693,0.8254779737908458,0.14215532592183264,151,37,23,83,0.8741971095945404,0.826337821539274,0.7978221597751907,0.1426142156124115,-0.0004516258530711248,-0.0008598477484282885,-0.004716981132075415,0.000458889690578862,True,False
cleveland,switzerland,0,34,pseudo_label_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7749999999999999,0.9811529061024953,0.1414908778405227,4,4,23,92,0.775,0.9811255809577883,0.6456521739130434,0.14868010580539703,-1.1102230246251565e-16,2.732514470693559e-05,0.004347826086956608,0.00718922796487434,False,False
cleveland,switzerland,0,34,entropy_sfda,0.7886178861788617,0.6543478260869565,0.9587628865979382,0.808695652173913,0.5,0.8773584905660378,0.1864454911778977,0.7728260869565218,0.9809407797746577,0.13797011305580187,4,4,22,93,0.775,0.9811255809577883,0.6456521739130434,0.14868010580539703,-0.0021739130434782483,-0.0001848011831306895,0.008695652173913104,0.010709992749595165,True,False
cleveland,switzerland,0,34,reliability_gated_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7760869565217392,0.9812928668869991,0.1518395264802541,4,4,24,91,0.775,0.9811255809577883,0.6456521739130434,0.14868010580539703,0.0010869565217391797,0.0001672859292107809,0.0,-0.0031594206748570552,False,True
cleveland,switzerland,0,34,conservative_candidate,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.775,0.9810598495877092,0.14732153746040244,4,4,24,91,0.775,0.9811255809577883,0.6456521739130434,0.14868010580539703,0.0,-6.573137007914731e-05,0.0,0.0013585683449945929,False,False
cleveland,va_long_beach,0,34,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7210817212791157,0.8769736806459807,0.1799926972998992,23,28,21,128,0.7223976839057771,0.8775444785232398,0.6516646927227266,0.17915938794612885,-0.0013159626266613378,-0.0005707978772591105,0.003355704697986628,-0.0008333093537703506,True,True
cleveland,va_long_beach,0,34,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7184497960257928,0.8754196200646642,0.18117351748987898,23,28,21,128,0.7223976839057771,0.8775444785232398,0.6516646927227266,0.17915938794612885,-0.003947887879984235,-0.0021248584585755736,0.003355704697986628,-0.0020141295437501316,True,True
cleveland,va_long_beach,0,34,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7229240689564417,0.8777939668265398,0.1802836444908613,23,28,22,127,0.7223976839057771,0.8775444785232398,0.6516646927227266,0.17915938794612885,0.0005263850506646017,0.00024948830329996063,0.0,-0.0011242565447324437,False,True
