source,target,method,mean_source_auc,mean_adapted_auc,mean_delta_auc,sd_delta_auc,mean_delta_pr_auc,mean_brier_improvement,sd_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,brier_worsening_rate,negative_adaptation_rate_pct,brier_worsening_rate_pct
cleveland,hungary,conservative_candidate,0.8766860698514654,0.8765054195102369,-0.00018065034122839442,0.00032105160214125183,-0.00034837680730155364,0.00026125764267909135,0.00016189933793155054,0.0004466077880369124,0.5,0.1,50.0,10.0
cleveland,hungary,entropy_sfda,0.8766860698514654,0.8751304696908871,-0.0015556001605780856,0.0008717258276993523,-0.003342469224478928,0.0014860600806393897,0.0013629178163508907,0.004752107587314314,1.0,0.1,100.0,10.0
cleveland,hungary,pseudo_label_sfda,0.8766860698514654,0.8760839020473705,-0.0006021678040947331,0.0009007702407223335,-0.0011293144794750297,-0.00023542280522881044,0.0013822320915256243,0.005554997992773991,0.7,0.5,70.0,50.0
cleveland,hungary,reliability_gated_sfda,0.8766860698514654,0.8765405459654756,-0.00014552388598957356,0.00017131791287393824,-0.00041263702719878114,-0.0002026813117631643,0.00012770162630949643,0.0001806503412284055,0.7,0.9,70.0,90.0
cleveland,switzerland,conservative_candidate,0.7541304347826087,0.753695652173913,-0.0004347826086956386,0.0011684431519273122,-8.52892272728556e-05,0.0017886080536233834,0.0005871610488717927,-0.01163043478260869,0.3,0.0,30.0,0.0
cleveland,switzerland,entropy_sfda,0.7541304347826087,0.7540217391304348,-0.00010869565217389577,0.0027806643267173675,0.00017954656599650232,0.008936651149771888,0.003972283569997762,-0.007880434782608636,0.5,0.0,50.0,0.0
cleveland,switzerland,pseudo_label_sfda,0.7541304347826087,0.7533695652173913,-0.0007608695652174035,0.0021769302733043033,-0.00012851569342533508,0.006114475140783895,0.003926235045788418,-0.006413043478260838,0.4,0.0,40.0,0.0
cleveland,switzerland,reliability_gated_sfda,0.7541304347826087,0.753804347826087,-0.0003260869565217095,0.0019206316348838626,6.781592605313858e-05,-0.0028390489100740294,0.0003603286417837576,-0.0021739130434782596,0.4,1.0,40.0,100.0
cleveland,va_long_beach,conservative_candidate,0.7238847216739045,0.7238847216739044,-2.2204460492503132e-17,0.000946924294640671,-8.428559510403888e-05,0.0005239008872712613,0.000196273409339184,0.0006711409395973144,0.6,0.0,60.0,0.0
cleveland,va_long_beach,entropy_sfda,0.7238847216739045,0.7252533228056324,0.0013686011317278312,0.00285307387802643,0.00020154320952789906,-0.001334713737570542,0.0008252031655857539,0.0023489932885906173,0.3,1.0,30.0,100.0
cleveland,va_long_beach,pseudo_label_sfda,0.7238847216739045,0.7248716936439006,0.0009869719699960422,0.002201371189652036,9.559171023466595e-05,-0.0005322629644035459,0.0007000901322735377,0.0020134228187919435,0.3,0.8,30.0,80.0
cleveland,va_long_beach,reliability_gated_sfda,0.7238847216739045,0.7242663508356363,0.00038162916173176684,0.00043180154238981464,2.5387397893639196e-05,-0.0010087235833966784,0.00012045454543282611,-0.0006711409395973144,0.1,1.0,10.0,100.0
hungary,cleveland,conservative_candidate,0.8606115107913668,0.8607474995613267,0.0001359887699596607,0.0002999919215807421,7.408122735330647e-05,-4.799406893471192e-05,0.0001155630817846465,-0.0003597122302158473,0.3,0.6,30.0,60.0
hungary,cleveland,entropy_sfda,0.8606115107913668,0.8613923495350061,0.0007808387436392339,0.0008543314850553668,0.0018996230943109315,-0.009220200788462331,0.0018952296097102537,-0.006924460431654666,0.2,1.0,20.0,100.0
hungary,cleveland,pseudo_label_sfda,0.8606115107913668,0.8623793648008423,0.001767854009475378,0.0008075643451479456,0.0019384713731259162,-0.004032846094961759,0.0015041287332009335,0.0026101070363221844,0.0,1.0,0.0,100.0
hungary,cleveland,reliability_gated_sfda,0.8606115107913668,0.8611335321986313,0.0005220214072644725,0.00036318464775946885,0.00047761065230781383,0.00015411312382284103,0.00011790863358507978,0.00046938059308648805,0.1,0.1,10.0,10.0
hungary,switzerland,conservative_candidate,0.7490217391304348,0.748804347826087,-0.00021739130434781374,0.00112260386846589,2.1448912644139727e-05,0.0018791943621244618,0.0011256756429329304,0.0008695652173913105,0.2,0.1,20.0,10.0
hungary,switzerland,entropy_sfda,0.7490217391304348,0.7480434782608696,-0.0009782608695651951,0.002963493485025879,-8.423084341259157e-05,0.00265932057244902,0.004090138473220145,-0.009891304347826091,0.6,0.3,60.0,30.0
hungary,switzerland,pseudo_label_sfda,0.7490217391304348,0.7464130434782609,-0.0026086956521738647,0.0021250548258862846,-0.0003016954074332778,0.0023685503391658175,0.004120034401580801,-0.0032065217391304413,1.0,0.4,100.0,40.0
hungary,switzerland,reliability_gated_sfda,0.7490217391304348,0.7485869565217391,-0.00043478260869564964,0.001554174680400514,-4.01889910625397e-05,-0.004212191597474263,0.0008192687599217245,-0.00391304347826088,0.3,1.0,30.0,100.0
hungary,va_long_beach,conservative_candidate,0.741834451901566,0.7415580997499671,-0.00027635215159890205,0.0007583771833714519,-2.9870177299495815e-05,0.0006394745487636772,0.00044617745612600445,-0.0006448216870640899,0.6,0.1,60.0,10.0
hungary,va_long_beach,entropy_sfda,0.741834451901566,0.7412685879721016,-0.0005658639294643608,0.002017857040122786,-5.526190073461557e-05,-0.015947116905494337,0.0032751115685845265,-0.0016778523489933029,0.6,1.0,60.0,100.0
hungary,va_long_beach,pseudo_label_sfda,0.741834451901566,0.742413475457297,0.0005790235557310397,0.0014418317626489201,0.00015826307758468606,0.0007869693541369654,0.0030268986766391025,0.0011383076720621332,0.4,0.3,40.0,30.0
hungary,va_long_beach,reliability_gated_sfda,0.741834451901566,0.7416370575075668,-0.00019739439399920621,0.0004815216563605024,-4.775448082835476e-05,-0.002936250759435058,0.00046458437037548986,0.0,0.6,1.0,60.0,100.0
switzerland,cleveland,conservative_candidate,0.7949771889805228,0.7949771889805228,0.0,0.0,0.0,-2.780251734391115e-09,1.761065052693326e-08,0.0,0.0,0.4,0.0,40.0
switzerland,cleveland,entropy_sfda,0.7949771889805228,0.792018336550272,-0.0029588524302509136,0.004103706839577106,0.0018563706345950614,-0.055294880085796916,0.006620138812327734,0.0,0.8,1.0,80.0,100.0
switzerland,cleveland,pseudo_label_sfda,0.7949771889805228,0.797740831724864,0.002763642744341066,0.00293164592057269,0.004838486306614343,-0.05601468498132236,0.004092143007401865,0.0,0.2,1.0,20.0,100.0
switzerland,cleveland,reliability_gated_sfda,0.7949771889805228,0.7949771889805228,0.0,0.0,0.0,-2.780251734391115e-09,1.761065052693326e-08,0.0,0.0,0.4,0.0,40.0
switzerland,hungary,conservative_candidate,0.8610999598554798,0.8610999598554798,0.0,0.0,0.0,2.9005287061067974e-11,1.8787461746321295e-08,0.0,0.0,0.3,0.0,30.0
switzerland,hungary,entropy_sfda,0.8610999598554798,0.8516057808109194,-0.009494179044560413,0.008667424897531499,-0.01502332440984796,-0.06953937076978806,0.005863632776530749,0.0,1.0,1.0,100.0,100.0
switzerland,hungary,pseudo_label_sfda,0.8610999598554798,0.8598203532717784,-0.0012796065837013203,0.0061896362558682945,0.0016423909763602085,-0.06639709786676817,0.005128744711631459,0.0,0.5,1.0,50.0,100.0
switzerland,hungary,reliability_gated_sfda,0.8610999598554798,0.8610999598554798,0.0,0.0,0.0,2.9005287061067974e-11,1.8787461746321295e-08,0.0,0.0,0.3,0.0,30.0
switzerland,va_long_beach,conservative_candidate,0.6982102908277404,0.6982102908277404,0.0,0.0,0.0,7.50098678170552e-09,1.1129481665831741e-08,0.0,0.0,0.0,0.0,0.0
switzerland,va_long_beach,entropy_sfda,0.6982102908277404,0.7077970785629688,0.009586787735228353,0.0037601711536441344,0.00568895482051579,-0.01062728777991263,0.0011479859192146348,0.0,0.0,1.0,0.0,100.0
switzerland,va_long_beach,pseudo_label_sfda,0.6982102908277404,0.710672456902224,0.012462166074483494,0.004137348734351185,0.0075531134549311485,-0.017539213678068377,0.001029349917579729,0.0,0.0,1.0,0.0,100.0
switzerland,va_long_beach,reliability_gated_sfda,0.6982102908277404,0.6982102908277404,0.0,0.0,0.0,7.50098678170552e-09,1.1129481665831741e-08,0.0,0.0,0.0,0.0,0.0
va_long_beach,cleveland,conservative_candidate,0.8444946481838919,0.8444727145113177,-2.193367257413703e-05,0.0003671661557433614,-5.599102010680479e-05,0.0002680561089590056,0.000502742655307453,0.0006645902789963132,0.7,0.4,70.0,40.0
va_long_beach,cleveland,entropy_sfda,0.8444946481838919,0.8410159677136338,-0.003478680470257989,0.006793981978087908,-0.004274415364972017,-0.05213534146071548,0.01467716547030039,-0.11017283733988419,0.7,1.0,70.0,100.0
va_long_beach,cleveland,pseudo_label_sfda,0.8444946481838919,0.8442270573784875,-0.00026759080540449397,0.0008267698348819859,1.1382344842869595e-05,-0.0025832618693271024,0.0018297106427088506,-0.011366029127917187,0.4,0.9,40.0,90.0
va_long_beach,cleveland,reliability_gated_sfda,0.8444946481838919,0.8446613440954553,0.00016669591156341922,0.00030588540363788656,8.796869951477326e-05,0.00012837651363971635,0.0006129910627142979,0.0009694683277768013,0.3,0.5,30.0,50.0
va_long_beach,hungary,conservative_candidate,0.8822511039743075,0.8819500200722601,-0.0003010839020473166,0.0005637729006541279,-0.0001177719977331626,-4.445811129613897e-05,0.0005245332009167294,-0.0015355279004416245,0.7,0.6,70.0,60.0
va_long_beach,hungary,entropy_sfda,0.8822511039743075,0.8889251304696909,0.006674026495383423,0.007994260420845107,0.007011759979310162,-0.04227377842391045,0.013977167306026704,-0.13580891208350063,0.1,1.0,10.0,100.0
va_long_beach,hungary,pseudo_label_sfda,0.8822511039743075,0.883129265355279,0.0008781613809714983,0.0012264923841588493,0.0019150931696039985,-0.0005150233923135461,0.0007753514187300819,-0.004847450822962673,0.0,0.4,0.0,40.0
va_long_beach,hungary,reliability_gated_sfda,0.8822511039743075,0.8825722601364914,0.00032115616218392207,0.0007230194160709428,0.0005860043787543456,0.00030074237624110045,0.0008124704744438072,-0.0018617021276595923,0.2,0.3,20.0,30.0
va_long_beach,switzerland,conservative_candidate,0.7050000000000001,0.7045652173913044,-0.00043478260869567187,0.0007600064117175179,-0.00012458605694797286,-0.00014917982394834634,0.00039214286002915765,0.0,0.3,0.5,30.0,50.0
va_long_beach,switzerland,entropy_sfda,0.7050000000000001,0.7103260869565218,0.005326086956521725,0.006243038551119663,0.0003700470902566311,0.019654269687445724,0.0030861930606045675,-0.058043478260869565,0.2,0.0,20.0,0.0
