seed,target,variant,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,roc_auc,pr_auc,balanced_accuracy,brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc,brier_worsened
0,hungary,no_pseudo,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,0.8766057808109194,0.8299431909550001,0.8123243677238057,0.13646824114853048,-0.0002007226013647223,-8.998785885117044e-05,0.005319148936170137,0.000429352588118076,True,False
0,hungary,no_entropy,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,0.8766057808109193,0.8300323574605353,0.8096647932557206,0.13708067550945985,-0.00020072260136483333,-8.213533160272846e-07,0.0026595744680850686,-0.0001830817728112888,True,True
0,hungary,no_anchor,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,0.8766057808109194,0.8299213958693001,0.8070052187876355,0.13716724904876976,-0.0002007226013647223,-0.00011178294455116422,0.0,-0.00026965531212119753,True,True
0,hungary,no_prior,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.13689759373664856,0.8766057808109193,0.8300323574605353,0.8096647932557206,0.13705979375213548,-0.00020072260136483333,-8.213533160272846e-07,0.0026595744680850686,-0.00016220001548691854,True,True
0,switzerland,no_pseudo,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,0.7641304347826087,0.9802499023907078,0.6413043478260869,0.15934347278894592,-0.0021739130434782483,-0.0001956151436374176,0.0,0.0015762382048208623,True,False
0,switzerland,no_entropy,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,0.7641304347826088,0.9802738588058276,0.6369565217391304,0.16462897352889,-0.0021739130434781373,-0.00017165872851754305,-0.004347826086956497,-0.0037092625351232145,True,True
0,switzerland,no_anchor,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,0.7630434782608696,0.9801460394048089,0.6369565217391304,0.166073063456021,-0.003260869565217317,-0.00029947812953623476,-0.004347826086956497,-0.005153352462254207,True,True
0,switzerland,no_prior,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.16091971099376678,0.7641304347826088,0.9802738588058276,0.6369565217391304,0.16469148226615682,-0.0021739130434781373,-0.00017165872851754305,-0.004347826086956497,-0.0037717712723900343,True,True
0,va_long_beach,no_pseudo,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,0.7301618634030793,0.8808295177485732,0.6550203974207133,0.17793653515431174,0.0,0.0002615119486797379,0.0,0.0003451594963382876,False,False
0,va_long_beach,no_entropy,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,0.7305566521910778,0.8810830339159523,0.6550203974207133,0.17950896791704238,0.00039478878799847905,0.0005150281160588577,0.0,-0.0012272732663923536,False,True
0,va_long_beach,no_anchor,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,0.7304250559284117,0.8807907821884312,0.6550203974207133,0.17978155294458273,0.0002631925253323564,0.00022277638853773762,0.0,-0.0014998582939327043,False,True
0,va_long_beach,no_prior,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065002,0.7306882484537439,0.881114709347731,0.6550203974207133,0.17954210893039907,0.0005263850506646017,0.0005467035478374793,0.0,-0.0012604142797490447,False,True
1,hungary,no_pseudo,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,0.880469690887194,0.8422782602659037,0.8070052187876355,0.1327013055122276,-0.0003512645523885416,9.645971896343752e-06,0.0,0.0001827200615028557,True,False
1,hungary,no_entropy,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,0.8807205941389001,0.8422645786281446,0.8070052187876355,0.1331050895695687,-0.00010036130068236115,-4.035665862711646e-06,0.0,-0.00022106399583823877,True,True
1,hungary,no_anchor,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,0.8806704134885588,0.8420792183787479,0.8070052187876355,0.13312680197932567,-0.00015054195102370826,-0.00018939591525946042,0.0,-0.00024277640559519642,True,True
1,hungary,no_prior,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.13288402557373047,0.8807205941389001,0.8422645786281446,0.8070052187876355,0.1330867437730358,-0.00010036130068236115,-4.035665862711646e-06,0.0,-0.00020271819930534063,True,True
1,switzerland,no_pseudo,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.7510869565217391,0.9774263888061681,0.6369565217391304,0.1552898531236032,0.0010869565217390686,0.0001278194010185807,0.0,0.0010978634081503513,False,False
1,switzerland,no_entropy,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.7489130434782608,0.97722248614199,0.6326086956521739,0.1589297373563185,-0.0010869565217391797,-7.608326315944325e-05,-0.004347826086956497,-0.00254202082456495,True,True
1,switzerland,no_anchor,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.75,0.9774454515823467,0.6326086956521739,0.15935769521461476,0.0,0.0001468821771972717,-0.004347826086956497,-0.002969978682861224,False,True
1,switzerland,no_prior,0.75,0.9772985694051495,0.6369565217391304,0.15638771653175354,0.7489130434782608,0.97722248614199,0.6326086956521739,0.1588478664175766,-0.0010869565217391797,-7.608326315944325e-05,-0.004347826086956497,-0.0024601498858230486,True,True
1,va_long_beach,no_pseudo,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.7392420055270429,0.890200583017378,0.6550203974207133,0.17500204672603858,0.0010527701013289814,0.00043577786929971385,0.003355704697986628,0.0003170884630178117,False,False
1,va_long_beach,no_entropy,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.73832083168838,0.8898846540180562,0.6516646927227266,0.1761651081041466,0.00013159626266612268,0.0001198488699778455,0.0,-0.0008459729150901985,False,True
1,va_long_beach,no_anchor,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.7387156204763785,0.8899850632620735,0.6516646927227266,0.17630313639966613,0.0005263850506646017,0.00022025811399517536,0.0,-0.0009840012106097362,False,True
1,va_long_beach,no_prior,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.73832083168838,0.8898846540180562,0.6516646927227266,0.17617289533002808,0.00013159626266612268,0.0001198488699778455,0.0,-0.0008537601409716877,False,True
2,hungary,no_pseudo,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,0.8780610196708148,0.8270468608798458,0.8096647932557206,0.13465757159726333,-1.1102230246251565e-16,-0.00018456937080579827,0.007978723404255317,0.0002917251156120404,False,False
2,hungary,no_entropy,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,0.8781613809714973,0.8271135773800156,0.8070052187876355,0.1350263433165035,0.00010036130068236115,-0.00011785287063603711,0.005319148936170248,-7.704660362814475e-05,False,True
2,hungary,no_anchor,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,0.8787133681252509,0.8281487403405757,0.8117221999197111,0.13501668738535272,0.0006523484544359581,0.0009173100899241282,0.010036130068245774,-6.739067247735209e-05,False,True
2,hungary,no_prior,0.878061019670815,0.8272314302506516,0.8016860698514653,0.13494929671287537,0.8782115616218387,0.827365585585461,0.8070052187876355,0.13496871795360532,0.00015054195102370826,0.0001341553348094271,0.005319148936170248,-1.9421240729955436e-05,False,True
2,switzerland,no_pseudo,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,0.7543478260869566,0.9783732443195486,0.6369565217391304,0.15906861158561866,-0.0021739130434781373,-0.0003217991097451689,0.004347826086956497,0.0016800936822875256,True,False
2,switzerland,no_entropy,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,0.7576086956521739,0.9788954484367846,0.6282608695652174,0.16457972687205769,0.0010869565217391797,0.00020040500749074486,-0.004347826086956497,-0.0038310216041514966,False,True
2,switzerland,no_anchor,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,0.7576086956521739,0.9789718752477166,0.6282608695652174,0.16605640068843755,0.0010869565217391797,0.0002768318184227514,-0.004347826086956497,-0.005307695420531361,False,True
2,switzerland,no_prior,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,0.7576086956521739,0.9788954484367846,0.6282608695652174,0.1646320861780736,0.0010869565217391797,0.00020040500749074486,-0.004347826086956497,-0.0038833809101674055,False,True
2,va_long_beach,no_pseudo,0.7154230819844715,0.8792612797498622,0.6550203974207133,0.17846263945102692,0.7150282931964732,0.878955220078728,0.6550203974207133,0.17797734348311892,-0.000394788787998257,-0.00030605967113428445,0.0,0.00048529596790800045,True,False
2,va_long_beach,no_entropy,0.7154230819844715,0.8792612797498622,0.6550203974207133,0.17846263945102692,0.7166074483484668,0.879896775845951,0.6550203974207133,0.17942913565536509,0.0011843663639953261,0.0006354960960888167,0.0,-0.0009664962043381686,False,True
2,va_long_beach,no_anchor,0.7154230819844715,0.8792612797498622,0.6550203974207133,0.17846263945102692,0.7175286221871299,0.8803380416279334,0.6550203974207133,0.17981336556528696,0.002105540202658407,0.001076761878071153,0.0,-0.0013507261142600424,False,True
2,va_long_beach,no_prior,0.7154230819844715,0.8792612797498622,0.6550203974207133,0.17846263945102692,0.7166074483484668,0.8798878818828729,0.6550203974207133,0.17948297592865559,0.0011843663639953261,0.0006266021330106897,0.0,-0.0010203364776286694,False,True
3,hungary,no_pseudo,0.8733942191890808,0.829258584010152,0.7975712565234846,0.13829657435417175,0.8730429546366921,0.8288881034881519,0.7975712565234846,0.13816185937431752,-0.0003512645523886526,-0.00037048052200006065,0.0,0.00013471497985423353,True,False
3,hungary,no_entropy,0.8733942191890808,0.829258584010152,0.7975712565234846,0.13829657435417175,0.8729425933360097,0.8288768054739555,0.7975712565234846,0.13851476279526134,-0.0004516258530711248,-0.0003817785361964754,0.0,-0.00021818844108958957,True,True
3,hungary,no_anchor,0.8733942191890808,0.829258584010152,0.7975712565234846,0.13829657435417175,0.8728422320353272,0.8288210234697444,0.7975712565234846,0.1384394491847253,-0.000551987153753597,-0.00043756054040755554,0.0,-0.00014287483055355765,True,True
3,hungary,no_prior,0.8733942191890808,0.829258584010152,0.7975712565234846,0.13829657435417175,0.8728422320353272,0.8288303806318466,0.7975712565234846,0.13846754482797274,-0.000551987153753597,-0.0004282033783054029,0.0,-0.00017097047380099095,True,True
3,switzerland,no_pseudo,0.7576086956521739,0.9798755286601495,0.6326086956521739,0.16727250814437866,0.7576086956521739,0.9798755286601495,0.6369565217391304,0.16534496541006855,0.0,0.0,0.004347826086956497,0.001927542734310117,False,False
3,switzerland,no_entropy,0.7576086956521739,0.9798755286601495,0.6326086956521739,0.16727250814437866,0.7576086956521739,0.979889396001192,0.6326086956521739,0.17047114127678065,0.0,1.386734104247278e-05,0.0,-0.0031986331324019845,False,True
3,switzerland,no_anchor,0.7576086956521739,0.9798755286601495,0.6326086956521739,0.16727250814437866,0.7597826086956521,0.980073954809027,0.6326086956521739,0.17138504553526482,0.0021739130434781373,0.00019842614887755072,0.0,-0.004112537390886156,False,True
3,switzerland,no_prior,0.7576086956521739,0.9798755286601495,0.6326086956521739,0.16727250814437866,0.758695652173913,0.9799753066541129,0.6326086956521739,0.17050407428835218,0.0010869565217390686,9.977799396343467e-05,0.0,-0.003231566143973519,False,True
3,va_long_beach,no_pseudo,0.7260823792604291,0.881728901329025,0.6550203974207133,0.17928633093833923,0.7262139755230952,0.881697928289426,0.6550203974207133,0.17869774598876165,0.00013159626266612268,-3.097303959909148e-05,0.0,0.0005885849495775863,False,False
3,va_long_beach,no_entropy,0.7260823792604291,0.881728901329025,0.6550203974207133,0.17928633093833923,0.7263455717857613,0.8818055530203222,0.6550203974207133,0.18008343401726656,0.00026319252533224535,7.66516912971138e-05,0.0,-0.0007971030789273303,False,True
3,va_long_beach,no_anchor,0.7260823792604291,0.881728901329025,0.6550203974207133,0.17928633093833923,0.7275299381497565,0.8822542859263178,0.6483089880247401,0.18030407536973697,0.0014475588893274605,0.0005253845972927884,-0.006711409395973145,-0.001017744431397738,False,True
3,va_long_beach,no_prior,0.7260823792604291,0.881728901329025,0.6550203974207133,0.17928633093833923,0.7263455717857613,0.8818055530203222,0.6550203974207133,0.18012473255186287,0.00026319252533224535,7.66516912971138e-05,0.0,-0.0008384016135236372,False,True
4,hungary,no_pseudo,0.8840325170614212,0.8423375248997769,0.8102669610598154,0.13515280187129974,0.8840325170614212,0.8422422970588855,0.8102669610598154,0.13487787156299777,0.0,-9.522784089133207e-05,0.0,0.00027493030830197385,False,False
4,hungary,no_entropy,0.8840325170614212,0.8423375248997769,0.8102669610598154,0.13515280187129974,0.8837314331593737,0.841964942145063,0.8102669610598154,0.13550834302741466,-0.00030108390204741653,-0.00037258275471385716,0.0,-0.00035554115611491355,True,True
4,hungary,no_anchor,0.8840325170614212,0.8423375248997769,0.8102669610598154,0.13515280187129974,0.8835307105580089,0.8418325712755972,0.8102669610598154,0.13564039493992372,-0.0005018065034122499,-0.0005049536241796826,0.0,-0.000487593068623976,True,True
4,hungary,no_prior,0.8840325170614212,0.8423375248997769,0.8102669610598154,0.13515280187129974,0.8836310718586913,0.841843595002062,0.8102669610598154,0.1355005905983263,-0.0004014452027298887,-0.0004939298977149065,0.0,-0.0003477887270265656,True,True
4,switzerland,no_pseudo,0.7815217391304348,0.9818825739778152,0.6864130434782609,0.1572275310754776,0.7804347826086957,0.981790202581096,0.6864130434782609,0.15463361028743483,-0.0010869565217390686,-9.237139671924854e-05,0.0,0.0025939207880427695,True,False
4,switzerland,no_entropy,0.7815217391304348,0.9818825739778152,0.6864130434782609,0.1572275310754776,0.7782608695652173,0.9815565459066921,0.6864130434782609,0.16024212612182448,-0.003260869565217428,-0.00032602807112314114,0.0,-0.0030145950463468796,True,True
4,switzerland,no_anchor,0.7815217391304348,0.9818825739778152,0.6864130434782609,0.1572275310754776,0.7771739130434783,0.9814774336415292,0.6864130434782609,0.1619775704765138,-0.004347826086956497,-0.0004051403362860251,0.0,-0.004750039401036188,True,True
4,switzerland,no_prior,0.7815217391304348,0.9818825739778152,0.6864130434782609,0.1572275310754776,0.7782608695652175,0.9815129762793642,0.6864130434782609,0.16020883722031884,-0.003260869565217317,-0.00036959769845101853,0.0,-0.0029813061448412392,True,True
4,va_long_beach,no_pseudo,0.734504540071062,0.8830031965365452,0.6516646927227266,0.17922310531139374,0.7339781550203974,0.8830057963636156,0.6516646927227266,0.1785029973363828,-0.0005263850506646017,2.5998270704041815e-06,0.0,0.0007201079750109307,True,False
4,va_long_beach,no_entropy,0.734504540071062,0.8830031965365452,0.6516646927227266,0.17922310531139374,0.7346361363337282,0.8833469545246062,0.6516646927227266,0.18040808899542227,0.00013159626266612268,0.00034375798806096647,0.0,-0.0011849836840285288,False,True
4,va_long_beach,no_anchor,0.734504540071062,0.8830031965365452,0.6516646927227266,0.17922310531139374,0.7347677325963944,0.8833441245181102,0.6516646927227266,0.1808445871499346,0.0002631925253323564,0.0003409279815649313,0.0,-0.0016214818385408558,False,True
4,va_long_beach,no_prior,0.734504540071062,0.8830031965365452,0.6516646927227266,0.17922310531139374,0.7348993288590604,0.8835129459389008,0.6516646927227266,0.1804350586425595,0.00039478878799836803,0.0005097494023555971,0.0,-0.0012119533311657493,False,True
5,hungary,no_pseudo,0.8781112003211561,0.8380978577405813,0.7951625853071056,0.14037412405014038,0.8782115616218386,0.8372328930124455,0.7951625853071056,0.140127151392088,0.00010036130068247218,-0.0008649647281357975,0.0,0.00024697265805237456,False,False
5,hungary,no_entropy,0.8781112003211561,0.8380978577405813,0.7951625853071056,0.14037412405014038,0.8778602970694501,0.8379255898774423,0.7951625853071056,0.1404205185142518,-0.0002509032517059584,-0.00017226786313906395,0.0,-4.639446411142112e-05,True,True
5,hungary,no_anchor,0.8781112003211561,0.8380978577405813,0.7951625853071056,0.14037412405014038,0.8777599357687677,0.8378411128000006,0.7978221597751907,0.14039718183444866,-0.0003512645523884306,-0.00025674494058069985,0.0026595744680850686,-2.3057784308277984e-05,True,True
5,hungary,no_prior,0.8781112003211561,0.8380978577405813,0.7951625853071056,0.14037412405014038,0.8778101164191089,0.8379056319747846,0.7951625853071056,0.1403543560672609,-0.0003010839020471945,-0.00019222576579669415,0.0,1.976798287947612e-05,True,False
5,switzerland,no_pseudo,0.7684782608695653,0.9802960382961952,0.65,0.1514216810464859,0.7684782608695653,0.9802960382961952,0.5875,0.14967551214852476,0.0,0.0,-0.0625,0.0017461688979611423,False,False
5,switzerland,no_entropy,0.7684782608695653,0.9802960382961952,0.65,0.1514216810464859,0.7684782608695652,0.980406106375717,0.65,0.15396122399831408,-1.1102230246251565e-16,0.00011006807952185227,0.0,-0.0025395429518281776,False,True
5,switzerland,no_anchor,0.7684782608695653,0.9802960382961952,0.65,0.1514216810464859,0.7684782608695652,0.980406106375717,0.65,0.1555105435052656,-1.1102230246251565e-16,0.00011006807952185227,0.0,-0.004088862458779707,False,True
5,switzerland,no_prior,0.7684782608695653,0.9802960382961952,0.65,0.1514216810464859,0.7684782608695652,0.980406106375717,0.65,0.15414896255431185,-1.1102230246251565e-16,0.00011006807952185227,0.0,-0.002727281507825946,False,True
5,va_long_beach,no_pseudo,0.7273983418870904,0.8809225845494941,0.6583761021186998,0.1751755177974701,0.7285827082510856,0.8814079622840248,0.6583761021186998,0.17455818742854265,0.0011843663639952151,0.0004853777345307231,0.0,0.0006173303689274434,False,False
5,va_long_beach,no_entropy,0.7273983418870904,0.8809225845494941,0.6583761021186998,0.1751755177974701,0.729767074615081,0.8820983216771529,0.6583761021186998,0.17566220958954354,0.0023687327279905412,0.001175737127658727,0.0,-0.00048669179207344593,False,True
5,va_long_beach,no_anchor,0.7273983418870904,0.8809225845494941,0.6583761021186998,0.1751755177974701,0.7291090933017502,0.8814203040384481,0.6583761021186998,0.1761108654956084,0.0017107514146598168,0.0004977194889539405,0.0,-0.0009353476981383002,False,True
5,va_long_beach,no_prior,0.7273983418870904,0.8809225845494941,0.6583761021186998,0.1751755177974701,0.7296354783524148,0.8820609866844865,0.6583761021186998,0.17576200233213407,0.0022371364653244186,0.001138402134992389,0.0,-0.000586484534663978,False,True
6,hungary,no_pseudo,0.8808209554395825,0.84624837488345,0.8076073865917303,0.13335499167442322,0.8807205941389001,0.8460260433762473,0.8076073865917303,0.13308373427237005,-0.00010036130068236115,-0.00022233150720263328,0.0,0.0002712574020531655,True,False
6,hungary,no_entropy,0.8808209554395825,0.84624837488345,0.8076073865917303,0.13335499167442322,0.8810216780409474,0.8462896170196865,0.8076073865917303,0.1332950156018802,0.00020072260136494435,4.124213623657447e-05,0.0,5.997607254301651e-05,False,False
6,hungary,no_anchor,0.8808209554395825,0.84624837488345,0.8076073865917303,0.13335499167442322,0.8810216780409474,0.8463246429676812,0.8076073865917303,0.1332044884624844,0.00020072260136494435,7.626808423122355e-05,0.0,0.00015050321193882388,False,False
6,hungary,no_prior,0.8808209554395825,0.84624837488345,0.8076073865917303,0.13335499167442322,0.8810216780409474,0.8462896170196865,0.8076073865917303,0.13323964781102468,0.00020072260136494435,4.124213623657447e-05,0.0,0.00011534386339853708,False,False
6,switzerland,no_pseudo,0.741304347826087,0.9766406396246193,0.6907608695652174,0.16317924857139587,0.7391304347826086,0.976282017915066,0.6951086956521739,0.16203005267093826,-0.0021739130434783593,-0.0003586217095533639,0.004347826086956497,0.0011491959004576169,True,False
6,switzerland,no_entropy,0.741304347826087,0.9766406396246193,0.6907608695652174,0.16317924857139587,0.7423913043478261,0.9767880362497047,0.6907608695652174,0.16627330791826303,0.0010869565217390686,0.00014739662508533868,0.0,-0.0030940593468671562,False,True
6,switzerland,no_anchor,0.741304347826087,0.9766406396246193,0.6907608695652174,0.16317924857139587,0.7434782608695653,0.9769460285323893,0.6907608695652174,0.16644150661274576,0.0021739130434782483,0.00030538890776998784,0.0,-0.003262258041349886,False,True
6,switzerland,no_prior,0.741304347826087,0.9766406396246193,0.6907608695652174,0.16317924857139587,0.7423913043478261,0.9767880362497047,0.6907608695652174,0.16629006043224775,0.0010869565217390686,0.00014739662508533868,0.0,-0.003110811860851881,False,True
6,va_long_beach,no_pseudo,0.7329253849190683,0.8844330635676488,0.6550203974207133,0.17907413840293884,0.7337149624950651,0.8847498137115831,0.6550203974207133,0.17852780936444387,0.0007895775759967361,0.0003167501439342857,0.0,0.0005463290384949693,False,False
6,va_long_beach,no_entropy,0.7329253849190683,0.8844330635676488,0.6550203974207133,0.17907413840293884,0.7333201737070667,0.8846872951548914,0.6550203974207133,0.180219636728308,0.00039478878799836803,0.00025423158724258155,0.0,-0.0011454983253691708,False,True
6,va_long_beach,no_anchor,0.7329253849190683,0.8844330635676488,0.6550203974207133,0.17907413840293884,0.7331885774444006,0.8846766688119235,0.6550203974207133,0.1803280632149982,0.00026319252533224535,0.00024360524427469166,0.0,-0.0012539248120593538,False,True
6,va_long_beach,no_prior,0.7329253849190683,0.8844330635676488,0.6550203974207133,0.17907413840293884,0.7331885774444006,0.8846404827468196,0.6550203974207133,0.180273472831731,0.00026319252533224535,0.0002074191791707758,0.0,-0.0011993344287921648,False,True
7,hungary,no_pseudo,0.8768065034122843,0.8355029876416431,0.8016860698514653,0.13462598621845245,0.8766559614612606,0.8355150140154193,0.7969690887193899,0.1343677424855811,-0.00015054195102370826,1.2026373776174992e-05,-0.004716981132075415,0.00025824373287136604,True,False
