target,method,mean_delta_auc,sd_delta_auc,mean_brier_improvement,sd_brier_improvement,mean_delta_balanced_accuracy,negative_adaptation_rate,negative_adaptation_rate_pct
hungary,entropy_sfda,-0.0025391409072661464,0.001406491211670409,0.0009969532008249182,0.001414770499770182,-0.00824468085106388,1.0,100.0
hungary,pseudo_label_sfda,-0.001384985949417894,0.0009268565202326659,0.0001848398877887125,0.0012498341377009147,-0.003101164191087935,1.0,100.0
hungary,reliability_gated_sfda,-0.00019570453633075414,0.0002823327480914907,-0.00012878257525459903,0.00013684080838619812,0.0007978723404255317,0.6,60.0
switzerland,entropy_sfda,-0.0007608695652173813,0.002052784851335524,0.009533495071660902,0.003986177279528031,-0.010054347826086985,0.5,50.0
switzerland,pseudo_label_sfda,-0.0010869565217391463,0.001847470838258252,0.0041689873782888905,0.0038864076419691264,-0.007717391304347843,0.6,60.0
switzerland,reliability_gated_sfda,-0.0005434782608695566,0.0017186291631349614,-0.0028690402071129607,0.0005352548888709126,-0.0021739130434782596,0.5,50.0
va_long_beach,entropy_sfda,0.000315831030398761,0.0023370020849441506,0.0004982949254991375,0.0010866587164271295,-0.001598894591393596,0.4,40.0
va_long_beach,pseudo_label_sfda,-0.0002368732727989986,0.0015001717418817787,0.0006933618622385285,0.0015670926066975593,-0.0009540729043295171,0.6,60.0
va_long_beach,reliability_gated_sfda,0.00019739439399920621,0.0008579026720887932,-0.0009828683756073404,0.00025858133233083535,0.0,0.5,50.0
