seed,target,variant,source_roc_auc,roc_auc,delta_roc_auc,source_brier,brier,brier_improvement,delta_balanced_accuracy,negative_adaptation_auc,brier_worsened
0,hungary,no_pseudo,0.8768065034122842,0.876756322761943,-5.0180650341125066e-05,0.13689759373664856,0.13645984103148395,0.00043775270516460685,0.005319148936170137,True,False
0,hungary,no_entropy,0.8768065034122842,0.8766057808109193,-0.00020072260136483333,0.13689759373664856,0.13706420602672134,-0.00016661229007278178,0.0026595744680850686,True,True
0,hungary,no_anchor,0.8768065034122842,0.8766057808109194,-0.0002007226013647223,0.13689759373664856,0.13716870077038917,-0.00027110703374061407,0.0,True,True
0,hungary,no_prior,0.8768065034122842,0.8765054195102369,-0.0003010839020473055,0.13689759373664856,0.1370745819217608,-0.0001769881851122479,0.0026595744680850686,True,True
0,switzerland,no_pseudo,0.7663043478260869,0.7641304347826087,-0.0021739130434782483,0.16091971099376678,0.1594525475820196,0.0014671634117471855,0.0,True,False
0,switzerland,no_entropy,0.7663043478260869,0.7652173913043478,-0.0010869565217390686,0.16091971099376678,0.16498418698689207,-0.004064475993125288,-0.004347826086956497,True,True
0,switzerland,no_anchor,0.7663043478260869,0.7630434782608696,-0.003260869565217317,0.16091971099376678,0.16616210812770527,-0.005242397133938481,-0.004347826086956497,True,True
0,switzerland,no_prior,0.7663043478260869,0.7641304347826088,-0.0021739130434781373,0.16091971099376678,0.165209872580338,-0.004290161586571223,-0.004347826086956497,True,True
0,va_long_beach,no_pseudo,0.7301618634030793,0.7298986708777471,-0.00026319252533224535,0.17828169465065002,0.17789006868077017,0.00039162596987984966,0.0,True,False
0,va_long_beach,no_entropy,0.7301618634030793,0.7305566521910777,0.00039478878799836803,0.17828169465065002,0.1793983663586875,-0.0011166717080374755,0.0,False,True
0,va_long_beach,no_anchor,0.7301618634030793,0.7301618634030794,1.1102230246251565e-16,0.17828169465065002,0.17975865399283467,-0.0014769593421846416,0.0,False,True
0,va_long_beach,no_prior,0.7301618634030793,0.7302934596657454,0.00013159626266612268,0.17828169465065002,0.17951287587269257,-0.0012311812220425489,0.0,False,True
1,hungary,no_pseudo,0.8808209554395825,0.8805198715375352,-0.0003010839020473055,0.13288402557373047,0.13260219976204582,0.0002818258116846495,0.0,True,False
1,hungary,no_entropy,0.8808209554395825,0.8807205941389001,-0.00010036130068236115,0.13288402557373047,0.13308998583518564,-0.0002059602614551681,0.0,True,True
1,hungary,no_anchor,0.8808209554395825,0.8806704134885588,-0.00015054195102370826,0.13288402557373047,0.13311579911421406,-0.000231773540483593,0.0,True,True
1,hungary,no_prior,0.8808209554395825,0.8807707747892413,-5.018065034123609e-05,0.13288402557373047,0.13304476671071236,-0.00016074113698189008,0.0,True,True
1,switzerland,no_pseudo,0.75,0.75,0.0,0.15638771653175354,0.15601323890243807,0.0003744776293154728,0.0,False,False
1,switzerland,no_entropy,0.75,0.7489130434782608,-0.0010869565217391797,0.15638771653175354,0.15901501078333743,-0.002627294251583895,-0.004347826086956497,True,True
1,switzerland,no_anchor,0.75,0.75,0.0,0.15638771653175354,0.1593236271264482,-0.0029359105946946684,-0.004347826086956497,False,True
1,switzerland,no_prior,0.75,0.75,0.0,0.15638771653175354,0.15887346263313246,-0.002485746101378916,-0.004347826086956497,False,True
1,va_long_beach,no_pseudo,0.7381892354257139,0.7377944466377154,-0.00039478878799847905,0.1753191351890564,0.17514849648368422,0.00017063870537217807,0.0,True,False
