seed,target,variant,source_roc_auc,roc_auc,delta_roc_auc,source_brier,brier,brier_improvement,delta_balanced_accuracy,negative_adaptation_auc,brier_worsened
0,hungary,candidate_full,0.8768065034122842,0.8766057808109194,-0.0002007226013647223,0.13689759373664856,0.13646824114853048,0.000429352588118076,0.005319148936170137,True,False
0,hungary,candidate_no_entropy,0.8768065034122842,0.8767061421116018,-0.00010036130068236115,0.13689759373664856,0.13653885626533244,0.0003587374713161229,0.0026595744680850686,True,False
0,hungary,candidate_no_anchor,0.8768065034122842,0.876505419510237,-0.0003010839020471945,0.13689759373664856,0.1366539602071189,0.00024363352952966322,-0.004114813327980693,True,False
0,hungary,candidate_no_prior,0.8768065034122842,0.8766057808109194,-0.0002007226013647223,0.13689759373664856,0.13651123917945676,0.0003863545571917981,0.005319148936170137,True,False
0,hungary,unit_reliability,0.8768065034122842,0.8767061421116018,-0.00010036130068236115,0.13689759373664856,0.13644934654797305,0.0004482471886755046,0.005319148936170137,True,False
0,hungary,no_missingness_factor,0.8768065034122842,0.8766057808109194,-0.0002007226013647223,0.13689759373664856,0.13646829782951186,0.0004292959071366953,0.005319148936170137,True,False
0,hungary,no_class_support_factor,0.8768065034122842,0.8766559614612606,-0.00015054195102359724,0.13689759373664856,0.1364532122918817,0.0004443814447668559,0.005319148936170137,True,False
0,hungary,no_confidence_factor,0.8768065034122842,0.8766057808109194,-0.0002007226013647223,0.13689759373664856,0.13646437118788313,0.00043322254876543287,0.005319148936170137,True,False
0,switzerland,candidate_full,0.7663043478260869,0.7641304347826087,-0.0021739130434782483,0.16091971099376678,0.15934347278894592,0.0015762382048208623,0.0,True,False
0,switzerland,candidate_no_entropy,0.7663043478260869,0.7641304347826087,-0.0021739130434782483,0.16091971099376678,0.15960431940589423,0.0013153915878725553,0.0,True,False
0,switzerland,candidate_no_anchor,0.7663043478260869,0.7641304347826088,-0.0021739130434781373,0.16091971099376678,0.15706793873847455,0.003851772255292235,0.0,True,False
0,switzerland,candidate_no_prior,0.7663043478260869,0.7630434782608695,-0.003260869565217428,0.16091971099376678,0.1596075095146431,0.001312201479123698,0.0,True,False
0,switzerland,unit_reliability,0.7663043478260869,0.7630434782608695,-0.003260869565217428,0.16091971099376678,0.1589410284463431,0.0019786825474236713,0.0,True,False
0,switzerland,no_missingness_factor,0.7663043478260869,0.7641304347826087,-0.0021739130434782483,0.16091971099376678,0.15934050356677532,0.001579207426991469,0.0,True,False
0,switzerland,no_class_support_factor,0.7663043478260869,0.7630434782608695,-0.003260869565217428,0.16091971099376678,0.15904536724011872,0.0018743437536480612,0.0,True,False
0,switzerland,no_confidence_factor,0.7663043478260869,0.7630434782608695,-0.003260869565217428,0.16091971099376678,0.15929531082298337,0.0016244001707834133,0.0,True,False
0,va_long_beach,candidate_full,0.7301618634030793,0.7301618634030793,0.0,0.17828169465065002,0.17793653515431174,0.0003451594963382876,0.0,False,False
0,va_long_beach,candidate_no_entropy,0.7301618634030793,0.7302934596657455,0.0001315962626662337,0.17828169465065002,0.17794142448007005,0.00034027017057997044,0.0,False,False
0,va_long_beach,candidate_no_anchor,0.7301618634030793,0.7298986708777472,-0.00026319252533213433,0.17828169465065002,0.17774455752167057,0.0005371371289794591,0.0,True,False
0,va_long_beach,candidate_no_prior,0.7301618634030793,0.7301618634030793,0.0,0.17828169465065002,0.17798593310751543,0.00029576154313459835,0.0,False,False
0,va_long_beach,unit_reliability,0.7301618634030793,0.7302934596657454,0.00013159626266612268,0.17828169465065002,0.177922259656254,0.00035943499439602955,0.0,False,False
0,va_long_beach,no_missingness_factor,0.7301618634030793,0.7301618634030793,0.0,0.17828169465065002,0.17793544584993817,0.0003462488007118514,0.0,False,False
0,va_long_beach,no_class_support_factor,0.7301618634030793,0.7300302671404131,-0.0001315962626662337,0.17828169465065002,0.17792986714494405,0.0003518275057059761,0.0,True,False
0,va_long_beach,no_confidence_factor,0.7301618634030793,0.7301618634030793,0.0,0.17828169465065002,0.17793529423012994,0.0003464004205200877,0.0,False,False
1,hungary,candidate_full,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.13270130553725112,0.00018272003647934465,0.0,True,False
1,hungary,candidate_no_entropy,0.8808209554395825,0.8803693295865115,-0.00045162585307101377,0.13288402557373047,0.1327665163147452,0.00011750925898526554,0.0,True,False
1,hungary,candidate_no_anchor,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.13264095159052663,0.00024307398320383422,0.0026595744680850686,True,False
1,hungary,candidate_no_prior,0.8808209554395825,0.8804195102368526,-0.0004014452027298887,0.13288402557373047,0.1327452376239604,0.00013878794977006947,0.0,True,False
1,hungary,unit_reliability,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.13267162009687586,0.0002124054768546102,0.0,True,False
1,hungary,no_missingness_factor,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.13270122674322318,0.00018279883050728585,0.0,True,False
1,hungary,no_class_support_factor,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.1326785251080997,0.00020550046563078128,0.0,True,False
1,hungary,no_confidence_factor,0.8808209554395825,0.880469690887194,-0.0003512645523885416,0.13288402557373047,0.13269575682728352,0.00018826874644695124,0.0,True,False
1,switzerland,candidate_full,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.1552898531236032,0.0010978634081503513,0.0,False,False
1,switzerland,candidate_no_entropy,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.15563544226666137,0.0007522742650921677,0.0,False,False
1,switzerland,candidate_no_anchor,0.75,0.75,0.0,0.15638771653175354,0.15297062190560612,0.003417094626147421,0.0,False,False
1,switzerland,candidate_no_prior,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.1555124485886362,0.0008752679431173471,0.0,False,False
1,switzerland,unit_reliability,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.1547567386253792,0.0016309779063743424,0.0,False,False
1,switzerland,no_missingness_factor,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.15528565247331497,0.0011020640584385732,0.0,False,False
1,switzerland,no_class_support_factor,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.1549208417891515,0.0014668747426020423,0.0,False,False
1,switzerland,no_confidence_factor,0.75,0.7510869565217391,0.0010869565217390686,0.15638771653175354,0.15521165878124416,0.001176057750509385,0.0,False,False
1,va_long_beach,candidate_full,0.7381892354257139,0.7392420055270429,0.0010527701013289814,0.1753191351890564,0.17500204672603858,0.0003170884630178117,0.003355704697986628,False,False
1,va_long_beach,candidate_no_entropy,0.7381892354257139,0.7392420055270429,0.0010527701013289814,0.1753191351890564,0.17503993520985708,0.0002791999791993127,0.003355704697986628,False,False
1,va_long_beach,candidate_no_anchor,0.7381892354257139,0.73832083168838,0.00013159626266612268,0.1753191351890564,0.17479003202631155,0.0005291031627448484,0.003355704697986628,False,False
1,va_long_beach,candidate_no_prior,0.7381892354257139,0.7392420055270429,0.0010527701013289814,0.1753191351890564,0.17506592382396532,0.00025321136509107167,0.003355704697986628,False,False
1,va_long_beach,unit_reliability,0.7381892354257139,0.7391104092643769,0.0009211738386629698,0.1753191351890564,0.17493747795471448,0.00038165723434191445,0.003355704697986628,False,False
