source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
hungary,cleveland,reliability_gated_sfda,delta_roc_auc,0.0005220214072644725,-8.334795578177619e-05,0.0012063519915774372,True,0.9532,10,303,139,164
hungary,cleveland,reliability_gated_sfda,brier_improvement,0.0001541109018887349,-0.00034502404646027544,0.000636722484843929,True,0.7284,10,303,139,164
hungary,cleveland,reliability_gated_sfda,delta_balanced_accuracy,0.00046938059308648805,-0.0026890682575890557,0.003956834532374109,True,0.6074,10,303,139,164
hungary,cleveland,conservative_candidate,delta_roc_auc,0.0001359887699596607,-0.0002719775399191779,0.0005658887524127024,True,0.741,10,303,139,164
hungary,cleveland,conservative_candidate,brier_improvement,-4.799629086881529e-05,-0.00022407103094773155,0.0001296428933631015,True,0.2948,10,303,139,164
hungary,cleveland,conservative_candidate,delta_balanced_accuracy,-0.0003597122302158473,-0.002299252061765227,0.0011098438322513005,True,0.1766,10,303,139,164
hungary,switzerland,pseudo_label_sfda,delta_roc_auc,-0.0026086956521738647,-0.007717391304347819,0.0010869565217391465,True,0.09,10,123,115,8
hungary,switzerland,pseudo_label_sfda,brier_improvement,0.002368549904769787,-0.0006047298641305949,0.00547763197852308,True,0.9412,10,123,115,8
hungary,switzerland,pseudo_label_sfda,delta_balanced_accuracy,-0.0032065217391304413,-0.032717391304347844,0.008695652173913044,True,0.4994,10,123,115,8
hungary,switzerland,entropy_sfda,delta_roc_auc,-0.0009782608695651951,-0.007394021739130457,0.004782608695652156,True,0.3804,10,123,115,8
hungary,switzerland,entropy_sfda,brier_improvement,0.0026593201380529785,-0.001169186213526903,0.006497538389539394,True,0.9112,10,123,115,8
hungary,switzerland,entropy_sfda,delta_balanced_accuracy,-0.009891304347826091,-0.05321059782608698,0.006956521739130472,True,0.3586,10,123,115,8
hungary,switzerland,reliability_gated_sfda,delta_roc_auc,-0.00043478260869564964,-0.0028260869565217674,0.001521739130434774,True,0.3134,10,123,115,8
hungary,switzerland,reliability_gated_sfda,brier_improvement,-0.00421219203187029,-0.005378980204109143,-0.0030969779326631033,False,0.0,10,123,115,8
hungary,switzerland,reliability_gated_sfda,delta_balanced_accuracy,-0.00391304347826088,-0.009999999999999998,0.0,True,0.0,10,123,115,8
hungary,switzerland,conservative_candidate,delta_roc_auc,-0.00021739130434781374,-0.0021739130434782817,0.001304347826086949,True,0.3692,10,123,115,8
hungary,switzerland,conservative_candidate,brier_improvement,0.0018791939277284287,0.0010827559356771635,0.0025860994370650284,False,1.0,10,123,115,8
hungary,switzerland,conservative_candidate,delta_balanced_accuracy,0.0008695652173913105,0.0,0.0034782608695652197,True,0.6604,10,123,115,8
hungary,va_long_beach,pseudo_label_sfda,delta_roc_auc,0.0005790235557310397,-0.002395051980523722,0.003408343203053033,True,0.6644,10,200,149,51
hungary,va_long_beach,pseudo_label_sfda,brier_improvement,0.0007869699439254669,-0.002377698244538924,0.004016139001427176,True,0.6784,10,200,149,51
hungary,va_long_beach,pseudo_label_sfda,delta_balanced_accuracy,0.0011383076720621332,-0.008745229635478384,0.010067114093959684,True,0.6392,10,200,149,51
hungary,va_long_beach,entropy_sfda,delta_roc_auc,-0.0005658639294643608,-0.004948019476246847,0.003618897223318863,True,0.3976,10,200,149,51
hungary,va_long_beach,entropy_sfda,brier_improvement,-0.01594711631570584,-0.02158094877825637,-0.010415607501049686,False,0.0,10,200,149,51
hungary,va_long_beach,entropy_sfda,delta_balanced_accuracy,-0.0016778523489933029,-0.005369127516778516,0.001677852348993314,True,0.1558,10,200,149,51
