seed,target,variant,fold,reliability_mode,selected_per_class,selected_n,teacher_positive_rate,mean_selected_confidence,class_support_score,missingness_rate,missingness_factor,reliability_score,adaptation_skipped,entropy_before,entropy_after,positive_rate_before,positive_rate_after,teacher_drift
0,hungary,candidate_full,1,full,47,94,0.3659574468085106,0.9230107069015503,0.7319148936170212,0.0005319148936170213,0.999468085106383,0.6752059401133956,False,0.4181784689426422,0.4163960814476013,0.3659574468085106,0.3617021276595745,0.0036935904063284397
0,hungary,candidate_full,2,full,47,94,0.39574468085106385,0.9312041997909546,0.7914893617021277,0.002127659574468085,0.997872340425532,0.7354700512862303,False,0.40543925762176514,0.4037681221961975,0.39574468085106385,0.39148936170212767,0.0030082836747169495
0,hungary,candidate_full,3,full,47,94,0.3659574468085106,0.9291489124298096,0.7319148936170212,0.002127659574468085,0.997872340425532,0.6786109956350193,False,0.40734922885894775,0.4058968424797058,0.3659574468085106,0.3574468085106383,0.0029050654266029596
0,hungary,candidate_full,4,full,47,94,0.37872340425531914,0.9295483827590942,0.7574468085106383,0.001595744680851064,0.9984042553191489,0.70295991844751,False,0.4128437340259552,0.41040411591529846,0.37872340425531914,0.3659574468085106,0.004111859947443008
0,hungary,candidate_full,5,full,47,94,0.3983050847457627,0.9308176040649414,0.7966101694915254,0.00211864406779661,0.9978813559322034,0.7399277973709282,False,0.4150664210319519,0.41347333788871765,0.3983050847457627,0.3898305084745763,0.003738848026841879
0,hungary,candidate_no_entropy,1,full,47,94,0.3659574468085106,0.9230107069015503,0.7319148936170212,0.0005319148936170213,0.999468085106383,0.6752059401133956,False,0.4181784689426422,0.4191651940345764,0.3659574468085106,0.3617021276595745,0.0025614218320697546
0,hungary,candidate_no_entropy,2,full,47,94,0.39574468085106385,0.9312041997909546,0.7914893617021277,0.002127659574468085,0.997872340425532,0.7354700512862303,False,0.40543925762176514,0.40648019313812256,0.39574468085106385,0.39148936170212767,0.002185836201533675
0,hungary,candidate_no_entropy,3,full,47,94,0.3659574468085106,0.9291489124298096,0.7319148936170212,0.002127659574468085,0.997872340425532,0.6786109956350193,False,0.40734922885894775,0.40850985050201416,0.3659574468085106,0.3617021276595745,0.002032211981713772
0,hungary,candidate_no_entropy,4,full,47,94,0.37872340425531914,0.9295483827590942,0.7574468085106383,0.001595744680851064,0.9984042553191489,0.70295991844751,False,0.4128437340259552,0.4131857454776764,0.37872340425531914,0.3702127659574468,0.0028846468776464462
0,hungary,candidate_no_entropy,5,full,47,94,0.3983050847457627,0.9308176040649414,0.7966101694915254,0.00211864406779661,0.9978813559322034,0.7399277973709282,False,0.4150664210319519,0.41600292921066284,0.3983050847457627,0.3940677966101695,0.0026863079983741045
0,hungary,candidate_no_anchor,1,full,47,94,0.3659574468085106,0.9230107069015503,0.7319148936170212,0.0005319148936170213,0.999468085106383,0.6752059401133956,False,0.4181784689426422,0.40870401263237,0.3659574468085106,0.35319148936170214,0.0070203738287091255
0,hungary,candidate_no_anchor,2,full,47,94,0.39574468085106385,0.9312041997909546,0.7914893617021277,0.002127659574468085,0.997872340425532,0.7354700512862303,False,0.40543925762176514,0.3962738811969757,0.39574468085106385,0.39148936170212767,0.006149838212877512
0,hungary,candidate_no_anchor,3,full,47,94,0.3659574468085106,0.9291489124298096,0.7319148936170212,0.002127659574468085,0.997872340425532,0.6786109956350193,False,0.40734922885894775,0.3981500566005707,0.3659574468085106,0.35319148936170214,0.006709184031933546
0,hungary,candidate_no_anchor,4,full,47,94,0.37872340425531914,0.9295483827590942,0.7574468085106383,0.001595744680851064,0.9984042553191489,0.70295991844751,False,0.4128437340259552,0.40333127975463867,0.37872340425531914,0.3617021276595745,0.007119599264115095
0,hungary,candidate_no_anchor,5,full,47,94,0.3983050847457627,0.9308176040649414,0.7966101694915254,0.00211864406779661,0.9978813559322034,0.7399277973709282,False,0.4150664210319519,0.40621405839920044,0.3983050847457627,0.3855932203389831,0.00647268071770668
0,hungary,candidate_no_prior,1,full,47,94,0.3659574468085106,0.9230107069015503,0.7319148936170212,0.0005319148936170213,0.999468085106383,0.6752059401133956,False,0.4181784689426422,0.4165625274181366,0.3659574468085106,0.3617021276595745,0.0033985634800046682
0,hungary,candidate_no_prior,2,full,47,94,0.39574468085106385,0.9312041997909546,0.7914893617021277,0.002127659574468085,0.997872340425532,0.7354700512862303,False,0.40543925762176514,0.40383684635162354,0.39574468085106385,0.39148936170212767,0.002845381386578083
0,hungary,candidate_no_prior,3,full,47,94,0.3659574468085106,0.9291489124298096,0.7319148936170212,0.002127659574468085,0.997872340425532,0.6786109956350193,False,0.40734922885894775,0.40602120757102966,0.3659574468085106,0.3574468085106383,0.002683328464627266
