source,target,direction,method,method_label,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,ci_classification,effect_ci
switzerland,hungary,Switzerland → Hungary,reliability_gated_sfda,Reliability-gated v1,-3.7265667218733255e-10,-2.379782624017945e-09,1.589946207747327e-09,True,0.3576,inconclusive,"-0.0000 [-0.0000, +0.0000]"
switzerland,hungary,Switzerland → Hungary,conservative_candidate,Conservative candidate,-3.7265667218733255e-10,-2.379782624017945e-09,1.589946207747327e-09,True,0.3576,inconclusive,"-0.0000 [-0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,-0.0175392206406534,-0.0198948422623214,-0.0150947733339271,False,0.0,deterioration,"-0.0175 [-0.0199, -0.0151]"
switzerland,va_long_beach,Switzerland → VA Long Beach,entropy_sfda,Entropy SFDA,-0.0106272947424977,-0.0122768870323302,-0.0090485772324128,False,0.0,deterioration,"-0.0106 [-0.0123, -0.0090]"
switzerland,va_long_beach,Switzerland → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,5.384016732445928e-10,-1.0287533736691446e-09,2.091615934340929e-09,True,0.758,inconclusive,"+0.0000 [-0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,conservative_candidate,Conservative candidate,5.384016732445928e-10,-1.0287533736691446e-09,2.091615934340929e-09,True,0.758,inconclusive,"+0.0000 [-0.0000, +0.0000]"
va_long_beach,cleveland,VA Long Beach → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,-0.0025832616667333,-0.0037232447645407,-0.0014129478462535,False,0.0,deterioration,"-0.0026 [-0.0037, -0.0014]"
va_long_beach,cleveland,VA Long Beach → Cleveland,entropy_sfda,Entropy SFDA,-0.0521353412581217,-0.061694852493629,-0.042791572292938,False,0.0,deterioration,"-0.0521 [-0.0617, -0.0428]"
va_long_beach,cleveland,VA Long Beach → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0001283767162334,-0.0002776343696106,0.0005869232039507,True,0.7234,inconclusive,"+0.0001 [-0.0003, +0.0006]"
va_long_beach,cleveland,VA Long Beach → Cleveland,conservative_candidate,Conservative candidate,0.0002680563115527,-5.072831010931901e-05,0.0006081242524946,True,0.9478,inconclusive,"+0.0003 [-0.0001, +0.0006]"
va_long_beach,hungary,VA Long Beach → Hungary,pseudo_label_sfda,Pseudo-label SFDA,-0.0005150223221077,-0.0010815926279024,-9.59848245950286e-05,False,0.0018,deterioration,"-0.0005 [-0.0011, -0.0001]"
va_long_beach,hungary,VA Long Beach → Hungary,entropy_sfda,Entropy SFDA,-0.0422737773537046,-0.051488833568151,-0.0328106473302372,False,0.0,deterioration,"-0.0423 [-0.0515, -0.0328]"
va_long_beach,hungary,VA Long Beach → Hungary,reliability_gated_sfda,Reliability-gated v1,0.0003007434464469,-0.0002542068750737,0.0008739990811828,True,0.8494,inconclusive,"+0.0003 [-0.0003, +0.0009]"
va_long_beach,hungary,VA Long Beach → Hungary,conservative_candidate,Conservative candidate,-4.445704109030113e-05,-0.0003902503172601,0.0003135230302757,True,0.3936,inconclusive,"-0.0000 [-0.0004, +0.0003]"
va_long_beach,switzerland,VA Long Beach → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,-1.501259713765357e-10,-1.257514437025264e-09,9.36059146514067e-10,True,0.3926,inconclusive,"-0.0000 [-0.0000, +0.0000]"
va_long_beach,switzerland,VA Long Beach → Switzerland,entropy_sfda,Entropy SFDA,0.0196542684503906,0.0167752127363878,0.0228241907698593,False,1.0,improvement,"+0.0197 [+0.0168, +0.0228]"
va_long_beach,switzerland,VA Long Beach → Switzerland,reliability_gated_sfda,Reliability-gated v1,0.0002381757330752,1.995269161647162e-05,0.0005138427427613,False,0.9874,improvement,"+0.0002 [+0.0000, +0.0005]"
va_long_beach,switzerland,VA Long Beach → Switzerland,conservative_candidate,Conservative candidate,-0.0001491810610034,-0.0003793038858486,0.0001019404053251,True,0.1172,inconclusive,"-0.0001 [-0.0004, +0.0001]"
cleveland,hungary,Cleveland → Hungary,dlar_lcl,DLAR-LCL port,0.0006650767413779,2.611722572422072e-05,0.0012956417863272,False,0.9798,improvement,"+0.0007 [+0.0000, +0.0013]"
cleveland,switzerland,Cleveland → Switzerland,dlar_lcl,DLAR-LCL port,-0.0022270153371508,-0.0037017894715329,-0.0009043475745241,False,0.0006,deterioration,"-0.0022 [-0.0037, -0.0009]"
cleveland,va_long_beach,Cleveland → VA Long Beach,dlar_lcl,DLAR-LCL port,-0.0009252956642818,-0.0016892853039562,-0.0002025528222239,False,0.004,deterioration,"-0.0009 [-0.0017, -0.0002]"
hungary,cleveland,Hungary → Cleveland,dlar_lcl,DLAR-LCL port,0.0005680345304662,-6.34720034666918e-05,0.0011592667349301,True,0.9644,inconclusive,"+0.0006 [-0.0001, +0.0012]"
hungary,switzerland,Hungary → Switzerland,dlar_lcl,DLAR-LCL port,-0.0019900518019275,-0.0037572236624442,-0.0003012927413874,False,0.011,deterioration,"-0.0020 [-0.0038, -0.0003]"
hungary,va_long_beach,Hungary → VA Long Beach,dlar_lcl,DLAR-LCL port,-0.0021577353820982,-0.0033114102491294,-0.0010819680949322,False,0.0002,deterioration,"-0.0022 [-0.0033, -0.0011]"
switzerland,cleveland,Switzerland → Cleveland,dlar_lcl,DLAR-LCL port,0.0002450860520762,-0.0003461839075717,0.00083408499783,True,0.79,inconclusive,"+0.0002 [-0.0003, +0.0008]"
switzerland,hungary,Switzerland → Hungary,dlar_lcl,DLAR-LCL port,0.0002240374003184,-0.0003184175209212,0.0008300402909549,True,0.768,inconclusive,"+0.0002 [-0.0003, +0.0008]"
switzerland,va_long_beach,Switzerland → VA Long Beach,dlar_lcl,DLAR-LCL port,0.0002553197200804,0.0001001123655726,0.0004303331009033,False,0.9996,improvement,"+0.0003 [+0.0001, +0.0004]"
va_long_beach,cleveland,VA Long Beach → Cleveland,dlar_lcl,DLAR-LCL port,0.0015039221716369,0.0011220695304116,0.0019636277485569,False,1.0,improvement,"+0.0015 [+0.0011, +0.0020]"
va_long_beach,hungary,VA Long Beach → Hungary,dlar_lcl,DLAR-LCL port,0.0016117604030984,0.0012655313942314,0.0020090290732926,False,1.0,improvement,"+0.0016 [+0.0013, +0.0020]"
va_long_beach,switzerland,VA Long Beach → Switzerland,dlar_lcl,DLAR-LCL port,0.0003600600291867,0.0001158793736236,0.0006067935854083,False,0.9982,improvement,"+0.0004 [+0.0001, +0.0006]"
