Source,Target,Method,Delta_AUROC_95CI,Brier_improvement_95CI
Cleveland,Switzerland,DLAR-LCL port,"-0.0016 [-0.0059, +0.0017]","-0.0022 [-0.0037, -0.0009]"
Cleveland,VA Long Beach,DLAR-LCL port,"+0.0003 [-0.0006, +0.0011]","-0.0009 [-0.0017, -0.0002]"
Hungary,Cleveland,DLAR-LCL port,"-0.0001 [-0.0006, +0.0004]","+0.0006 [-0.0001, +0.0012]"
Hungary,Switzerland,DLAR-LCL port,"+0.0001 [-0.0037, +0.0048]","-0.0020 [-0.0038, -0.0003]"
Hungary,VA Long Beach,DLAR-LCL port,"+0.0002 [-0.0007, +0.0013]","-0.0022 [-0.0033, -0.0011]"
Switzerland,Cleveland,DLAR-LCL port,"-0.0012 [-0.0055, +0.0031]","+0.0002 [-0.0003, +0.0008]"
Switzerland,Hungary,DLAR-LCL port,"-0.0026 [-0.0078, +0.0023]","+0.0002 [-0.0003, +0.0008]"
Switzerland,VA Long Beach,DLAR-LCL port,"+0.0013 [-0.0012, +0.0043]","+0.0003 [+0.0001, +0.0004]"
VA Long Beach,Cleveland,DLAR-LCL port,"+0.0023 [+0.0009, +0.0039]","+0.0015 [+0.0011, +0.0020]"
VA Long Beach,Hungary,DLAR-LCL port,"+0.0010 [-0.0004, +0.0026]","+0.0016 [+0.0013, +0.0020]"
VA Long Beach,Switzerland,DLAR-LCL port,"+0.0000 [-0.0057, +0.0068]","+0.0004 [+0.0001, +0.0006]"
