seed,target,method,roc_auc,pr_auc,balanced_accuracy,brier,source_roc_auc,source_brier,delta_roc_auc,brier_improvement,negative_adaptation
0,hungary,source_only,0.8768065034122842,0.8300331788138513,0.8070052187876355,0.1368975937366485,0.8768065034122842,0.1368975937366485,0.0,0.0,False
0,hungary,pseudo_label_sfda,0.8737956643918107,0.826313629883161,0.8008329987956644,0.1377477681925506,0.8768065034122842,0.1368975937366485,-0.003010839020473499,-0.0008501744559021029,True
0,hungary,entropy_sfda,0.873042954636692,0.8252025392079543,0.7893416298675231,0.1374696842928043,0.8768065034122842,0.1368975937366485,-0.0037635487755921515,-0.0005720905561557854,True
0,hungary,reliability_gated_sfda,0.8765556001605781,0.82990243758241,0.8096647932557206,0.1370036387165923,0.8768065034122842,0.1368975937366485,-0.0002509032517060694,-0.00010604497994379236,True
0,switzerland,source_only,0.7663043478260869,0.9804455175343452,0.6413043478260869,0.1609197109937667,0.7663043478260869,0.1609197109937667,0.0,0.0,False
0,switzerland,pseudo_label_sfda,0.7663043478260869,0.9804951828669686,0.6456521739130434,0.1549252462916131,0.7663043478260869,0.1609197109937667,0.0,0.00599446470215359,False
0,switzerland,entropy_sfda,0.7652173913043478,0.9804298786195282,0.6456521739130434,0.151255891037106,0.7663043478260869,0.1609197109937667,-0.0010869565217390686,0.009663819956660713,True
0,switzerland,reliability_gated_sfda,0.7641304347826088,0.9802738588058276,0.6369565217391304,0.1645779435782872,0.7663043478260869,0.1609197109937667,-0.0021739130434781373,-0.003658232584520499,True
0,va_long_beach,source_only,0.7301618634030793,0.8805680057998935,0.6550203974207133,0.17828169465065,0.7301618634030793,0.17828169465065,0.0,0.0,False
0,va_long_beach,pseudo_label_sfda,0.7283195157257535,0.8798616887192439,0.6550203974207133,0.1780552337118135,0.7301618634030793,0.17828169465065,-0.0018423476773258285,0.00022646093883649243,True
0,va_long_beach,entropy_sfda,0.7287143045137519,0.8794438163601161,0.6550203974207133,0.1780619328626338,0.7301618634030793,0.17828169465065,-0.0014475588893274605,0.00021976178801619284,True
0,va_long_beach,reliability_gated_sfda,0.7296354783524148,0.8803153571257932,0.6550203974207133,0.1794813817815957,0.7301618634030793,0.17828169465065,-0.0005263850506644907,-0.0011996871309457036,True
1,hungary,source_only,0.8808209554395825,0.8422686142940073,0.8070052187876355,0.1328840255737304,0.8808209554395825,0.1328840255737304,0.0,0.0,False
1,hungary,pseudo_label_sfda,0.8796166198313932,0.8413975999753537,0.8055499799277399,0.1331609230007597,0.8808209554395825,0.1328840255737304,-0.001204335608189333,-0.000276897427029299,True
1,hungary,entropy_sfda,0.8768566840626255,0.837496164057536,0.8061521477318345,0.1332518250298193,0.8808209554395825,0.1328840255737304,-0.003964271376956985,-0.00036779945608889086,True
1,hungary,reliability_gated_sfda,0.8808209554395825,0.8423517496588527,0.8070052187876355,0.1330796136139922,0.8808209554395825,0.1328840255737304,0.0,-0.00019558804026179044,False
1,switzerland,source_only,0.75,0.9772985694051496,0.6369565217391304,0.1563877165317535,0.75,0.1563877165317535,0.0,0.0,False
1,switzerland,pseudo_label_sfda,0.75,0.9771054283023506,0.65,0.1509638743536526,0.75,0.1563877165317535,0.0,0.005423842178100907,False
