source,target,direction,method,method_label,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,ci_classification,effect_ci
switzerland,hungary,Switzerland → Hungary,reliability_gated_sfda,Reliability-gated v1,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,hungary,Switzerland → Hungary,conservative_candidate,Conservative candidate,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,pseudo_label_sfda,Pseudo-label SFDA,0.0124621660744834,0.004815107250954,0.0207797078562968,False,0.9996,improvement,"+0.0125 [+0.0048, +0.0208]"
switzerland,va_long_beach,Switzerland → VA Long Beach,entropy_sfda,Entropy SFDA,0.0095867877352283,0.0036320568495854,0.016318265561258,False,0.9996,improvement,"+0.0096 [+0.0036, +0.0163]"
switzerland,va_long_beach,Switzerland → VA Long Beach,reliability_gated_sfda,Reliability-gated v1,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
switzerland,va_long_beach,Switzerland → VA Long Beach,conservative_candidate,Conservative candidate,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
va_long_beach,cleveland,VA Long Beach → Cleveland,pseudo_label_sfda,Pseudo-label SFDA,-0.0002675908054044,-0.0012020749254255,0.0006536234427091,True,0.2744,inconclusive,"-0.0003 [-0.0012, +0.0007]"
va_long_beach,cleveland,VA Long Beach → Cleveland,entropy_sfda,Entropy SFDA,-0.0034786804702579,-0.0122041147569749,0.0044094358659413,True,0.1992,inconclusive,"-0.0035 [-0.0122, +0.0044]"
va_long_beach,cleveland,VA Long Beach → Cleveland,reliability_gated_sfda,Reliability-gated v1,0.0001666959115634,-0.0003991928408492,0.0007634014739428,True,0.7266,inconclusive,"+0.0002 [-0.0004, +0.0008]"
va_long_beach,cleveland,VA Long Beach → Cleveland,conservative_candidate,Conservative candidate,-2.193367257413703e-05,-0.0005265178101421,0.0005351816108089,True,0.4566,inconclusive,"-0.0000 [-0.0005, +0.0005]"
va_long_beach,hungary,VA Long Beach → Hungary,pseudo_label_sfda,Pseudo-label SFDA,0.0008781613809714,0.0,0.0021928944199116,True,0.9704,inconclusive,"+0.0009 [+0.0000, +0.0022]"
va_long_beach,hungary,VA Long Beach → Hungary,entropy_sfda,Entropy SFDA,0.0066740264953834,-0.0015507075471697,0.0155409474106784,True,0.9426,inconclusive,"+0.0067 [-0.0016, +0.0155]"
va_long_beach,hungary,VA Long Beach → Hungary,reliability_gated_sfda,Reliability-gated v1,0.0003211561621839,-0.000496913890004,0.0011942994781211,True,0.7846,inconclusive,"+0.0003 [-0.0005, +0.0012]"
va_long_beach,hungary,VA Long Beach → Hungary,conservative_candidate,Conservative candidate,-0.0003010839020473,-0.0010136491368927,0.0003010839020473,True,0.1732,inconclusive,"-0.0003 [-0.0010, +0.0003]"
va_long_beach,switzerland,VA Long Beach → Switzerland,pseudo_label_sfda,Pseudo-label SFDA,0.0,0.0,0.0,True,0.0,inconclusive,"+0.0000 [+0.0000, +0.0000]"
va_long_beach,switzerland,VA Long Beach → Switzerland,entropy_sfda,Entropy SFDA,0.0053260869565217,-0.003695652173913,0.0155434782608695,True,0.8772,inconclusive,"+0.0053 [-0.0037, +0.0155]"
va_long_beach,switzerland,VA Long Beach → Switzerland,reliability_gated_sfda,Reliability-gated v1,-0.0003260869565217,-0.0028260869565217,0.0018478260869565,True,0.3424,inconclusive,"-0.0003 [-0.0028, +0.0018]"
va_long_beach,switzerland,VA Long Beach → Switzerland,conservative_candidate,Conservative candidate,-0.0004347826086956,-0.002391304347826,0.0008695652173912,True,0.2024,inconclusive,"-0.0004 [-0.0024, +0.0009]"
cleveland,hungary,Cleveland → Hungary,dlar_lcl,DLAR-LCL port,-0.0004164993978321,-0.0009885588117221,0.0001053793657165,True,0.0608,inconclusive,"-0.0004 [-0.0010, +0.0001]"
cleveland,switzerland,Cleveland → Switzerland,dlar_lcl,DLAR-LCL port,-0.0016304347826087,-0.0058695652173912,0.0017418478260869,True,0.1654,inconclusive,"-0.0016 [-0.0059, +0.0017]"
cleveland,va_long_beach,Cleveland → VA Long Beach,dlar_lcl,DLAR-LCL port,0.0002500328990656,-0.000579023555731,0.0010922489801289,True,0.7236,inconclusive,"+0.0003 [-0.0006, +0.0011]"
hungary,cleveland,Hungary → Cleveland,dlar_lcl,DLAR-LCL port,-9.650815932621404e-05,-0.0005658887524126,0.0003991928408492,True,0.329,inconclusive,"-0.0001 [-0.0006, +0.0004]"
hungary,switzerland,Hungary → Switzerland,dlar_lcl,DLAR-LCL port,0.0001086956521739,-0.0036956521739129,0.0047826086956521,True,0.4512,inconclusive,"+0.0001 [-0.0037, +0.0048]"
hungary,va_long_beach,Hungary → VA Long Beach,dlar_lcl,DLAR-LCL port,0.000236873272799,-0.0006974601921305,0.0012633241215949,True,0.6718,inconclusive,"+0.0002 [-0.0007, +0.0013]"
switzerland,cleveland,Switzerland → Cleveland,dlar_lcl,DLAR-LCL port,-0.001230479031409,-0.0054988265485173,0.0030578829619232,True,0.2844,inconclusive,"-0.0012 [-0.0055, +0.0031]"
switzerland,hungary,Switzerland → Hungary,dlar_lcl,DLAR-LCL port,-0.002576776395022,-0.0077731081894821,0.0022784524287434,True,0.1552,inconclusive,"-0.0026 [-0.0078, +0.0023]"
switzerland,va_long_beach,Switzerland → VA Long Beach,dlar_lcl,DLAR-LCL port,0.0012896433741282,-0.0012106856165284,0.0042900381629161,True,0.8368,inconclusive,"+0.0013 [-0.0012, +0.0043]"
va_long_beach,cleveland,VA Long Beach → Cleveland,dlar_lcl,DLAR-LCL port,0.0023161958238287,0.0008905071065098,0.0038867564484997,False,0.9998,improvement,"+0.0023 [+0.0009, +0.0039]"
va_long_beach,hungary,VA Long Beach → Hungary,dlar_lcl,DLAR-LCL port,0.0010287033319951,-0.0004466077880369,0.0025993576876756,True,0.9084,inconclusive,"+0.0010 [-0.0004, +0.0026]"
va_long_beach,switzerland,VA Long Beach → Switzerland,dlar_lcl,DLAR-LCL port,2.220446049250313e-17,-0.0056521739130434,0.0068478260869565,True,0.4726,inconclusive,"+0.0000 [-0.0057, +0.0068]"
