source,seed,final_source_loss,final_source_ce,final_source_discrepancy
cleveland,0,2.601209354400635,0.943844199180603,0.038223665207624435
cleveland,1,2.5866228103637696,0.9419448614120484,0.028101101517677307
cleveland,2,2.5275396347045898,0.9149099111557006,0.043638816475868224
cleveland,3,2.5427311420440675,0.9219830513000489,0.04113033190369606
cleveland,4,2.621495485305786,0.9563986182212829,0.03467385470867157
cleveland,5,2.73827805519104,0.9960742712020874,0.0519159160554409
cleveland,6,2.6996394634246825,0.981296694278717,0.03860333487391472
cleveland,7,2.6378257274627686,0.9563807606697082,0.05728944912552834
cleveland,8,2.448010063171387,0.8837820053100586,0.038083793967962264
cleveland,9,2.5271744251251222,0.9183890700340271,0.03514683730900288
hungary,0,2.328399085998535,0.8348622798919678,0.03846767544746399
hungary,1,2.360087537765503,0.8451651453971862,0.030061551183462144
hungary,2,2.4210066318511965,0.8693760633468628,0.04992644786834717
hungary,3,2.4063770294189455,0.8666323542594909,0.03890658132731915
hungary,4,2.3833457946777346,0.8549270033836365,0.039487143605947496
hungary,5,2.616876411437988,0.9429149627685547,0.06835699528455734
hungary,6,2.5595064640045164,0.927157461643219,0.04388228133320808
hungary,7,2.519991159439087,0.9087526679039002,0.056724900007247926
hungary,8,2.325835084915161,0.8318572163581848,0.036230015382170674
hungary,9,2.3627450466156006,0.8490885734558106,0.034735694900155066
switzerland,0,2.832262635231018,1.027384340763092,0.07616618275642395
switzerland,1,3.0668141841888428,1.116228997707367,0.025545950047671795
switzerland,2,2.3919222354888916,0.8552368879318237,0.07897413522005081
switzerland,3,2.2158230543136597,0.781653106212616,0.05774005874991417
switzerland,4,1.8824222683906555,0.6164041757583618,0.05814621038734913
switzerland,5,2.447436809539795,0.8836580216884613,0.0528251975774765
switzerland,6,2.1531301140785217,0.7484526336193085,0.04946322366595268
switzerland,7,2.401227116584778,0.863875150680542,0.05777709186077118
switzerland,8,2.4372410774230957,0.8770776689052582,0.06595669686794281
switzerland,9,2.636731505393982,0.9612779319286346,0.04315827041864395
va_long_beach,0,2.918044686317444,1.050025686621666,0.04949252214282751
va_long_beach,1,3.0099995732307434,1.0956575870513916,0.022539993282407522
va_long_beach,2,2.629463315010071,0.9267670065164566,0.04054205771535635
va_long_beach,3,2.8468874096870422,1.0315704643726349,0.04156027361750603
va_long_beach,4,3.438425362110138,1.1856696903705597,0.025324581656605005
va_long_beach,5,2.9224979877471924,1.065579429268837,0.03302698861807585
va_long_beach,6,3.5117186903953552,1.2144974619150162,0.023704130668193102
va_long_beach,7,2.8488197326660156,1.0315071493387222,0.044158206321299076
va_long_beach,8,3.639534115791321,1.2205993235111237,0.03798012342303991
va_long_beach,9,3.0992380380630493,1.1172911822795868,0.030237477738410234
