fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
1,235,59,235,0.023640498518943787,1.522478461265564,0.3744680881500244,0.3744680881500244,0.5187211036682129,0.510657012462616,0.0060882424004375935,0.2612765908241272,0.4340425431728363,0.3090283691883087,0.7187564432621002,1.7391489361702128,408.7
2,235,59,235,0.024259448051452637,1.6428229808807373,0.3999999761581421,0.3999999761581421,0.5105041265487671,0.5017947554588318,0.00636948412284255,0.2553191363811493,0.44680848717689514,0.29793253540992737,0.7483167767524719,1.880851063829787,442.0
3,235,59,235,0.02407873421907425,1.600472331047058,0.3829787075519562,0.3829787075519562,0.5111445188522339,0.5031512379646301,0.005873310845345259,0.26808509826660154,0.4340425431728363,0.30249919295310973,0.7457222580909729,1.8472340425531915,434.1
4,235,59,235,0.02401196025311947,1.594077467918396,0.38723403215408325,0.3829787075519562,0.5151017308235168,0.506423830986023,0.006390092428773642,0.2561702013015747,0.42978721857070923,0.30349854826927186,0.7362991511821747,1.9,446.5
5,236,58,236,0.02495564892888069,1.5961852073669434,0.41101694107055664,0.41101694107055664,0.516868531703949,0.5084158182144165,0.006224642042070627,0.2525423735380173,0.44915252923965454,0.30870949029922484,0.7328952372074127,1.873305084745763,442.1
