source,target,seed,fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
cleveland,switzerland,5,1,98,25,98,0.056142065674066544,0.8949517607688904,0.7244898080825806,0.7244898080825806,0.564443826675415,0.5596855878829956,0.004406696185469627,0.059183673560619356,0.5469387531280517,0.4571056365966797,0.9633172452449799,2.0102040816326534,197.0
cleveland,switzerland,5,2,98,25,98,0.05522918701171875,0.8882402181625366,0.7244898080825806,0.7244898080825806,0.5698830485343933,0.5647618174552917,0.004774135537445545,0.0714285671710968,0.5714285373687744,0.4383967459201813,0.908717942237854,1.846938775510204,181.0
cleveland,switzerland,5,3,98,25,98,0.05169064924120903,0.8145821690559387,0.6938775181770325,0.6938775181770325,0.582461416721344,0.5783514976501465,0.004307391121983528,0.0877551019191742,0.5306122303009033,0.46541628241539,0.9816235601902008,1.9153061224489796,187.7
cleveland,switzerland,5,4,99,24,99,0.05567639693617821,0.9110879898071289,0.6767676472663879,0.6767676472663879,0.5737190842628479,0.5692213773727417,0.004569328855723143,0.07070706784725189,0.5252525210380554,0.4552659749984741,1.0801284790039063,2.2020202020202015,218.0
cleveland,switzerland,5,5,99,24,99,0.055329687893390656,0.930325984954834,0.7171717286109924,0.7171717286109924,0.5654535889625549,0.560248076915741,0.00477811461314559,0.0686868667602539,0.5656565427780151,0.43796452283859255,0.9874865174293518,2.056565656565656,203.6
cleveland,va_long_beach,5,1,160,40,160,0.047042086720466614,1.0346198081970215,0.668749988079071,0.6625000238418579,0.5505387783050537,0.5463435053825378,0.004460939671844244,0.08625000119209289,0.518750011920929,0.4342086613178253,0.9562475442886352,2.0193749999999997,323.1
cleveland,va_long_beach,5,2,160,40,160,0.045096736401319504,0.9322574734687805,0.7125000357627869,0.706250011920929,0.5555408596992493,0.5516931414604187,0.004273404832929373,0.0787500023841858,0.5375000238418579,0.4377282619476318,0.8728703379631042,1.8631250000000001,298.1
cleveland,va_long_beach,5,3,160,40,160,0.045328401029109955,0.9414159059524536,0.7125000357627869,0.7125000357627869,0.5525767207145691,0.5488962531089783,0.0040168846026062965,0.08125000298023224,0.53125,0.449460768699646,0.8156054437160491,1.7825,285.2
cleveland,va_long_beach,5,4,160,40,160,0.04468309506773949,0.9962084889411926,0.7125000357627869,0.706250011920929,0.54664546251297,0.542362630367279,0.004071349743753672,0.09125000089406968,0.5375000238418579,0.438225781917572,0.9680548548698426,2.0718750000000004,331.5
cleveland,va_long_beach,5,5,160,40,160,0.04588892683386803,0.995112955570221,0.668749988079071,0.6625000238418579,0.5557696223258972,0.551889181137085,0.004203391261398792,0.04750000014901161,0.512499988079071,0.43894153237342837,0.8793089091777802,1.9168749999999999,306.7
cleveland,hungary,6,1,235,59,235,0.018292075023055077,1.1662847995758057,0.3574467897415161,0.3574467897415161,0.5826771259307861,0.5768033862113953,0.005417547654360533,0.16936169564723969,0.4382978677749634,0.3839854896068573,0.8321152269840241,1.6902127659574468,397.2
cleveland,hungary,6,2,235,59,235,0.018992481753230095,1.2392820119857788,0.3914893567562103,0.3957446813583374,0.5792450904846191,0.5730738639831543,0.005630575120449066,0.1974468022584915,0.45957446098327637,0.3775558531284332,0.9148083627223969,1.893617021276596,445.0
cleveland,hungary,6,3,235,59,235,0.019253434613347054,1.2322825193405151,0.35319146513938904,0.35319146513938904,0.5764941573143005,0.5710318088531494,0.004988847300410271,0.1812765896320343,0.46382978558540344,0.3908988952636719,0.9157347857952118,1.8829787234042552,442.5
cleveland,hungary,6,4,235,59,235,0.018006883561611176,1.210329294204712,0.36595743894577026,0.36595743894577026,0.5799914598464966,0.5738301277160645,0.005666757933795452,0.18297871947288513,0.4510638117790222,0.3828151345252991,0.8681263506412507,1.822127659574468,428.2
cleveland,hungary,6,5,236,58,236,0.018396927043795586,1.2302711009979248,0.3855932354927063,0.3855932354927063,0.5809288620948792,0.5748656988143921,0.005493923556059599,0.16864406764507295,0.47033897042274475,0.3854936420917511,0.90876904129982,1.8932203389830509,446.8
cleveland,switzerland,6,1,98,25,98,0.019006406888365746,0.6529402732849121,0.7244898080825806,0.7244898080825806,0.6112938523292542,0.6064493656158447,0.005463643930852413,0.2571428507566452,0.6428571343421936,0.42546709179878234,1.1220939874649047,2.1306122448979594,208.8
cleveland,switzerland,6,2,98,25,98,0.018074313178658485,0.6406383514404297,0.7244898080825806,0.7244898080825806,0.6144164800643921,0.6093389987945557,0.00582512840628624,0.26530611515045166,0.6224489808082581,0.43272610306739806,1.205439817905426,2.227551020408163,218.3
cleveland,switzerland,6,3,98,25,98,0.019291510805487633,0.5235214233398438,0.7244898080825806,0.7244898080825806,0.6264764070510864,0.6225880980491638,0.005029171705245972,0.20612244606018065,0.6020408272743225,0.45653426051139834,1.1853785276412965,2.1306122448979594,208.8
cleveland,switzerland,6,4,99,24,99,0.01743697002530098,0.6347383856773376,0.7070707082748413,0.7070707082748413,0.6170213222503662,0.612529456615448,0.005376625340431929,0.2202020227909088,0.6161616444587708,0.430850750207901,1.2136627793312074,2.2222222222222223,220.0
cleveland,switzerland,6,5,99,24,99,0.01824633590877056,0.6580347418785095,0.7373737096786499,0.7373737096786499,0.6115214228630066,0.6066665053367615,0.005489467177540064,0.24040403664112092,0.6262626051902771,0.42892048358917234,1.2544846296310426,2.3474747474747475,232.4
cleveland,va_long_beach,6,1,160,40,160,0.02314966358244419,0.723218560218811,0.6875,0.6812500357627869,0.6039263010025024,0.5994365811347961,0.00580712640658021,0.2600000023841858,0.5875000357627869,0.4220140278339386,1.0422369599342347,1.9743750000000002,315.9
cleveland,va_long_beach,6,2,160,40,160,0.023628700524568558,0.6385303735733032,0.731249988079071,0.7125000357627869,0.6070088744163513,0.6030041575431824,0.005432643927633762,0.2850000083446503,0.59375,0.43639432191848754,0.971669590473175,1.81125,289.8
