source,target,seed,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
cleveland,hungary,0,dual_head_source_only,0.8129251700680272,0.8064030509835407,0.7217391304347827,0.7830188679245284,0.8297872340425532,0.751131221719457,0.6029475054287435,0.8769570453633079,0.8284467477442895,0.14121845364570618,156,32,23,83
cleveland,hungary,0,dlar_lcl,0.8129251700680272,0.8064030509835407,0.7217391304347827,0.7830188679245284,0.8297872340425532,0.751131221719457,0.6029475054287435,0.8765054195102369,0.8279319679514124,0.14115697507940897,156,32,23,83
