epoch,loss,ce_sum,classifier_discrepancy
1,3.96631498336792,1.3706770896911622,0.055410605669021604
2,3.915408802032471,1.3585591077804566,0.04882631972432137
3,3.8655569553375244,1.3462228775024414,0.04303716719150543
4,3.7735171794891356,1.3228867530822754,0.03778749033808708
5,3.739584445953369,1.3134457111358642,0.03297843709588051
6,3.6770237922668456,1.2974307775497436,0.031251870468258856
7,3.564474105834961,1.266802430152893,0.02894093431532383
8,3.468189811706543,1.2385276079177856,0.028284255415201187
9,3.397929239273071,1.2192646741867066,0.02585456967353821
10,3.2215864181518556,1.1637293338775634,0.029591913148760796
11,3.1834190845489503,1.1518999099731446,0.02967013493180275
12,3.1073851108551027,1.1268688678741454,0.036215692013502124
13,3.0519383430480955,1.1087499618530274,0.03431919179856777
14,2.9158710479736327,1.061061930656433,0.035595276206731793
15,2.8214760780334474,1.0308117389678955,0.03388046696782112
16,2.7931064128875733,1.0171640872955323,0.03925808072090149
17,2.7688873767852784,1.0053313970565796,0.03810695111751557
18,2.6434112071990965,0.9585289359092712,0.03908795341849327
19,2.5746763706207276,0.9325523972511292,0.03820484429597855
20,2.560505771636963,0.9316672444343567,0.035863638296723364
