accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,model,method,feature_set,source,evaluation_domain
0.801980198019802,0.7978812072293384,0.8062015503875969,0.7482014388489209,0.8475609756097561,0.7761194029850746,0.6003893028053321,0.8934462186348483,0.8839409348874672,0.13039368495274006,139,25,35,104,mlp,source_only,CORE8,cleveland,cleveland_oof
0.8095238095238095,0.8058008831794461,0.711864406779661,0.7924528301886793,0.8191489361702128,0.75,0.5991054229429108,0.878763548775592,0.8420356250946823,0.13957658410072327,154,34,22,84,mlp,source_only,CORE8,cleveland,hungary
0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7293478260869566,0.9761600226960403,0.1655389368534088,4,4,26,89,mlp,source_only,CORE8,cleveland,switzerland
0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7264771680484274,0.8811857871853916,0.1743866354227066,23,28,21,128,mlp,source_only,CORE8,cleveland,va_long_beach
