architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
dual_head,cleveland,hungary,0,dual_head_source_only,294,0.36054421768707484,0.8777097551184263,0.8293147032423551,0.13957373910865628,0.10200224015988459,0.8129251700680272,0.8043456443195505,0.7735849056603774,0.8351063829787234,0.3843537414965986,0.4252869415850866
dual_head,cleveland,hungary,0,dlar_lcl,294,0.36054421768707484,0.8772079486150142,0.8289128594337892,0.13958918922532482,0.10838452784889407,0.8129251700680272,0.8043456443195505,0.7735849056603774,0.8351063829787234,0.3843537414965986,0.42508066321412724
dual_head,cleveland,hungary,1,dual_head_source_only,294,0.36054421768707484,0.8629566439181052,0.8271524861455541,0.14643325322559025,0.10970860728550523,0.8027210884353742,0.7943095142513048,0.7641509433962265,0.824468085106383,0.3877551020408163,0.4221589598601975
dual_head,cleveland,hungary,1,dlar_lcl,294,0.36054421768707484,0.8623042954636693,0.8273481044368405,0.14531617973618646,0.09200401847459828,0.8027210884353742,0.7943095142513048,0.7641509433962265,0.824468085106383,0.3877551020408163,0.41738134490794876
dual_head,cleveland,hungary,2,dual_head_source_only,294,0.36054421768707484,0.8608490566037736,0.8062005406854877,0.14083266406804293,0.06950508058071134,0.8061224489795918,0.7846246487354476,0.7075471698113207,0.8617021276595744,0.3435374149659864,0.4109760406268697
dual_head,cleveland,hungary,2,dlar_lcl,294,0.36054421768707484,0.8602468887996789,0.8053674397726344,0.1403794976217368,0.062055452720445825,0.8129251700680272,0.7899437976716178,0.7075471698113207,0.8723404255319149,0.336734693877551,0.4084786731927168
dual_head,cleveland,hungary,3,dual_head_source_only,294,0.36054421768707484,0.8614512244078681,0.8168268676870702,0.14452995604038282,0.10100881253578224,0.8129251700680272,0.7961160176635889,0.7358490566037735,0.8563829787234043,0.35714285714285715,0.45454213403317395
dual_head,cleveland,hungary,3,dlar_lcl,294,0.36054421768707484,0.8609995985547972,0.8166242190760155,0.1441008143332065,0.09863691072480207,0.8095238095238095,0.7913990365315134,0.7264150943396226,0.8563829787234043,0.35374149659863946,0.45184040687927585
dual_head,cleveland,hungary,4,dual_head_source_only,294,0.36054421768707484,0.8675732637494983,0.8187375835304529,0.14437468586668656,0.10463552293526074,0.8163265306122449,0.7946607788036932,0.7169811320754716,0.8723404255319149,0.3401360544217687,0.46385604918611295
dual_head,cleveland,hungary,4,dlar_lcl,294,0.36054421768707484,0.8674227217984745,0.8181241871714741,0.1441744722854935,0.10325900901134324,0.8163265306122449,0.7946607788036932,0.7169811320754716,0.8723404255319149,0.3401360544217687,0.46380322669841806
dual_head,cleveland,hungary,5,dual_head_source_only,294,0.36054421768707484,0.8500100361300683,0.8057623364428399,0.1623518654540434,0.14201217986085787,0.7993197278911565,0.7793054997992774,0.7075471698113207,0.851063829787234,0.35034013605442177,0.48506370019547795
dual_head,cleveland,hungary,5,dlar_lcl,294,0.36054421768707484,0.8496587715776797,0.8056441432749747,0.16095710977611666,0.13378093376451608,0.7993197278911565,0.7793054997992774,0.7075471698113207,0.851063829787234,0.35034013605442177,0.48268476736788846
dual_head,cleveland,hungary,6,dual_head_source_only,294,0.36054421768707484,0.8653653151344842,0.8289693505762374,0.1491972449400023,0.14630642355907533,0.8061224489795918,0.7928542753914091,0.7452830188679245,0.8404255319148937,0.3707482993197279,0.4314312554236983
dual_head,cleveland,hungary,6,dlar_lcl,294,0.36054421768707484,0.8652147731834605,0.8290650874695552,0.14823394754659364,0.14241222669782283,0.8027210884353742,0.7901947009233239,0.7452830188679245,0.8351063829787234,0.3741496598639456,0.4298142523941945
dual_head,cleveland,hungary,7,dual_head_source_only,294,0.36054421768707484,0.854124849458049,0.8196515943528918,0.14965576211356255,0.12048065852449864,0.8061224489795918,0.7907968687274187,0.7358490566037735,0.8457446808510638,0.36394557823129253,0.4452731502654196
dual_head,cleveland,hungary,7,dlar_lcl,294,0.36054421768707484,0.8539743075070252,0.8193075293442159,0.14823810135669802,0.11560119835495136,0.8061224489795918,0.7887394620634283,0.7264150943396226,0.851063829787234,0.35714285714285715,0.43961284492088826
dual_head,cleveland,hungary,8,dual_head_source_only,294,0.36054421768707484,0.8593938177438779,0.8195227373488584,0.1461975990896049,0.09030053836806698,0.7925170068027211,0.7801585708550782,0.7358490566037735,0.824468085106383,0.37755102040816324,0.43608042951293136
dual_head,cleveland,hungary,8,dlar_lcl,294,0.36054421768707484,0.8591429144921717,0.8194376877802104,0.1457984741637839,0.09127184737245647,0.7959183673469388,0.7828181453231633,0.7358490566037735,0.8297872340425532,0.3741496598639456,0.43283046195346886
dual_head,cleveland,hungary,9,dual_head_source_only,294,0.36054421768707484,0.8651144118827779,0.8255486954048843,0.14351558179502458,0.10263907032556274,0.7993197278911565,0.7834203131272581,0.7264150943396226,0.8404255319148937,0.36394557823129253,0.44480885327065073
dual_head,cleveland,hungary,9,dlar_lcl,294,0.36054421768707484,0.8642111601766359,0.8247247225258769,0.14322379824267653,0.1012713641536479,0.7993197278911565,0.7834203131272581,0.7264150943396226,0.8404255319148937,0.36394557823129253,0.443420408331618
dual_head,cleveland,switzerland,0,dual_head_source_only,123,0.9349593495934959,0.7880434782608695,0.9823289604156208,0.15647099759326152,0.27878112158155055,0.7723577235772358,0.6456521739130434,0.7913043478260869,0.5,0.7723577235772358,0.6572881379747778
