source,target,seed,source_auc_recomputed,source_brier_recomputed,source_roc_auc,source_brier,source_auc_diff,source_brier_diff
cleveland,hungary,0,0.8741971095945404,0.14261422541159868,0.8741971095945404,0.1426142156124115,0.0,9.79918718391204e-09
cleveland,hungary,1,0.88031914893617,0.13577963455827113,0.88031914893617,0.1357796341180801,0.0,4.401910225215744e-10
cleveland,hungary,2,0.8765054195102369,0.1385558548739557,0.8765054195102369,0.1385558545589447,0.0,3.1501098951558504e-10
cleveland,hungary,3,0.8740465676435166,0.14281513574369548,0.8740465676435166,0.1428151279687881,0.0,7.774907384572316e-09
cleveland,hungary,4,0.8766057808109193,0.14282217990934246,0.8766057808109193,0.1428221762180328,0.0,3.6913096468360607e-09
cleveland,hungary,5,0.8764552388598956,0.14542914466274023,0.8764552388598956,0.1454291492700576,0.0,4.60731736096065e-09
cleveland,hungary,6,0.878311922922521,0.13735707270263253,0.878311922922521,0.1373570710420608,0.0,1.6605717356732441e-09
cleveland,hungary,7,0.8763548775592132,0.13714318980812984,0.8763548775592132,0.1371431797742843,0.0,1.0033845532220198e-08
cleveland,hungary,8,0.8716378964271377,0.14578491905040533,0.8716378964271377,0.1457849144935608,0.0,4.556844540593019e-09
cleveland,hungary,9,0.8824267362505019,0.13468697787579662,0.8824267362505019,0.1346869766712188,0.0,1.2045778263747309e-09
cleveland,switzerland,0,0.775,0.14868011443249354,0.775,0.148680105805397,0.0,8.627096537150436e-09
cleveland,switzerland,1,0.7326086956521739,0.14876277976295277,0.7326086956521739,0.1487627923488617,0.0,1.2585908926165956e-08
cleveland,switzerland,2,0.7478260869565218,0.15545797916825113,0.7478260869565218,0.1554579734802246,0.0,5.688026522010503e-09
cleveland,switzerland,3,0.7608695652173912,0.15165183879085103,0.7608695652173912,0.151651844382286,0.0,5.5914349539332164e-09
cleveland,switzerland,4,0.7695652173913043,0.1490232428568962,0.7695652173913043,0.1490232348442077,0.0,8.012688484937414e-09
cleveland,switzerland,5,0.7652173913043478,0.14305351358950136,0.7652173913043478,0.1430535018444061,0.0,1.1745095257476024e-08
cleveland,switzerland,6,0.7510869565217391,0.1548255435765953,0.7510869565217391,0.1548255234956741,0.0,2.0080921203646795e-08
cleveland,switzerland,7,0.7271739130434782,0.16138019783207194,0.7271739130434782,0.161380186676979,0.0,1.1155092932702004e-08
cleveland,switzerland,8,0.7717391304347826,0.14899965366124576,0.7717391304347826,0.1489996612071991,0.0,7.545953334409106e-09
cleveland,switzerland,9,0.7402173913043478,0.15909817982422755,0.7402173913043478,0.1590981781482696,0.0,1.6759579557490412e-09
cleveland,va_long_beach,0,0.7223976839057771,0.17915940184159068,0.7223976839057771,0.1791593879461288,0.0,1.3895461892232674e-08
cleveland,va_long_beach,1,0.7298986708777471,0.17564663549861081,0.7298986708777471,0.1756466329097747,0.0,2.588836117700666e-09
cleveland,va_long_beach,2,0.7131859455191472,0.17956160774598062,0.7131859455191472,0.1795616149902343,0.0,7.244253669158596e-09
cleveland,va_long_beach,3,0.7245032241084354,0.17874564555692976,0.7245032241084354,0.1787456572055816,0.0,1.1648651848661373e-08
cleveland,va_long_beach,4,0.7266087643110937,0.18057203649666773,0.7266087643110937,0.180572047829628,0.0,1.1332960264676117e-08
cleveland,va_long_beach,5,0.7143703118831426,0.18085377495546162,0.7143703118831426,0.1808537691831588,0.0,5.772302830164833e-09
