architecture,method,method_label,n_directions,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,precision_mean,precision_sd,precision,recall_mean,recall_sd,recall,specificity_mean,specificity_sd,specificity,f1_mean,f1_sd,f1,mcc_mean,mcc_sd,mcc,roc_auc_mean,roc_auc_sd,roc_auc,pr_auc_mean,pr_auc_sd,pr_auc,brier_mean,brier_sd,brier,ece10_mean,ece10_sd,ece10,predicted_positive_rate_mean,predicted_positive_rate_sd,predicted_positive_rate
dual_head,dlar_lcl,DLAR-LCL,12,0.6313665399267653,0.18786815976394722,0.631 ± 0.188,0.59817489026599,0.11271420415824741,0.598 ± 0.113,0.7116500013593857,0.23645969740034647,0.712 ± 0.236,0.8400952334355077,0.1782087854538737,0.840 ± 0.178,0.3562545470964722,0.3887976490842279,0.356 ± 0.389,0.7229053369571564,0.13116303667510462,0.723 ± 0.131,0.17237595153870755,0.2238624042349166,0.172 ± 0.224,0.7364429315518954,0.09871392513814868,0.736 ± 0.099,0.8195998440584206,0.14531697809298505,0.820 ± 0.145,0.22011206225686872,0.07024483006620105,0.220 ± 0.070,0.224056744179302,0.11052687877223188,0.224 ± 0.111,0.767025875173381,0.2676793491734294,0.767 ± 0.268
dual_head,dual_head_source_only,Dual-head source-only,12,0.6322030326539374,0.18817813857475188,0.632 ± 0.188,0.5977883932205951,0.11260971739201392,0.598 ± 0.113,0.7113459459900368,0.23633721488636097,0.711 ± 0.236,0.8417024482610124,0.17730811697492457,0.842 ± 0.177,0.3538743381801778,0.38766731631104373,0.354 ± 0.388,0.7236944187554708,0.13161548438366127,0.724 ± 0.132,0.17223582766826007,0.22392338111860824,0.172 ± 0.224,0.7365029776695794,0.09826260484047539,0.737 ± 0.098,0.8192853988262795,0.14536568991298915,0.819 ± 0.145,0.21995649549543397,0.0704475175068974,0.220 ± 0.070,0.22391343433924557,0.11056892909373035,0.224 ± 0.111,0.768724592948344,0.26709388029772024,0.769 ± 0.267
