source,target,direction,method,method_label,n_seeds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate
hungary,cleveland,Hungary -> Cleveland,reliability_gated_sfda,Reliability-gated,10,0.784 ± 0.008,0.777 ± 0.009,0.816 ± 0.016,0.685 ± 0.028,0.869 ± 0.019,0.744 ± 0.013,0.568 ± 0.016,0.861 ± 0.005,0.850 ± 0.007,0.152 ± 0.004,0.065 ± 0.015,0.385 ± 0.022
hungary,cleveland,Hungary -> Cleveland,source_only,Source-only,10,0.784 ± 0.007,0.776 ± 0.009,0.817 ± 0.014,0.683 ± 0.029,0.870 ± 0.017,0.743 ± 0.013,0.567 ± 0.015,0.861 ± 0.005,0.850 ± 0.007,0.152 ± 0.004,0.063 ± 0.014,0.383 ± 0.022
hungary,switzerland,Hungary -> Switzerland,conservative_candidate,Conservative,10,0.605 ± 0.033,0.626 ± 0.033,0.961 ± 0.006,0.602 ± 0.034,0.650 ± 0.053,0.740 ± 0.027,0.126 ± 0.034,0.749 ± 0.009,0.973 ± 0.002,0.240 ± 0.015,0.365 ± 0.017,0.585 ± 0.032
hungary,switzerland,Hungary -> Switzerland,entropy_sfda,Entropy,10,0.607 ± 0.030,0.615 ± 0.016,0.959 ± 0.002,0.605 ± 0.033,0.625 ± 0.000,0.742 ± 0.025,0.116 ± 0.018,0.748 ± 0.007,0.973 ± 0.002,0.239 ± 0.015,0.353 ± 0.018,0.590 ± 0.030
hungary,switzerland,Hungary -> Switzerland,pseudo_label_sfda,Pseudo-label,10,0.608 ± 0.026,0.622 ± 0.026,0.960 ± 0.005,0.606 ± 0.028,0.637 ± 0.040,0.743 ± 0.021,0.122 ± 0.026,0.746 ± 0.008,0.973 ± 0.002,0.239 ± 0.012,0.358 ± 0.015,0.590 ± 0.025
hungary,switzerland,Hungary -> Switzerland,reliability_gated_sfda,Reliability-gated,10,0.596 ± 0.025,0.621 ± 0.031,0.960 ± 0.006,0.592 ± 0.026,0.650 ± 0.053,0.732 ± 0.021,0.121 ± 0.032,0.749 ± 0.008,0.973 ± 0.002,0.246 ± 0.014,0.369 ± 0.015,0.576 ± 0.024
hungary,switzerland,Hungary -> Switzerland,source_only,Source-only,10,0.603 ± 0.032,0.625 ± 0.032,0.961 ± 0.006,0.600 ± 0.034,0.650 ± 0.053,0.738 ± 0.026,0.125 ± 0.033,0.749 ± 0.008,0.973 ± 0.002,0.242 ± 0.014,0.367 ± 0.016,0.584 ± 0.032
hungary,va_long_beach,Hungary -> VA Long Beach,conservative_candidate,Conservative,10,0.656 ± 0.014,0.683 ± 0.009,0.875 ± 0.005,0.627 ± 0.022,0.739 ± 0.013,0.730 ± 0.015,0.320 ± 0.016,0.742 ± 0.005,0.887 ± 0.002,0.224 ± 0.008,0.203 ± 0.013,0.533 ± 0.018
hungary,va_long_beach,Hungary -> VA Long Beach,entropy_sfda,Entropy,10,0.653 ± 0.015,0.682 ± 0.009,0.875 ± 0.005,0.623 ± 0.024,0.741 ± 0.015,0.728 ± 0.016,0.318 ± 0.016,0.741 ± 0.005,0.887 ± 0.002,0.240 ± 0.009,0.225 ± 0.016,0.530 ± 0.020
hungary,va_long_beach,Hungary -> VA Long Beach,pseudo_label_sfda,Pseudo-label,10,0.662 ± 0.018,0.685 ± 0.011,0.874 ± 0.008,0.638 ± 0.028,0.731 ± 0.025,0.737 ± 0.018,0.324 ± 0.020,0.742 ± 0.006,0.887 ± 0.002,0.224 ± 0.007,0.200 ± 0.010,0.544 ± 0.025
