architecture,source,target,direction,method,method_label,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,ece10_mean,ece10_std,predicted_positive_rate_mean,predicted_positive_rate_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_seeds
single_head,cleveland,hungary,Cleveland -> Hungary,conservative_candidate,Conservative,0.7986394557823129,0.006168467350900439,0.7954385788839823,0.004875377232047546,0.6962274507446029,0.011708980193523129,0.7839622641509434,0.010382122024666157,0.8069148936170214,0.012296837506666452,0.7373830594776962,0.005938828038706905,0.577849511284275,0.010525067604937863,0.8765054195102369,0.003201702019320356,0.8347071848241564,0.006591412755044589,0.14003757233006492,0.004117987045815279,0.09147065906725242,0.01012983804174319,0.4061224489795919,0.010660008411377007,151.7,2.311805451253291,36.3,2.311805451253294,22.9,1.1005049346146119,83.1,1.1005049346146127,10
single_head,cleveland,hungary,Cleveland -> Hungary,entropy_sfda,Entropy,0.8159863945578232,0.005880409287931982,0.7997440786832597,0.004425077968543606,0.7469249849101971,0.015757381081496345,0.7415094339622641,0.013489063263853636,0.8579787234042554,0.013972261209110307,0.7439864583270188,0.005742987194127832,0.6006231034256595,0.010616488386720467,0.8751304696908871,0.0033429671504523082,0.831713092406979,0.006381881847884724,0.13881276989210461,0.004068362031966506,0.08571135441544563,0.00942123634863307,0.35816326530612247,0.013129427935795097,161.3,2.626785107312743,26.7,2.62678510731274,27.4,1.4298407059684817,78.6,1.4298407059684801,10
single_head,cleveland,hungary,Cleveland -> Hungary,pseudo_label_sfda,Pseudo-label,0.8112244897959183,0.007731395519833259,0.8005469690887195,0.00582062137298503,0.7277970790616997,0.016985919160407287,0.7622641509433963,0.013192564127926455,0.8388297872340426,0.016065434454006093,0.7444095501032717,0.007436668517418471,0.5955521828415464,0.01348983822805141,0.8760839020473705,0.003236139726713777,0.8339262471519829,0.006158849857652882,0.1405342527779728,0.004334418146433855,0.09140907774725296,0.006060582818379064,0.37789115646258503,0.014019584983809176,157.7,3.0203016773531415,30.3,3.020301677353146,25.2,1.3984117975602017,80.8,1.3984117975602017,10
single_head,cleveland,hungary,Cleveland -> Hungary,reliability_gated_sfda,Reliability-gated,0.7982993197278911,0.005083109245229,0.7951726214371738,0.0038998254353299748,0.6956092600554183,0.01023918046383679,0.7839622641509434,0.010382122024666157,0.8063829787234041,0.011269679845440226,0.7370439202273305,0.004745165834793935,0.5772380939163859,0.0083824266425053,0.8765405459654756,0.0031397612270793475,0.8346429246042592,0.006458811282131091,0.14050151128450714,0.004082117663190362,0.0903235355064235,0.010334629282115827,0.40646258503401367,0.01029813045611391,151.6,2.1186998109427564,36.4,2.1186998109427595,22.9,1.1005049346146119,83.1,1.1005049346146127,10
single_head,cleveland,hungary,Cleveland -> Hungary,source_only,Source-only,0.7972789115646258,0.006649831427943411,0.7949919710959454,0.0056932964689900105,0.6929044098699225,0.011683680035852156,0.7867924528301887,0.010141204714840927,0.803191489361702,0.01176108081686313,0.7367764164568245,0.006919237433023687,0.576205811694172,0.011969570953542022,0.8766860698514654,0.003120646562185961,0.835055561631458,0.006207466515374815,0.1402988334596568,0.004055769852828462,0.09176213002928414,0.0082128577907532,0.4095238095238095,0.009779527733717824,151.0,2.2110831935702686,37.0,2.211083193570267,22.6,1.0749676997731394,83.4,1.0749676997731403,10
single_head,cleveland,switzerland,Cleveland -> Switzerland,conservative_candidate,Conservative,0.7699186991869919,0.010873930974384253,0.6269021739130435,0.02974354123362875,0.9549032032721556,0.004744846847681905,0.7913043478260869,0.011594202898550739,0.4625,0.060380736442455986,0.8653925577413009,0.00716493669100294,0.149769627406644,0.034555920843902514,0.753695652173913,0.017677298224156802,0.97787865990441,0.0034638676478249567,0.15030469216972714,0.005351246506682189,0.22896264976844555,0.014592036314584838,0.7747967479674797,0.012149870878840046,3.7,0.4830458915396479,4.3,0.4830458915396479,24.0,1.333333333333333,91.0,1.3333333333333328,10
single_head,cleveland,switzerland,Cleveland -> Switzerland,entropy_sfda,Entropy,0.7878048780487805,0.011140815604929289,0.6306521739130435,0.031160684167154864,0.9549966676520819,0.004893710933265812,0.8113043478260871,0.012331621673149348,0.45,0.06454972243679029,0.8772506963148347,0.007205676310791248,0.15929620668772926,0.036903931398138065,0.7540217391304348,0.017224822116771548,0.9781434956976793,0.0032106027994936418,0.14315664907357864,0.0067476095164794156,0.2052911183350091,0.01646307595526485,0.7943089430894309,0.013303997516133986,3.6,0.5163977794943223,4.4,0.5163977794943222,21.7,1.4181364924121764,93.3,1.4181364924121758,10
single_head,cleveland,switzerland,Cleveland -> Switzerland,pseudo_label_sfda,Pseudo-label,0.7796747967479675,0.011140815604929227,0.6321195652173912,0.027413736405483034,0.9554840338219008,0.004427477746286435,0.8017391304347827,0.013471246421591022,0.4625,0.060380736442455986,0.8718155007823967,0.007442283274808401,0.15831377086256027,0.031192773454836228,0.7533695652173913,0.017612199210109817,0.9778354334382575,0.0034060764479325414,0.14597882508256663,0.008569213068658408,0.21324282893835286,0.020325665617485163,0.7845528455284553,0.014966613844427172,3.7,0.4830458915396479,4.3,0.4830458915396479,22.8,1.5491933384829668,92.2,1.5491933384829668,10
single_head,cleveland,switzerland,Cleveland -> Switzerland,reliability_gated_sfda,Reliability-gated,0.7658536585365854,0.010703749408201338,0.6363586956521738,0.031066014786776196,0.9566481465363317,0.005326202857450918,0.7852173913043479,0.014229492995517193,0.4875,0.07095577652469336,0.8624026011957551,0.0076223797009853855,0.15889005224481906,0.03369696074383736,0.753804347826087,0.01706556355229085,0.9780317650577361,0.003239067062024173,0.15493234913342455,0.005784482743241729,0.23323040325270314,0.014351769369630646,0.767479674796748,0.01679342372339257,3.9,0.5676462121975469,4.1,0.567646212197547,24.7,1.6363916944844772,90.3,1.6363916944844759,10
single_head,cleveland,switzerland,Cleveland -> Switzerland,source_only,Source-only,0.7699186991869919,0.00861260085749089,0.6385326086956521,0.03221526955859007,0.9568634805976831,0.0054113922817549814,0.7895652173913044,0.011448358062684925,0.4875,0.07095577652469336,0.8651366492965442,0.005962702684282496,0.16240830614804708,0.03535791060330989,0.7541304347826087,0.01694629940848715,0.9779639491316828,0.0033646370298979203,0.15209330434950866,0.0055552953637605755,0.2313586479734357,0.014291489765907734,0.7715447154471545,0.014055612444325124,3.9,0.5676462121975469,4.1,0.567646212197547,24.2,1.3165611772087666,90.8,1.3165611772087673,10
