architecture,source,target,direction,seed,method,method_label,n,prevalence,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate,mean_probability,tn,fp,fn,tp
dual_head,cleveland,hungary,Cleveland -> Hungary,0,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8129251700680272,0.8043456443195505,0.7256637168141593,0.7735849056603774,0.8351063829787234,0.7488584474885844,0.600828374657758,0.8777097551184263,0.8293147032423551,0.13957373910865628,0.10200224015988459,0.3843537414965986,0.4252869415850866,157,31,24,82
dual_head,cleveland,hungary,Cleveland -> Hungary,0,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8129251700680272,0.8043456443195505,0.7256637168141593,0.7735849056603774,0.8351063829787234,0.7488584474885844,0.600828374657758,0.8772079486150142,0.8289128594337892,0.13958918922532482,0.10838452784889407,0.3843537414965986,0.42508066321412724,157,31,24,82
dual_head,cleveland,hungary,Cleveland -> Hungary,1,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8027210884353742,0.7943095142513048,0.7105263157894737,0.7641509433962265,0.824468085106383,0.7363636363636363,0.5800660883709318,0.8629566439181052,0.8271524861455541,0.14643325322559025,0.10970860728550523,0.3877551020408163,0.4221589598601975,155,33,25,81
dual_head,cleveland,hungary,Cleveland -> Hungary,1,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8027210884353742,0.7943095142513048,0.7105263157894737,0.7641509433962265,0.824468085106383,0.7363636363636363,0.5800660883709318,0.8623042954636693,0.8273481044368405,0.14531617973618646,0.09200401847459828,0.3877551020408163,0.41738134490794876,155,33,25,81
dual_head,cleveland,hungary,Cleveland -> Hungary,2,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8061224489795918,0.7846246487354476,0.7425742574257426,0.7075471698113207,0.8617021276595744,0.7246376811594203,0.575565851468973,0.8608490566037736,0.8062005406854877,0.14083266406804293,0.06950508058071134,0.3435374149659864,0.4109760406268697,162,26,31,75
dual_head,cleveland,hungary,Cleveland -> Hungary,2,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8129251700680272,0.7899437976716178,0.7575757575757576,0.7075471698113207,0.8723404255319149,0.7317073170731707,0.5891702008792219,0.8602468887996789,0.8053674397726344,0.1403794976217368,0.062055452720445825,0.336734693877551,0.4084786731927168,164,24,31,75
dual_head,cleveland,hungary,Cleveland -> Hungary,3,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8129251700680272,0.7961160176635889,0.7428571428571429,0.7358490566037735,0.8563829787234043,0.7393364928909952,0.5934692227604459,0.8614512244078681,0.8168268676870702,0.14452995604038282,0.10100881253578224,0.35714285714285715,0.45454213403317395,161,27,28,78
dual_head,cleveland,hungary,Cleveland -> Hungary,3,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8095238095238095,0.7913990365315134,0.7403846153846154,0.7264150943396226,0.8563829787234043,0.7333333333333333,0.5852703111149331,0.8609995985547972,0.8166242190760155,0.1441008143332065,0.09863691072480207,0.35374149659863946,0.45184040687927585,161,27,29,77
dual_head,cleveland,hungary,Cleveland -> Hungary,4,dual_head_source_only,Dual-head source-only,294,0.36054421768707484,0.8163265306122449,0.7946607788036932,0.76,0.7169811320754716,0.8723404255319149,0.7378640776699029,0.5972873547561555,0.8675732637494983,0.8187375835304529,0.14437468586668656,0.10463552293526074,0.3401360544217687,0.46385604918611295,164,24,30,76
dual_head,cleveland,hungary,Cleveland -> Hungary,4,dlar_lcl,DLAR-LCL,294,0.36054421768707484,0.8163265306122449,0.7946607788036932,0.76,0.7169811320754716,0.8723404255319149,0.7378640776699029,0.5972873547561555,0.8674227217984745,0.8181241871714741,0.1441744722854935,0.10325900901134324,0.3401360544217687,0.46380322669841806,164,24,30,76
