architecture,source,target,direction,method,method_label,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,ece10_mean,ece10_std,predicted_positive_rate_mean,predicted_positive_rate_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_seeds
dual_head,cleveland,hungary,Cleveland -> Hungary,dlar_lcl,DLAR-LCL,0.80578231292517,0.006887230180719967,0.789913689281413,0.007140251819585621,0.7302537974200191,0.01784076484423067,0.7330188679245283,0.022258287256838215,0.8468085106382979,0.01678320505843863,0.7312396379655521,0.008941106008049402,0.5796377812513132,0.013879792164760353,0.8620383380168606,0.007490321940249289,0.8194555980285587,0.008633793444536596,0.14600115842878167,0.005977348512680428,0.10486774891234782,0.022634037588716446,0.3622448979591837,0.01765579535419211,159.2,3.1552425509864594,28.8,3.1552425509864603,28.3,2.359378449224851,77.7,2.359378449224851,10
dual_head,cleveland,hungary,Cleveland -> Hungary,dual_head_source_only,Dual-head source-only,0.8054421768707483,0.007312705440633594,0.7900592131674027,0.007997621338378393,0.7285848248438003,0.016619878439693404,0.7349056603773585,0.021990105329618974,0.8452127659574469,0.015548341325101973,0.7313940476034523,0.010041802443332273,0.5792782284553532,0.015204459373459147,0.862454837414693,0.007541914138444292,0.8197686895416633,0.008522986897017432,0.14666623517015967,0.006374704656969219,0.10885991341352057,0.02284133920806035,0.3639455782312925,0.01643013236529415,158.9,2.9230881691191666,29.1,2.923088169119167,28.1,2.3309511649396115,77.9,2.3309511649396124,10
dual_head,cleveland,switzerland,Cleveland -> Switzerland,dlar_lcl,DLAR-LCL,0.7219512195121951,0.02536446386297583,0.6245108695652174,0.04122198914661869,0.9561113878646674,0.007344776049522135,0.7365217391304348,0.029573741311732647,0.5125,0.09223309842157773,0.8317315951656846,0.018231810121932483,0.13690313263053058,0.044302046667989675,0.7452173913043478,0.016131938677500682,0.9782227356366157,0.001629451920903104,0.1759389951764449,0.011641667785951458,0.29959178088550886,0.024473418772063944,0.7203252032520325,0.03094656352004382,4.1,0.7378647873726218,3.9,0.7378647873726217,30.3,3.4009802508492557,84.7,3.400980250849256,10
dual_head,cleveland,switzerland,Cleveland -> Switzerland,dual_head_source_only,Dual-head source-only,0.7260162601626016,0.028947859497510185,0.6208695652173912,0.03823210655790042,0.9552885232600113,0.006653205784076646,0.7417391304347827,0.03280616537257024,0.5,0.08333333333333333,0.8346920274218042,0.020437649850814043,0.13408913655704247,0.04212012436164052,0.7468478260869565,0.016740934089413764,0.9784060538622221,0.001669508032221535,0.17371197983929404,0.011264011260728528,0.29954906242892027,0.024043919011129344,0.7260162601626016,0.033201979719873785,4.0,0.6666666666666666,4.0,0.6666666666666665,29.7,3.772709017845577,85.3,3.7727090178455773,10
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,dlar_lcl,DLAR-LCL,0.7285,0.025281745720315003,0.6578694565074352,0.01961934707558299,0.8283033269504205,0.010907382787924887,0.8020134228187918,0.041281078494957345,0.5137254901960784,0.046949764695602546,0.8144075334441881,0.02168188620905489,0.3089144574740413,0.04049551176161045,0.7278984076852217,0.009610992798277904,0.8815580585835147,0.004929335639982173,0.1808772043708871,0.005448791279797377,0.10593158509582279,0.015070535261805807,0.7215,0.03923221465411644,26.2,2.3944379994757288,24.8,2.3944379994757288,29.5,6.150880695748645,119.5,6.150880695748645,10
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,dual_head_source_only,Dual-head source-only,0.732,0.025077657165072043,0.6557046979865773,0.019054721784860937,0.8259639615413592,0.010233958997486943,0.8114093959731544,0.040940208550344706,0.5,0.045517608748967715,0.8181037972442795,0.021420792353527646,0.3084118869381053,0.040448999351261165,0.7276483747861561,0.009562953514702818,0.8815329803805833,0.0047880501218200465,0.17995190870660527,0.005345970005912439,0.10330650735646488,0.01551373871128232,0.732,0.03874417518945414,25.5,2.3213980461973533,25.5,2.3213980461973533,28.1,6.100091074001363,120.9,6.100091074001366,10
dual_head,hungary,cleveland,Hungary -> Cleveland,dlar_lcl,DLAR-LCL,0.7874587458745875,0.017198347411100365,0.7761866116862607,0.019864456065200292,0.8627805713782506,0.018990004580100465,0.6395683453237411,0.054310061497104864,0.9128048780487805,0.018639441492862396,0.7328958448980052,0.033173349225573176,0.5817670403112515,0.028744447458905534,0.8652439024390244,0.006886333355271288,0.858367256723853,0.006510054127012017,0.15505928228928556,0.006381967138791043,0.08354667731170409,0.019891727911826154,0.34059405940594056,0.033900528575157594,149.7,3.056868404829436,14.3,3.0568684048294332,50.1,7.549098548097573,88.9,7.549098548097574,10
dual_head,hungary,cleveland,Hungary -> Cleveland,dual_head_source_only,Dual-head source-only,0.7874587458745875,0.015957284369169433,0.7760769433233901,0.018411603312228846,0.8640883654658797,0.018542473791579108,0.6381294964028776,0.0504224800110259,0.9140243902439025,0.017823708348287594,0.7326127112132912,0.03106000080779604,0.5819728459397343,0.026470563502793323,0.8653404105983507,0.00692946859621592,0.8584277950491241,0.006544289584609249,0.15562731681975178,0.00646623161259972,0.08393728584788814,0.018681149923273414,0.3392739273927393,0.03164800640239264,149.9,2.9230881691191706,14.1,2.923088169119167,50.3,7.008724721532599,88.7,7.008724721532599,10
dual_head,hungary,switzerland,Hungary -> Switzerland,dlar_lcl,DLAR-LCL,0.5666666666666667,0.030672431039394914,0.6519565217391304,0.028580963167404966,0.9699859103322703,0.00835701520421155,0.5539130434782609,0.03735646056544617,0.75,0.08333333333333333,0.7043487090303993,0.028704543758343883,0.15057412794161287,0.02779325359280498,0.7403260869565218,0.018328105458432997,0.9750736895397478,0.002742701091753331,0.2609667936909399,0.0203825303394764,0.41649301597257943,0.02934397548634964,0.5341463414634147,0.03946789535989364,6.0,0.6666666666666666,2.0,0.6666666666666666,51.3,4.295992965026311,63.7,4.295992965026311,10
dual_head,hungary,switzerland,Hungary -> Switzerland,dual_head_source_only,Dual-head source-only,0.567479674796748,0.030612512187410165,0.6523913043478261,0.028562584897705707,0.9700325303788905,0.00835363422197453,0.5547826086956522,0.03730019232961254,0.75,0.08333333333333333,0.7050669410745981,0.028673481752076128,0.15101978093308785,0.02776751759714912,0.7402173913043478,0.018488914235033443,0.9748670238394558,0.002745535016447247,0.2589767418890124,0.019702578181783555,0.41656747284095463,0.028361085325921343,0.5349593495934959,0.039421347525134265,6.0,0.6666666666666666,2.0,0.6666666666666666,51.2,4.289522117905443,63.8,4.289522117905443,10
