source,target,direction,method,method_label,n_seeds,tn,fp,fn,tp
switzerland,cleveland,Switzerland -> Cleveland,reliability_gated_sfda,Reliability-gated,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
switzerland,cleveland,Switzerland -> Cleveland,source_only,Source-only,10,0.0 ± 0.0,164.0 ± 0.0,0.0 ± 0.0,139.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,conservative_candidate,Conservative,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,entropy_sfda,Entropy,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,pseudo_label_sfda,Pseudo-label,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,reliability_gated_sfda,Reliability-gated,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,hungary,Switzerland -> Hungary,source_only,Source-only,10,0.0 ± 0.0,188.0 ± 0.0,0.0 ± 0.0,106.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,conservative_candidate,Conservative,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,entropy_sfda,Entropy,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,pseudo_label_sfda,Pseudo-label,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
switzerland,va_long_beach,Switzerland -> VA Long Beach,reliability_gated_sfda,Reliability-gated,10,0.0 ± 0.0,51.0 ± 0.0,0.0 ± 0.0,149.0 ± 0.0
