architecture,method,method_label,n_directions,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,precision_mean,precision_sd,precision,recall_mean,recall_sd,recall,specificity_mean,specificity_sd,specificity,f1_mean,f1_sd,f1,mcc_mean,mcc_sd,mcc,roc_auc_mean,roc_auc_sd,roc_auc,pr_auc_mean,pr_auc_sd,pr_auc,brier_mean,brier_sd,brier,ece10_mean,ece10_sd,ece10,predicted_positive_rate_mean,predicted_positive_rate_sd,predicted_positive_rate
single_head,conservative_candidate,Conservative,12,0.6732194323153072,0.15314667238384186,0.673 ± 0.153,0.637503934063655,0.09953266612182163,0.638 ± 0.100,0.725518700438407,0.20942229849412441,0.726 ± 0.209,0.8493274995432737,0.1492846701341002,0.849 ± 0.149,0.4256803685840363,0.3106423070115289,0.426 ± 0.311,0.747564283318574,0.11511382584478969,0.748 ± 0.115,0.2595724139424826,0.20687701022742985,0.260 ± 0.207,0.790872594344505,0.0703489398470654,0.791 ± 0.070,0.8686489432208467,0.07172011244080888,0.869 ± 0.072,0.22922469412109467,0.11134072846407327,0.229 ± 0.111,0.24100622795426133,0.14260577855723483,0.241 ± 0.143,0.7404844742251727,0.22476674418870457,0.740 ± 0.225
single_head,entropy_sfda,Entropy,12,0.6521964272024515,0.17820523995688292,0.652 ± 0.178,0.6115223018683947,0.10256721811004044,0.612 ± 0.103,0.7152696523310449,0.22801734841163696,0.715 ± 0.228,0.8539303166536808,0.16282641348303167,0.854 ± 0.163,0.3691142870831087,0.3464800330239695,0.369 ± 0.346,0.7369763541013703,0.12994092982220107,0.737 ± 0.130,0.2154888497846816,0.20637437743196196,0.215 ± 0.206,0.7913998607049115,0.0682479609045976,0.791 ± 0.068,0.8682471752535829,0.07341535108955831,0.868 ± 0.073,0.2482876318552886,0.1357945883769366,0.248 ± 0.136,0.2636779995816737,0.1532929783483223,0.264 ± 0.153,0.7702072704594999,0.250512127727779,0.770 ± 0.251
single_head,pseudo_label_sfda,Pseudo-label,12,0.6748661241684148,0.1555666214463448,0.675 ± 0.156,0.6372541326243207,0.1007355030286745,0.637 ± 0.101,0.7277861658027409,0.2108681510433728,0.728 ± 0.211,0.8498431286958364,0.14859179232660955,0.850 ± 0.149,0.42466513655280486,0.31527205063882585,0.425 ± 0.315,0.7489653805427422,0.11624540261924814,0.749 ± 0.116,0.26050368565902426,0.2096389408829659,0.261 ± 0.210,0.7921767507731413,0.06902333727203117,0.792 ± 0.069,0.8700942688520743,0.0706752010138816,0.870 ± 0.071,0.241199584294458,0.13374106303210845,0.241 ± 0.134,0.25420328104400597,0.15326614101914432,0.254 ± 0.153,0.7414808072146188,0.22934405667180705,0.741 ± 0.229
single_head,reliability_gated_sfda,Reliability-gated,12,0.6719662290457519,0.1532212967594621,0.672 ± 0.153,0.6378804584011054,0.09959296836586666,0.638 ± 0.100,0.7254418971310596,0.20962375636489264,0.725 ± 0.210,0.8480619341646997,0.15081329215786227,0.848 ± 0.151,0.427698982637511,0.31091233520250244,0.428 ± 0.311,0.746626525402854,0.1148191925111308,0.747 ± 0.115,0.2597671521691984,0.2067876593667914,0.260 ± 0.207,0.7910136456495254,0.07043070251632809,0.791 ± 0.070,0.8687680021590704,0.07168681528342814,0.869 ± 0.072,0.23051605635255726,0.11105585669145737,0.231 ± 0.111,0.242300069098777,0.14268435568302654,0.242 ± 0.143,0.7391586977824214,0.22492593599287064,0.739 ± 0.225
single_head,source_only,Source-only,12,0.6730014395478872,0.15308758014053908,0.673 ± 0.153,0.6384638167616808,0.0995935783690205,0.638 ± 0.100,0.7253061414765091,0.20982483323239157,0.725 ± 0.210,0.8491843246447157,0.1495181181982918,0.849 ± 0.150,0.42774330887864576,0.31081775547260265,0.428 ± 0.311,0.7472978106238682,0.1150691931939424,0.747 ± 0.115,0.26059301136137064,0.20641948519884887,0.261 ± 0.206,0.7910168433294408,0.07029503177807264,0.791 ± 0.070,0.868711496615994,0.07172385644229556,0.869 ± 0.072,0.22965126590627313,0.11121538074093747,0.230 ± 0.111,0.2414129492901105,0.14289137953459263,0.241 ± 0.143,0.7401372189421531,0.22441596684292675,0.740 ± 0.224
