target,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
hungary,source_only,0.8095238095238095,0.8058008831794461,0.711864406779661,0.7924528301886793,0.8191489361702128,0.75,0.5991054229429108,0.878763548775592,0.8420356250946823,0.13957658410072327,154,34,22,84
hungary,entropy_sfda,0.8129251700680272,0.7961160176635889,0.7428571428571429,0.7358490566037735,0.8563829787234043,0.7393364928909952,0.5934692227604459,0.8788137294259334,0.8384701815324744,0.13332915133666967,161,27,28,78
switzerland,source_only,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7293478260869566,0.9761600226960403,0.1655389368534088,4,4,26,89
switzerland,entropy_sfda,0.7560975609756098,0.5788043478260869,0.9473684210526315,0.782608695652174,0.375,0.8571428571428571,0.09269008282833588,0.7293478260869566,0.9762568736488297,0.15415284141856675,3,5,25,90
va_long_beach,source_only,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7264771680484274,0.8811857871853916,0.1743866354227066,23,28,21,128
va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7217397025924465,0.8788135332853502,0.1734757915516039,23,28,21,128
