source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
cleveland,va_long_beach,9,source_only,1.1920928955078125e-07,7.264316099521439e-09,True
cleveland,va_long_beach,9,pseudo_label_sfda,1.1102230246251565e-16,2.4875934645507413e-17,True
cleveland,va_long_beach,9,entropy_sfda,1.1102230246251565e-16,2.785965902418752e-17,True
cleveland,va_long_beach,9,reliability_gated_sfda,1.1102230246251565e-16,2.1996293675385913e-17,True
cleveland,va_long_beach,9,conservative_candidate,1.1102230246251565e-16,2.3314683517128286e-17,True
