source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
hungary,switzerland,1,source_only,1.1920928955078125e-07,9.570664524726421e-09,True
hungary,switzerland,1,pseudo_label_sfda,1.1102230246251565e-16,2.143723319906298e-17,True
hungary,switzerland,1,entropy_sfda,1.1102230246251565e-16,1.9744820051768537e-17,True
hungary,switzerland,1,reliability_gated_sfda,1.1102230246251565e-16,1.8334475762356497e-17,True
hungary,switzerland,1,conservative_candidate,1.1102230246251565e-16,2.3524542747392798e-17,True
