source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
switzerland,cleveland,1,source_only,1.1920928966180355e-07,5.1145900085737666e-09,True
switzerland,cleveland,1,pseudo_label_sfda,1.1102230246251565e-16,4.653410037207752e-17,True
switzerland,cleveland,1,entropy_sfda,1.1102230246251565e-16,4.360281845887578e-17,True
switzerland,cleveland,1,reliability_gated_sfda,1.1102230246251565e-16,2.967922937116755e-17,True
switzerland,cleveland,1,conservative_candidate,1.1102230246251565e-16,2.967922937116755e-17,True
