source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
hungary,switzerland,0,source_only,1.1920928955078125e-07,5.784800399765533e-09,True
hungary,switzerland,0,pseudo_label_sfda,1.1102230246251565e-16,2.358095651896928e-17,True
hungary,switzerland,0,entropy_sfda,1.1102230246251565e-16,2.166288828536891e-17,True
hungary,switzerland,0,reliability_gated_sfda,1.1102230246251565e-16,2.4878473265228356e-17,True
hungary,switzerland,0,conservative_candidate,1.1102230246251565e-16,2.143723319906298e-17,True
