source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
hungary,cleveland,9,source_only,1.1920928955078125e-07,8.218998585999432e-09,True
hungary,cleveland,9,pseudo_label_sfda,1.1102230246251565e-16,3.4514126979954395e-17,True
hungary,cleveland,9,entropy_sfda,1.1102230246251565e-16,3.203513270570371e-17,True
hungary,cleveland,9,reliability_gated_sfda,1.1102230246251565e-16,3.23815048849004e-17,True
hungary,cleveland,9,conservative_candidate,1.1102230246251565e-16,3.3870046481448154e-17,True
