source,target,seed,fold,model_state,adapt_n,test_n,background_n,background_target_indices,max_additivity_error,mean_additivity_error,adapt_selected_n,adapt_coverage,adapt_pseudo_positive_n,adapt_pseudo_negative_n,adapt_mean_selected_confidence,adapt_adaptation_skipped,adapt_entropy_before,adapt_entropy_after,adapt_mean_probability_before,adapt_mean_probability_after,adapt_positive_rate_before,adapt_positive_rate_after,adapt_confidence_before,adapt_confidence_after,adapt_selected_per_class,adapt_available_positive,adapt_available_negative,adapt_teacher_positive_rate,adapt_class_support_score,adapt_missingness_rate,adapt_reliability_score,adapt_mean_abs_teacher_drift,adapt_missingness_factor,adapt_teacher_drift
switzerland,cleveland,2,1,source_only,242,61,32,0;15;30;31;47;49;52;54;66;68;72;81;84;100;102;120;151;153;156;171;172;188;201;209;224;229;233;239;256;258;276;278,4.637986421585083e-07,1.531815705973594e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,1,pseudo_label_sfda,242,61,32,0;15;30;31;47;49;52;54;66;68;72;81;84;100;102;120;151;153;156;171;172;188;201;209;224;229;233;239;256;258;276;278,3.818422555923462e-07,1.3414575703075675e-07,123.0,0.5082644628099173,123.0,0.0,0.9463820457458496,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,1,entropy_sfda,242,61,32,0;15;30;31;47;49;52;54;66;68;72;81;84;100;102;120;151;153;156;171;172;188;201;209;224;229;233;239;256;258;276;278,5.951151251792908e-07,1.6418186428605533e-07,,,,,,,0.3253127932548523,0.21587251126766205,0.8885130882263184,0.9370230436325073,1.0,1.0,0.8885130882263184,0.9370230436325073,,,,,,,,,,
switzerland,cleveland,2,1,reliability_gated_sfda,242,61,32,0;15;30;31;47;49;52;54;66;68;72;81;84;100;102;120;151;153;156;171;172;188;201;209;224;229;233;239;256;258;276;278,4.637986421585083e-07,1.531815705973594e-07,0.0,0.0,,,0.0,True,0.3253127932548523,0.3253127932548523,0.8885130882263184,0.8885130882263184,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,,
switzerland,cleveland,2,1,conservative_candidate,242,61,32,0;15;30;31;47;49;52;54;66;68;72;81;84;100;102;120;151;153;156;171;172;188;201;209;224;229;233;239;256;258;276;278,4.637986421585083e-07,1.531815705973594e-07,0.0,,,,0.0,True,0.3253127932548523,0.3253127932548523,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,,1.0,0.0
switzerland,cleveland,2,2,source_only,242,61,32,2;4;17;21;39;73;77;94;104;106;109;117;118;131;151;152;156;157;159;168;173;193;195;221;225;237;243;251;255;257;284;296,5.029141902923584e-07,1.1898695537057079e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,2,pseudo_label_sfda,242,61,32,2;4;17;21;39;73;77;94;104;106;109;117;118;131;151;152;156;157;159;168;173;193;195;221;225;237;243;251;255;257;284;296,5.494803190231323e-07,1.3318676196160863e-07,125.0,0.5165289256198347,125.0,0.0,0.9460428357124329,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,2,entropy_sfda,242,61,32,2;4;17;21;39;73;77;94;104;106;109;117;118;131;151;152;156;157;159;168;173;193;195;221;225;237;243;251;255;257;284;296,5.066394805908203e-07,2.1318889787939727e-07,,,,,,,0.31959468126296997,0.2100016325712204,0.8918982744216919,0.9396837949752808,1.0,1.0,0.8918982744216919,0.9396837949752808,,,,,,,,,,
switzerland,cleveland,2,2,reliability_gated_sfda,242,61,32,2;4;17;21;39;73;77;94;104;106;109;117;118;131;151;152;156;157;159;168;173;193;195;221;225;237;243;251;255;257;284;296,5.029141902923584e-07,1.1898695537057079e-07,0.0,0.0,,,0.0,True,0.31959468126296997,0.31959468126296997,0.8918982744216919,0.8918982744216919,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,,
switzerland,cleveland,2,2,conservative_candidate,242,61,32,2;4;17;21;39;73;77;94;104;106;109;117;118;131;151;152;156;157;159;168;173;193;195;221;225;237;243;251;255;257;284;296,5.029141902923584e-07,1.1898695537057079e-07,0.0,,,,0.0,True,0.31959468126296997,0.31959468126296997,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,,1.0,0.0
switzerland,cleveland,2,3,source_only,242,61,32,6;31;42;44;45;49;52;67;70;71;84;101;106;116;119;124;130;153;174;184;192;212;220;245;258;263;265;278;284;293;299;302,4.153698682785034e-07,1.3991594925278522e-07,,,,,,,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,3,pseudo_label_sfda,242,61,32,6;31;42;44;45;49;52;67;70;71;84;101;106;116;119;124;130;153;174;184;192;212;220;245;258;263;265;278;284;293;299;302,5.783513188362122e-07,2.2773795043591593e-07,124.0,0.512396694214876,124.0,0.0,0.9480819702148438,False,,,,,,,,,,,,,,,,,,
switzerland,cleveland,2,3,entropy_sfda,242,61,32,6;31;42;44;45;49;52;67;70;71;84;101;106;116;119;124;130;153;174;184;192;212;220;245;258;263;265;278;284;293;299;302,5.541369318962097e-07,1.368614783907523e-07,,,,,,,0.3230758011341095,0.214345782995224,0.8890655636787415,0.9373812079429626,1.0,1.0,0.8890655636787415,0.9373812079429626,,,,,,,,,,
switzerland,cleveland,2,3,reliability_gated_sfda,242,61,32,6;31;42;44;45;49;52;67;70;71;84;101;106;116;119;124;130;153;174;184;192;212;220;245;258;263;265;278;284;293;299;302,4.153698682785034e-07,1.3991594925278522e-07,0.0,0.0,,,0.0,True,0.3230758011341095,0.3230758011341095,0.8890655636787415,0.8890655636787415,1.0,1.0,,,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,,
