source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
hungary,switzerland,2,source_only,1.1920928955078125e-07,7.390006790508156e-09,True
hungary,switzerland,2,pseudo_label_sfda,1.1102230246251565e-16,2.0901302369086408e-17,True
hungary,switzerland,2,entropy_sfda,1.1102230246251565e-16,2.3383508318451596e-17,True
hungary,switzerland,2,reliability_gated_sfda,1.1102230246251565e-16,1.7742131160803443e-17,True
hungary,switzerland,2,conservative_candidate,1.1102230246251565e-16,1.5231718325650015e-17,True
