source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
va_long_beach,switzerland,6,source_only,1.1920928955078125e-07,3.3921342600231374e-09,True
va_long_beach,switzerland,6,pseudo_label_sfda,1.1102230246251565e-16,4.5131017261185224e-18,True
va_long_beach,switzerland,6,entropy_sfda,1.1102230246251565e-16,4.06179155350667e-18,True
va_long_beach,switzerland,6,reliability_gated_sfda,1.1102230246251565e-16,5.415722071342227e-18,True
va_long_beach,switzerland,6,conservative_candidate,5.551115123125783e-17,4.06179155350667e-18,True
