source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
hungary,va_long_beach,6,source_only,1.1920928955078125e-07,8.670613185508131e-09,True
hungary,va_long_beach,6,pseudo_label_sfda,1.1102230246251565e-16,2.1285057050235422e-17,True
hungary,va_long_beach,6,entropy_sfda,1.1102230246251565e-16,2.562186574017744e-17,True
hungary,va_long_beach,6,reliability_gated_sfda,1.1102230246251565e-16,2.6454533008646308e-17,True
hungary,va_long_beach,6,conservative_candidate,1.1102230246251565e-16,2.1788126858268698e-17,True
