source,target,seed,model_state,max_probability_difference,mean_probability_difference,passed
va_long_beach,cleveland,3,source_only,1.1920928955078125e-07,5.901449984540037e-09,True
va_long_beach,cleveland,3,pseudo_label_sfda,1.1102230246251565e-16,6.961794543854116e-18,True
va_long_beach,cleveland,3,entropy_sfda,1.1102230246251565e-16,7.694615022154551e-18,True
va_long_beach,cleveland,3,reliability_gated_sfda,1.1102230246251565e-16,4.763333108952817e-18,True
va_long_beach,cleveland,3,conservative_candidate,1.1102230246251565e-16,6.961794543854116e-18,True
